tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021california,Premier,Pool,Sloppy Seconds,Salty Nuts,Gabe Finocchi,Travis Core,Trevor Barbosa,Dylan Bricker,21,13
2021california,Premier,Pool,Sloppy Seconds,Salty Nuts,Gabe Finocchi,Travis Core,Trevor Barbosa,Dylan Bricker,21,16
2021california,Premier,Pool,Wonky Sauce,Ortlip/Berry,Justin Plett,Blake Bosak,Solomon Berry,Matt Ortlip,21,19
2021california,Premier,Pool,Wonky Sauce,Ortlip/Berry,Justin Plett,Blake Bosak,Solomon Berry,Matt Ortlip,18,21
2021california,Premier,Pool,Wonky Sauce,Ortlip/Berry,Justin Plett,Blake Bosak,Solomon Berry,Matt Ortlip,21,13
2021california,Premier,Pool,Double Clutch,Lefty Pull,Rahul Murthy,fredric hinkle,Ryan Slaughter,Malachi Espinola,21,16
2021california,Premier,Pool,Double Clutch,Lefty Pull,Rahul Murthy,fredric hinkle,Ryan Slaughter,Malachi Espinola,21,14
2021california,Premier,Pool,Blue Sky Bagel Club,Box Models,Josh Wheadon,Dennis Joseph,Jordan Caradonna,Michael Hsu,NA,NA
2021california,Premier,Pool,Blue Sky Bagel Club,Box Models,Josh Wheadon,Dennis Joseph,Jordan Caradonna,Michael Hsu,NA,NA
2021california,Premier,Pool,Blue Sky Bagel Club,Box Models,Josh Wheadon,Dennis Joseph,Jordan Caradonna,Michael Hsu,NA,NA
2021california,Premier,Pool,Gold Diggers,Zia,Garrett Hornok,Kyle Ackermann,Slade Warner,Daniel Wilson,21,13
2021california,Premier,Pool,Gold Diggers,Zia,Garrett Hornok,Kyle Ackermann,Slade Warner,Daniel Wilson,21,14
2021california,Premier,Pool,HOOPLA,Chico Atlantic,Schon Siguenza,John Shurance,Skyler Boles,Tom Rogers,8,21
2021california,Premier,Pool,HOOPLA,Chico Atlantic,Schon Siguenza,John Shurance,Skyler Boles,Tom Rogers,14,21
2021california,Premier,Pool,Boysterous,Smith/Young,Caleb Heck,Preston Bies,Bryce Young,Ashton Smith,21,19
2021california,Premier,Pool,Boysterous,Smith/Young,Caleb Heck,Preston Bies,Bryce Young,Ashton Smith,21,14
2021california,Premier,Pool,LMUCLA,Chowey,Jason Rhoads,Carlos Yvellez,David Gonzales,Nicolas Dewey,21,10
2021california,Premier,Pool,LMUCLA,Chowey,Jason Rhoads,Carlos Yvellez,David Gonzales,Nicolas Dewey,21,13
2021california,Premier,Pool,Assistive Touch,Warn-A-Brotha,Buddy Hammon,Clark Marshall,Warner Curtis,Marc Baldwin,21,14
2021california,Premier,Pool,Assistive Touch,Warn-A-Brotha,Buddy Hammon,Clark Marshall,Warner Curtis,Marc Baldwin,21,17
2021california,Premier,Pool,Western Grebes,Daly/Singer,Lucas Pruett,Jake Howhannesian,Artie Singer,Alex Daly,19,21
2021california,Premier,Pool,Western Grebes,Daly/Singer,Lucas Pruett,Jake Howhannesian,Artie Singer,Alex Daly,20,22
2021california,Premier,Pool,Ritto Boys,Hot Monkey Come,Coleman Epperson's,Ryder Rivadeneyra,Ryan McCargar,Andrew Stevens,21,13
2021california,Premier,Pool,Ritto Boys,Hot Monkey Come,Coleman Epperson's,Ryder Rivadeneyra,Ryan McCargar,Andrew Stevens,21,15
2021california,Premier,Pool,Tengan Toppa,CornRows,Bryce Wagoner,Nick Noguez,Logan Cornelius,Matthew Burrows,16,21
2021california,Premier,Pool,Tengan Toppa,CornRows,Bryce Wagoner,Nick Noguez,Logan Cornelius,Matthew Burrows,21,19
2021california,Premier,Pool,Tengan Toppa,CornRows,Bryce Wagoner,Nick Noguez,Logan Cornelius,Matthew Burrows,19,21
2021california,Premier,Pool,Cisek/Abrams,Orange Dream,Dan Abrams,Tyler Cisek,Jack Granger,Archie Powell,21,17
2021california,Premier,Pool,Cisek/Abrams,Orange Dream,Dan Abrams,Tyler Cisek,Jack Granger,Archie Powell,17,21
2021california,Premier,Pool,Cisek/Abrams,Orange Dream,Dan Abrams,Tyler Cisek,Jack Granger,Archie Powell,21,16
2021california,Premier,Pool,Cummings/ Bergman,manGOOOOONS ( Team Edward ),Caleb Cummings,Neal Bergman,Jacob Payer,Jacob Martinez,21,15
2021california,Premier,Pool,Cummings/ Bergman,manGOOOOONS ( Team Edward ),Caleb Cummings,Neal Bergman,Jacob Payer,Jacob Martinez,21,13
2021california,Premier,Pool,Graham/Showalter,Team Alliteration,Joel Graham,PJ Showalter,Matt Murray,Grant Marriott,21,16
2021california,Premier,Pool,Graham/Showalter,Team Alliteration,Joel Graham,PJ Showalter,Matt Murray,Grant Marriott,21,13
2021california,Premier,Pool,Trash Pandas,Yip Yip,ian murphy,Christian Bennett,Zack Duffy,Austin Rawlings,13,21
2021california,Premier,Pool,Trash Pandas,Yip Yip,ian murphy,Christian Bennett,Zack Duffy,Austin Rawlings,16,21
2021california,Premier,Pool,Lowkey,BZ Money,Taylor Church,Dawson Morgan,Benjamin Banuelos,Cade Zorio,21,14
2021california,Premier,Pool,Lowkey,BZ Money,Taylor Church,Dawson Morgan,Benjamin Banuelos,Cade Zorio,21,15
2021california,Premier,Pool,GLO GLO JUICE,The Klondike Bars,Dan Bonowski,Connor Prelich,Chandler Hertzler,Caleb Jarrett,13,21
2021california,Premier,Pool,GLO GLO JUICE,The Klondike Bars,Dan Bonowski,Connor Prelich,Chandler Hertzler,Caleb Jarrett,15,21
2021california,Premier,Pool,Knotty,Nyoom?,Jarratt Rouse,Ryan Fitzgerald,Thomas Nishimoto,Daniel Lindeen,21,14
2021california,Premier,Pool,Knotty,Nyoom?,Jarratt Rouse,Ryan Fitzgerald,Thomas Nishimoto,Daniel Lindeen,21,15
2021california,Premier,Pool,Glizzy Gobblers,Foote / Oswalt,Kane Rickman,Trey Bowman,Warren Foote,Ryan Oswalt,12,21
2021california,Premier,Pool,Glizzy Gobblers,Foote / Oswalt,Kane Rickman,Trey Bowman,Warren Foote,Ryan Oswalt,13,21
2021california,Premier,Pool,Poptropica,Wong/(Will) Foote,Grant Laughlin,Luke Mowry,William Foote,Caleb Wong,21,16
2021california,Premier,Pool,Poptropica,Wong/(Will) Foote,Grant Laughlin,Luke Mowry,William Foote,Caleb Wong,21,7
2021california,Premier,Pool,Texas Sucks,Dewey Disciples,Dean Wasil,Andrew Kosche,Thomas Hamilton,Kevin Bailey,14,21
2021california,Premier,Pool,Texas Sucks,Dewey Disciples,Dean Wasil,Andrew Kosche,Thomas Hamilton,Kevin Bailey,21,19
2021california,Premier,Pool,Texas Sucks,Dewey Disciples,Dean Wasil,Andrew Kosche,Thomas Hamilton,Kevin Bailey,13,21
2021california,Premier,Pool,Sloppy Seconds,Ortlip/Berry,Gabe Finocchi,Travis Core,Solomon Berry,Matt Ortlip,21,14
2021california,Premier,Pool,Sloppy Seconds,Ortlip/Berry,Gabe Finocchi,Travis Core,Solomon Berry,Matt Ortlip,21,17
2021california,Premier,Pool,Wonky Sauce,Salty Nuts,Justin Plett,Blake Bosak,Trevor Barbosa,Dylan Bricker,21,13
2021california,Premier,Pool,Wonky Sauce,Salty Nuts,Justin Plett,Blake Bosak,Trevor Barbosa,Dylan Bricker,15,21
2021california,Premier,Pool,Wonky Sauce,Salty Nuts,Justin Plett,Blake Bosak,Trevor Barbosa,Dylan Bricker,24,22
2021california,Premier,Pool,Double Clutch,Box Models,Rahul Murthy,fredric hinkle,Jordan Caradonna,Michael Hsu,17,21
2021california,Premier,Pool,Double Clutch,Box Models,Rahul Murthy,fredric hinkle,Jordan Caradonna,Michael Hsu,21,18
2021california,Premier,Pool,Double Clutch,Box Models,Rahul Murthy,fredric hinkle,Jordan Caradonna,Michael Hsu,21,16
2021california,Premier,Pool,Blue Sky Bagel Club,Lefty Pull,Josh Wheadon,Dennis Joseph,Ryan Slaughter,Malachi Espinola,10,21
2021california,Premier,Pool,Blue Sky Bagel Club,Lefty Pull,Josh Wheadon,Dennis Joseph,Ryan Slaughter,Malachi Espinola,10,21
2021california,Premier,Pool,Gold Diggers,Chico Atlantic,Garrett Hornok,Kyle Ackermann,Skyler Boles,Tom Rogers,21,13
2021california,Premier,Pool,Gold Diggers,Chico Atlantic,Garrett Hornok,Kyle Ackermann,Skyler Boles,Tom Rogers,21,16
2021california,Premier,Pool,HOOPLA,Zia,Schon Siguenza,John Shurance,Slade Warner,Daniel Wilson,14,21
2021california,Premier,Pool,HOOPLA,Zia,Schon Siguenza,John Shurance,Slade Warner,Daniel Wilson,21,23
2021california,Premier,Pool,Boysterous,Chowey,Caleb Heck,Preston Bies,David Gonzales,Nicolas Dewey,21,10
2021california,Premier,Pool,Boysterous,Chowey,Caleb Heck,Preston Bies,David Gonzales,Nicolas Dewey,21,11
2021california,Premier,Pool,LMUCLA,Smith/Young,Jason Rhoads,Carlos Yvellez,Bryce Young,Ashton Smith,21,19
2021california,Premier,Pool,LMUCLA,Smith/Young,Jason Rhoads,Carlos Yvellez,Bryce Young,Ashton Smith,21,14
2021california,Premier,Pool,Assistive Touch,Daly/Singer,Buddy Hammon,Clark Marshall,Artie Singer,Alex Daly,21,8
2021california,Premier,Pool,Assistive Touch,Daly/Singer,Buddy Hammon,Clark Marshall,Artie Singer,Alex Daly,21,13
2021california,Premier,Pool,Western Grebes,Warn-A-Brotha,Lucas Pruett,Jake Howhannesian,Warner Curtis,Marc Baldwin,21,16
2021california,Premier,Pool,Western Grebes,Warn-A-Brotha,Lucas Pruett,Jake Howhannesian,Warner Curtis,Marc Baldwin,18,21
2021california,Premier,Pool,Western Grebes,Warn-A-Brotha,Lucas Pruett,Jake Howhannesian,Warner Curtis,Marc Baldwin,21,19
2021california,Premier,Pool,Ritto Boys,CornRows,Coleman Epperson's,Ryder Rivadeneyra,Logan Cornelius,Matthew Burrows,21,16
2021california,Premier,Pool,Ritto Boys,CornRows,Coleman Epperson's,Ryder Rivadeneyra,Logan Cornelius,Matthew Burrows,21,15
2021california,Premier,Pool,Tengan Toppa,Hot Monkey Come,Bryce Wagoner,Nick Noguez,Ryan McCargar,Andrew Stevens,16,21
2021california,Premier,Pool,Tengan Toppa,Hot Monkey Come,Bryce Wagoner,Nick Noguez,Ryan McCargar,Andrew Stevens,20,22
2021california,Premier,Pool,Cisek/Abrams,manGOOOOONS ( Team Edward ),Dan Abrams,Tyler Cisek,Jacob Payer,Jacob Martinez,21,18
2021california,Premier,Pool,Cisek/Abrams,manGOOOOONS ( Team Edward ),Dan Abrams,Tyler Cisek,Jacob Payer,Jacob Martinez,21,17
2021california,Premier,Pool,Cummings/ Bergman,Orange Dream,Caleb Cummings,Neal Bergman,Jack Granger,Archie Powell,21,7
2021california,Premier,Pool,Cummings/ Bergman,Orange Dream,Caleb Cummings,Neal Bergman,Jack Granger,Archie Powell,21,19
2021california,Premier,Pool,Graham/Showalter,Yip Yip,Joel Graham,PJ Showalter,Zack Duffy,Austin Rawlings,21,19
2021california,Premier,Pool,Graham/Showalter,Yip Yip,Joel Graham,PJ Showalter,Zack Duffy,Austin Rawlings,21,18
2021california,Premier,Pool,Trash Pandas,Team Alliteration,ian murphy,Christian Bennett,Matt Murray,Grant Marriott,23,21
2021california,Premier,Pool,Trash Pandas,Team Alliteration,ian murphy,Christian Bennett,Matt Murray,Grant Marriott,22,20
2021california,Premier,Pool,Lowkey,The Klondike Bars,Taylor Church,Dawson Morgan,Chandler Hertzler,Caleb Jarrett,18,21
2021california,Premier,Pool,Lowkey,The Klondike Bars,Taylor Church,Dawson Morgan,Chandler Hertzler,Caleb Jarrett,21,12
2021california,Premier,Pool,Lowkey,The Klondike Bars,Taylor Church,Dawson Morgan,Chandler Hertzler,Caleb Jarrett,20,22
2021california,Premier,Pool,GLO GLO JUICE,BZ Money,Dan Bonowski,Connor Prelich,Benjamin Banuelos,Cade Zorio,13,21
2021california,Premier,Pool,GLO GLO JUICE,BZ Money,Dan Bonowski,Connor Prelich,Benjamin Banuelos,Cade Zorio,15,21
2021california,Premier,Pool,Knotty,Foote / Oswalt,Jarratt Rouse,Ryan Fitzgerald,Warren Foote,Ryan Oswalt,21,16
2021california,Premier,Pool,Knotty,Foote / Oswalt,Jarratt Rouse,Ryan Fitzgerald,Warren Foote,Ryan Oswalt,18,21
2021california,Premier,Pool,Knotty,Foote / Oswalt,Jarratt Rouse,Ryan Fitzgerald,Warren Foote,Ryan Oswalt,21,19
2021california,Premier,Pool,Glizzy Gobblers,Nyoom?,Kane Rickman,Trey Bowman,Thomas Nishimoto,Daniel Lindeen,21,17
2021california,Premier,Pool,Glizzy Gobblers,Nyoom?,Kane Rickman,Trey Bowman,Thomas Nishimoto,Daniel Lindeen,21,18
2021california,Premier,Pool,Poptropica,Dewey Disciples,Grant Laughlin,Luke Mowry,Thomas Hamilton,Kevin Bailey,1,0
2021california,Premier,Pool,Poptropica,Dewey Disciples,Grant Laughlin,Luke Mowry,Thomas Hamilton,Kevin Bailey,1,0
2021california,Premier,Pool,Texas Sucks,Wong/(Will) Foote,Dean Wasil,Andrew Kosche,William Foote,Caleb Wong,21,16
2021california,Premier,Pool,Texas Sucks,Wong/(Will) Foote,Dean Wasil,Andrew Kosche,William Foote,Caleb Wong,18,21
2021california,Premier,Pool,Texas Sucks,Wong/(Will) Foote,Dean Wasil,Andrew Kosche,William Foote,Caleb Wong,21,18
2021california,Premier,Pool,Sloppy Seconds,Wonky Sauce,Gabe Finocchi,Travis Core,Justin Plett,Blake Bosak,14,21
2021california,Premier,Pool,Sloppy Seconds,Wonky Sauce,Gabe Finocchi,Travis Core,Justin Plett,Blake Bosak,19,21
2021california,Premier,Pool,Ortlip/Berry,Salty Nuts,Solomon Berry,Matt Ortlip,Trevor Barbosa,Dylan Bricker,21,19
2021california,Premier,Pool,Ortlip/Berry,Salty Nuts,Solomon Berry,Matt Ortlip,Trevor Barbosa,Dylan Bricker,21,18
2021california,Premier,Pool,Double Clutch,Blue Sky Bagel Club,Rahul Murthy,fredric hinkle,Josh Wheadon,Dennis Joseph,NA,NA
2021california,Premier,Pool,Double Clutch,Blue Sky Bagel Club,Rahul Murthy,fredric hinkle,Josh Wheadon,Dennis Joseph,NA,NA
2021california,Premier,Pool,Double Clutch,Blue Sky Bagel Club,Rahul Murthy,fredric hinkle,Josh Wheadon,Dennis Joseph,NA,NA
2021california,Premier,Pool,Box Models,Lefty Pull,Jordan Caradonna,Michael Hsu,Ryan Slaughter,Malachi Espinola,21,15
2021california,Premier,Pool,Box Models,Lefty Pull,Jordan Caradonna,Michael Hsu,Ryan Slaughter,Malachi Espinola,21,17
2021california,Premier,Pool,Gold Diggers,HOOPLA,Garrett Hornok,Kyle Ackermann,Schon Siguenza,John Shurance,21,11
2021california,Premier,Pool,Gold Diggers,HOOPLA,Garrett Hornok,Kyle Ackermann,Schon Siguenza,John Shurance,21,14
2021california,Premier,Pool,Chico Atlantic,Zia,Skyler Boles,Tom Rogers,Slade Warner,Daniel Wilson,21,19
2021california,Premier,Pool,Chico Atlantic,Zia,Skyler Boles,Tom Rogers,Slade Warner,Daniel Wilson,21,16
2021california,Premier,Pool,Boysterous,LMUCLA,Caleb Heck,Preston Bies,Jason Rhoads,Carlos Yvellez,21,15
2021california,Premier,Pool,Boysterous,LMUCLA,Caleb Heck,Preston Bies,Jason Rhoads,Carlos Yvellez,25,27
2021california,Premier,Pool,Boysterous,LMUCLA,Caleb Heck,Preston Bies,Jason Rhoads,Carlos Yvellez,22,20
2021california,Premier,Pool,Chowey,Smith/Young,David Gonzales,Nicolas Dewey,Bryce Young,Ashton Smith,21,23
2021california,Premier,Pool,Chowey,Smith/Young,David Gonzales,Nicolas Dewey,Bryce Young,Ashton Smith,17,21
2021california,Premier,Pool,Assistive Touch,Western Grebes,Buddy Hammon,Clark Marshall,Lucas Pruett,Jake Howhannesian,21,13
2021california,Premier,Pool,Assistive Touch,Western Grebes,Buddy Hammon,Clark Marshall,Lucas Pruett,Jake Howhannesian,21,8
2021california,Premier,Pool,Daly/Singer,Warn-A-Brotha,Artie Singer,Alex Daly,Warner Curtis,Marc Baldwin,18,21
2021california,Premier,Pool,Daly/Singer,Warn-A-Brotha,Artie Singer,Alex Daly,Warner Curtis,Marc Baldwin,21,16
2021california,Premier,Pool,Daly/Singer,Warn-A-Brotha,Artie Singer,Alex Daly,Warner Curtis,Marc Baldwin,25,24
