tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021chicago,Premier,Pool,Double Clutch,GLITCH,Rahul Murthy,fredric hinkle,Cody Dryer,Luke Nickel,21,14
2021chicago,Premier,Pool,Double Clutch,GLITCH,Rahul Murthy,fredric hinkle,Cody Dryer,Luke Nickel,21,7
2021chicago,Premier,Pool,Grassy,Big Booty Bumpers,Brendan Ferreira,Ryan Marino,Ethan McWhirter,Josh Weinbach,17,21
2021chicago,Premier,Pool,Grassy,Big Booty Bumpers,Brendan Ferreira,Ryan Marino,Ethan McWhirter,Josh Weinbach,21,11
2021chicago,Premier,Pool,Grassy,Big Booty Bumpers,Brendan Ferreira,Ryan Marino,Ethan McWhirter,Josh Weinbach,21,15
2021chicago,Premier,Pool,Curtain call center,Synthetic,Garrett Hornok,Ryan Gross,Gavin Broekema,Jason Hironimus,21,10
2021chicago,Premier,Pool,Curtain call center,Synthetic,Garrett Hornok,Ryan Gross,Gavin Broekema,Jason Hironimus,21,19
2021chicago,Premier,Pool,Tiki Taka,Clubspike Insurgence,Matthew Cole,Luke Marshall,Ethan Datwyler,Neal Bergman,16,21
2021chicago,Premier,Pool,Tiki Taka,Clubspike Insurgence,Matthew Cole,Luke Marshall,Ethan Datwyler,Neal Bergman,21,16
2021chicago,Premier,Pool,Tiki Taka,Clubspike Insurgence,Matthew Cole,Luke Marshall,Ethan Datwyler,Neal Bergman,21,14
2021chicago,Premier,Pool,Sloppy Seconds,Snaxx in my bag,Gabe Finocchi,Travis Core,Seth Searcy,Andrew Christmas,21,15
2021chicago,Premier,Pool,Sloppy Seconds,Snaxx in my bag,Gabe Finocchi,Travis Core,Seth Searcy,Andrew Christmas,21,14
2021chicago,Premier,Pool,Lowkey,Bavarian Jersey,Dawson Morgan,Taylor Church,Jakub Popluhar,Connor Prelich,21,17
2021chicago,Premier,Pool,Lowkey,Bavarian Jersey,Dawson Morgan,Taylor Church,Jakub Popluhar,Connor Prelich,21,16
2021chicago,Premier,Pool,Trippy Lizard,Short Cakes,Clark Marshall,Andrew Card,Justin Barr,Grant Longland,19,21
2021chicago,Premier,Pool,Trippy Lizard,Short Cakes,Clark Marshall,Andrew Card,Justin Barr,Grant Longland,21,18
2021chicago,Premier,Pool,Trippy Lizard,Short Cakes,Clark Marshall,Andrew Card,Justin Barr,Grant Longland,23,25
2021chicago,Premier,Pool,Dewey Disciples,Hsuper Powers,Thomas Hamilton,Kevin Bailey,Michael Hsu,Addison Powers,21,12
2021chicago,Premier,Pool,Dewey Disciples,Hsuper Powers,Thomas Hamilton,Kevin Bailey,Michael Hsu,Addison Powers,21,19
2021chicago,Premier,Pool,Graham/Showalter,WySlammo Zeroes,Joel Graham,PJ Showalter,Brian Jennerich,Jerm Porter,21,13
2021chicago,Premier,Pool,Graham/Showalter,WySlammo Zeroes,Joel Graham,PJ Showalter,Brian Jennerich,Jerm Porter,21,15
2021chicago,Premier,Pool,Ritto Boys,Highkey,Ryder Rivadeneyra,Coleman Epperson's,Max Billinghurst,Chandler Hertzler,21,17
2021chicago,Premier,Pool,Ritto Boys,Highkey,Ryder Rivadeneyra,Coleman Epperson's,Max Billinghurst,Chandler Hertzler,21,18
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Runnerís Up,Grant Klapwijk,Kyle Ackermann,Mitchell Grosteffon,Skyler Sebring,21,16
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Runnerís Up,Grant Klapwijk,Kyle Ackermann,Mitchell Grosteffon,Skyler Sebring,23,21
2021chicago,Premier,Pool,Outside Smoke,ClubSpike Spidey Senses,Grant Laughlin,Noah Luskus,Chris Wilkins,Nick Daub,19,21
2021chicago,Premier,Pool,Outside Smoke,ClubSpike Spidey Senses,Grant Laughlin,Noah Luskus,Chris Wilkins,Nick Daub,21,12
2021chicago,Premier,Pool,Outside Smoke,ClubSpike Spidey Senses,Grant Laughlin,Noah Luskus,Chris Wilkins,Nick Daub,21,11
2021chicago,Premier,Pool,Double Clutch,Big Booty Bumpers,Rahul Murthy,fredric hinkle,Ethan McWhirter,Josh Weinbach,21,12
2021chicago,Premier,Pool,Double Clutch,Big Booty Bumpers,Rahul Murthy,fredric hinkle,Ethan McWhirter,Josh Weinbach,21,18
2021chicago,Premier,Pool,Trash Pandas,GLITCH,ian murphy,Christian Bennett,Cody Dryer,Luke Nickel,18,21
2021chicago,Premier,Pool,Trash Pandas,GLITCH,ian murphy,Christian Bennett,Cody Dryer,Luke Nickel,21,19
2021chicago,Premier,Pool,Trash Pandas,GLITCH,ian murphy,Christian Bennett,Cody Dryer,Luke Nickel,21,15
2021chicago,Premier,Pool,Curtain call center,Clubspike Insurgence,Garrett Hornok,Ryan Gross,Ethan Datwyler,Neal Bergman,24,22
2021chicago,Premier,Pool,Curtain call center,Clubspike Insurgence,Garrett Hornok,Ryan Gross,Ethan Datwyler,Neal Bergman,22,20
2021chicago,Premier,Pool,Smash Bros,Synthetic,Derek Johnson,Austin Denny,Gavin Broekema,Jason Hironimus,21,16
2021chicago,Premier,Pool,Smash Bros,Synthetic,Derek Johnson,Austin Denny,Gavin Broekema,Jason Hironimus,21,15
2021chicago,Premier,Pool,Sloppy Seconds,Bavarian Jersey,Gabe Finocchi,Travis Core,Jakub Popluhar,Connor Prelich,21,15
2021chicago,Premier,Pool,Sloppy Seconds,Bavarian Jersey,Gabe Finocchi,Travis Core,Jakub Popluhar,Connor Prelich,21,15
2021chicago,Premier,Pool,Chowey,Snaxx in my bag,David Gonzales,Nicolas Dewey,Seth Searcy,Andrew Christmas,17,21
2021chicago,Premier,Pool,Chowey,Snaxx in my bag,David Gonzales,Nicolas Dewey,Seth Searcy,Andrew Christmas,14,21
2021chicago,Premier,Pool,Trippy Lizard,Hsuper Powers,Clark Marshall,Andrew Card,Michael Hsu,Addison Powers,21,14
2021chicago,Premier,Pool,Trippy Lizard,Hsuper Powers,Clark Marshall,Andrew Card,Michael Hsu,Addison Powers,24,26
2021chicago,Premier,Pool,Trippy Lizard,Hsuper Powers,Clark Marshall,Andrew Card,Michael Hsu,Addison Powers,21,14
2021chicago,Premier,Pool,Dewey Disciples,Short Cakes,Thomas Hamilton,Kevin Bailey,Justin Barr,Grant Longland,21,16
2021chicago,Premier,Pool,Dewey Disciples,Short Cakes,Thomas Hamilton,Kevin Bailey,Justin Barr,Grant Longland,25,23
2021chicago,Premier,Pool,Graham/Showalter,Highkey,Joel Graham,PJ Showalter,Max Billinghurst,Chandler Hertzler,22,24
2021chicago,Premier,Pool,Graham/Showalter,Highkey,Joel Graham,PJ Showalter,Max Billinghurst,Chandler Hertzler,21,7
2021chicago,Premier,Pool,Graham/Showalter,Highkey,Joel Graham,PJ Showalter,Max Billinghurst,Chandler Hertzler,23,21
2021chicago,Premier,Pool,Ritto Boys,WySlammo Zeroes,Ryder Rivadeneyra,Coleman Epperson's,Brian Jennerich,Jerm Porter,21,11
2021chicago,Premier,Pool,Ritto Boys,WySlammo Zeroes,Ryder Rivadeneyra,Coleman Epperson's,Brian Jennerich,Jerm Porter,21,8
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),ClubSpike Spidey Senses,Grant Klapwijk,Kyle Ackermann,Chris Wilkins,Nick Daub,21,18
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),ClubSpike Spidey Senses,Grant Klapwijk,Kyle Ackermann,Chris Wilkins,Nick Daub,19,21
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),ClubSpike Spidey Senses,Grant Klapwijk,Kyle Ackermann,Chris Wilkins,Nick Daub,23,21
2021chicago,Premier,Pool,Outside Smoke,Runnerís Up,Grant Laughlin,Noah Luskus,Mitchell Grosteffon,Skyler Sebring,21,19
2021chicago,Premier,Pool,Outside Smoke,Runnerís Up,Grant Laughlin,Noah Luskus,Mitchell Grosteffon,Skyler Sebring,21,14
2021chicago,Premier,Pool,Double Clutch,Trash Pandas,Rahul Murthy,fredric hinkle,ian murphy,Christian Bennett,21,9
2021chicago,Premier,Pool,Double Clutch,Trash Pandas,Rahul Murthy,fredric hinkle,ian murphy,Christian Bennett,21,10
2021chicago,Premier,Pool,Grassy,GLITCH,Brendan Ferreira,Ryan Marino,Cody Dryer,Luke Nickel,21,19
2021chicago,Premier,Pool,Grassy,GLITCH,Brendan Ferreira,Ryan Marino,Cody Dryer,Luke Nickel,19,21
2021chicago,Premier,Pool,Grassy,GLITCH,Brendan Ferreira,Ryan Marino,Cody Dryer,Luke Nickel,21,18
2021chicago,Premier,Pool,Curtain call center,Smash Bros,Garrett Hornok,Ryan Gross,Derek Johnson,Austin Denny,21,13
2021chicago,Premier,Pool,Curtain call center,Smash Bros,Garrett Hornok,Ryan Gross,Derek Johnson,Austin Denny,21,19
2021chicago,Premier,Pool,Tiki Taka,Synthetic,Matthew Cole,Luke Marshall,Gavin Broekema,Jason Hironimus,21,18
2021chicago,Premier,Pool,Tiki Taka,Synthetic,Matthew Cole,Luke Marshall,Gavin Broekema,Jason Hironimus,21,17
2021chicago,Premier,Pool,Sloppy Seconds,Chowey,Gabe Finocchi,Travis Core,David Gonzales,Nicolas Dewey,21,14
2021chicago,Premier,Pool,Sloppy Seconds,Chowey,Gabe Finocchi,Travis Core,David Gonzales,Nicolas Dewey,21,19
2021chicago,Premier,Pool,Lowkey,Snaxx in my bag,Dawson Morgan,Taylor Church,Seth Searcy,Andrew Christmas,21,19
2021chicago,Premier,Pool,Lowkey,Snaxx in my bag,Dawson Morgan,Taylor Church,Seth Searcy,Andrew Christmas,21,19
2021chicago,Premier,Pool,Trippy Lizard,Dewey Disciples,Clark Marshall,Andrew Card,Thomas Hamilton,Kevin Bailey,18,21
2021chicago,Premier,Pool,Trippy Lizard,Dewey Disciples,Clark Marshall,Andrew Card,Thomas Hamilton,Kevin Bailey,21,18
2021chicago,Premier,Pool,Trippy Lizard,Dewey Disciples,Clark Marshall,Andrew Card,Thomas Hamilton,Kevin Bailey,24,26
2021chicago,Premier,Pool,Hsuper Powers,Short Cakes,Michael Hsu,Addison Powers,Justin Barr,Grant Longland,21,18
2021chicago,Premier,Pool,Hsuper Powers,Short Cakes,Michael Hsu,Addison Powers,Justin Barr,Grant Longland,13,21
2021chicago,Premier,Pool,Hsuper Powers,Short Cakes,Michael Hsu,Addison Powers,Justin Barr,Grant Longland,21,11
2021chicago,Premier,Pool,Graham/Showalter,Ritto Boys,Joel Graham,PJ Showalter,Ryder Rivadeneyra,Coleman Epperson's,16,21
2021chicago,Premier,Pool,Graham/Showalter,Ritto Boys,Joel Graham,PJ Showalter,Ryder Rivadeneyra,Coleman Epperson's,15,21
2021chicago,Premier,Pool,Highkey,WySlammo Zeroes,Max Billinghurst,Chandler Hertzler,Brian Jennerich,Jerm Porter,21,16
2021chicago,Premier,Pool,Highkey,WySlammo Zeroes,Max Billinghurst,Chandler Hertzler,Brian Jennerich,Jerm Porter,25,23
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Outside Smoke,Grant Klapwijk,Kyle Ackermann,Grant Laughlin,Noah Luskus,21,18
2021chicago,Premier,Pool,Ghoul-Aid (Revenge Tour),Outside Smoke,Grant Klapwijk,Kyle Ackermann,Grant Laughlin,Noah Luskus,21,16
2021chicago,Premier,Pool,ClubSpike Spidey Senses,Runnerís Up,Chris Wilkins,Nick Daub,Mitchell Grosteffon,Skyler Sebring,16,21
2021chicago,Premier,Pool,ClubSpike Spidey Senses,Runnerís Up,Chris Wilkins,Nick Daub,Mitchell Grosteffon,Skyler Sebring,21,15
2021chicago,Premier,Pool,ClubSpike Spidey Senses,Runnerís Up,Chris Wilkins,Nick Daub,Mitchell Grosteffon,Skyler Sebring,21,19
2021chicago,Premier,Pool,Grassy,Trash Pandas,Brendan Ferreira,Ryan Marino,ian murphy,Christian Bennett,21,15
2021chicago,Premier,Pool,Grassy,Trash Pandas,Brendan Ferreira,Ryan Marino,ian murphy,Christian Bennett,21,18
2021chicago,Premier,Pool,Big Booty Bumpers,GLITCH,Ethan McWhirter,Josh Weinbach,Cody Dryer,Luke Nickel,21,18
2021chicago,Premier,Pool,Big Booty Bumpers,GLITCH,Ethan McWhirter,Josh Weinbach,Cody Dryer,Luke Nickel,25,24
2021chicago,Premier,Pool,Tiki Taka,Smash Bros,Matthew Cole,Luke Marshall,Derek Johnson,Austin Denny,21,19
2021chicago,Premier,Pool,Tiki Taka,Smash Bros,Matthew Cole,Luke Marshall,Derek Johnson,Austin Denny,20,22
2021chicago,Premier,Pool,Tiki Taka,Smash Bros,Matthew Cole,Luke Marshall,Derek Johnson,Austin Denny,21,16
2021chicago,Premier,Pool,Clubspike Insurgence,Synthetic,Ethan Datwyler,Neal Bergman,Gavin Broekema,Jason Hironimus,21,17
2021chicago,Premier,Pool,Clubspike Insurgence,Synthetic,Ethan Datwyler,Neal Bergman,Gavin Broekema,Jason Hironimus,21,16
