tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021nationals,Pro,Pool,Sloppy Seconds,Gold Diggers,Gabe Finocchi,Travis Core,Garrett Hornok,Kyle Ackermann,21,18
2021nationals,Pro,Pool,Sloppy Seconds,Gold Diggers,Gabe Finocchi,Travis Core,Garrett Hornok,Kyle Ackermann,21,19
2021nationals,Pro,Pool,Outside Smoke,Gross eggs and Ham,Grant Laughlin,Noah Luskus,Thomas Hamilton,Ryan Gross,21,16
2021nationals,Pro,Pool,Outside Smoke,Gross eggs and Ham,Grant Laughlin,Noah Luskus,Thomas Hamilton,Ryan Gross,24,22
2021nationals,Pro,Pool,Double Clutch,Tiki Taka,fredric hinkle,Rahul Murthy,Luke Marshall,Matthew Cole,21,15
2021nationals,Pro,Pool,Double Clutch,Tiki Taka,fredric hinkle,Rahul Murthy,Luke Marshall,Matthew Cole,21,17
2021nationals,Pro,Pool,WySpike Toxicity,Hilltop Spikes,David Louis,Luke Mowry,Max Model,Cole Model,21,17
2021nationals,Pro,Pool,WySpike Toxicity,Hilltop Spikes,David Louis,Luke Mowry,Max Model,Cole Model,19,21
2021nationals,Pro,Pool,WySpike Toxicity,Hilltop Spikes,David Louis,Luke Mowry,Max Model,Cole Model,17,21
2021nationals,Pro,Pool,Assistive Touch,Foote / Oswalt,Buddy Hammon,Clark Marshall,Ryan Oswalt,Warren Foote,21,17
2021nationals,Pro,Pool,Assistive Touch,Foote / Oswalt,Buddy Hammon,Clark Marshall,Ryan Oswalt,Warren Foote,21,18
2021nationals,Pro,Pool,Knotty,Volley Llamas,Ryan Fitzgerald,Jarratt Rouse,Will Picone,Joe Bondi,16,21
2021nationals,Pro,Pool,Knotty,Volley Llamas,Ryan Fitzgerald,Jarratt Rouse,Will Picone,Joe Bondi,16,21
2021nationals,Pro,Pool,Ritto Boys,Graham/Showalter,Ryder Rivadeneryra,Coleman Epperson,PJ Showalter,Joel Graham,21,16
2021nationals,Pro,Pool,Ritto Boys,Graham/Showalter,Ryder Rivadeneryra,Coleman Epperson,PJ Showalter,Joel Graham,21,11
2021nationals,Pro,Pool,Lowkey,Boysterous,Taylor Church,Dawson Morgan,Caleb Heck,Preston Bies,19,21
2021nationals,Pro,Pool,Lowkey,Boysterous,Taylor Church,Dawson Morgan,Caleb Heck,Preston Bies,21,17
2021nationals,Pro,Pool,Lowkey,Boysterous,Taylor Church,Dawson Morgan,Caleb Heck,Preston Bies,22,20
2021nationals,Pro,Pool,Sloppy Seconds,Gross eggs and Ham,Gabe Finocchi,Travis Core,Thomas Hamilton,Ryan Gross,21,13
2021nationals,Pro,Pool,Sloppy Seconds,Gross eggs and Ham,Gabe Finocchi,Travis Core,Thomas Hamilton,Ryan Gross,16,21
2021nationals,Pro,Pool,Sloppy Seconds,Gross eggs and Ham,Gabe Finocchi,Travis Core,Thomas Hamilton,Ryan Gross,21,19
2021nationals,Pro,Pool,Outside Smoke,Gold Diggers,Grant Laughlin,Noah Luskus,Garrett Hornok,Kyle Ackermann,13,21
2021nationals,Pro,Pool,Outside Smoke,Gold Diggers,Grant Laughlin,Noah Luskus,Garrett Hornok,Kyle Ackermann,25,27
2021nationals,Pro,Pool,Double Clutch,Hilltop Spikes,fredric hinkle,Rahul Murthy,Max Model,Cole Model,NA,NA
2021nationals,Pro,Pool,Double Clutch,Hilltop Spikes,fredric hinkle,Rahul Murthy,Max Model,Cole Model,NA,NA
2021nationals,Pro,Pool,WySpike Toxicity,Tiki Taka,David Louis,Luke Mowry,Luke Marshall,Matthew Cole,18,21
2021nationals,Pro,Pool,WySpike Toxicity,Tiki Taka,David Louis,Luke Mowry,Luke Marshall,Matthew Cole,15,21
2021nationals,Pro,Pool,Assistive Touch,Volley Llamas,Buddy Hammon,Clark Marshall,Will Picone,Joe Bondi,18,21
2021nationals,Pro,Pool,Assistive Touch,Volley Llamas,Buddy Hammon,Clark Marshall,Will Picone,Joe Bondi,21,18
2021nationals,Pro,Pool,Assistive Touch,Volley Llamas,Buddy Hammon,Clark Marshall,Will Picone,Joe Bondi,20,22
2021nationals,Pro,Pool,Knotty,Foote / Oswalt,Ryan Fitzgerald,Jarratt Rouse,Ryan Oswalt,Warren Foote,19,21
2021nationals,Pro,Pool,Knotty,Foote / Oswalt,Ryan Fitzgerald,Jarratt Rouse,Ryan Oswalt,Warren Foote,16,21
2021nationals,Pro,Pool,Ritto Boys,Boysterous,Ryder Rivadeneryra,Coleman Epperson,Caleb Heck,Preston Bies,21,17
2021nationals,Pro,Pool,Ritto Boys,Boysterous,Ryder Rivadeneryra,Coleman Epperson,Caleb Heck,Preston Bies,21,17
2021nationals,Pro,Pool,Lowkey,Graham/Showalter,Taylor Church,Dawson Morgan,PJ Showalter,Joel Graham,21,19
2021nationals,Pro,Pool,Lowkey,Graham/Showalter,Taylor Church,Dawson Morgan,PJ Showalter,Joel Graham,21,13
2021nationals,Pro,Pool,Sloppy Seconds,Outside Smoke,Gabe Finocchi,Travis Core,Grant Laughlin,Noah Luskus,21,18
2021nationals,Pro,Pool,Sloppy Seconds,Outside Smoke,Gabe Finocchi,Travis Core,Grant Laughlin,Noah Luskus,24,22
2021nationals,Pro,Pool,Gross eggs and Ham,Gold Diggers,Thomas Hamilton,Ryan Gross,Garrett Hornok,Kyle Ackermann,1,0
2021nationals,Pro,Pool,Gross eggs and Ham,Gold Diggers,Thomas Hamilton,Ryan Gross,Garrett Hornok,Kyle Ackermann,0,1
2021nationals,Pro,Pool,Gross eggs and Ham,Gold Diggers,Thomas Hamilton,Ryan Gross,Garrett Hornok,Kyle Ackermann,0,1
2021nationals,Pro,Pool,Double Clutch,WySpike Toxicity,fredric hinkle,Rahul Murthy,David Louis,Luke Mowry,21,16
2021nationals,Pro,Pool,Double Clutch,WySpike Toxicity,fredric hinkle,Rahul Murthy,David Louis,Luke Mowry,21,13
2021nationals,Pro,Pool,Hilltop Spikes,Tiki Taka,Max Model,Cole Model,Luke Marshall,Matthew Cole,NA,NA
2021nationals,Pro,Pool,Hilltop Spikes,Tiki Taka,Max Model,Cole Model,Luke Marshall,Matthew Cole,NA,NA
2021nationals,Pro,Pool,Assistive Touch,Knotty,Buddy Hammon,Clark Marshall,Ryan Fitzgerald,Jarratt Rouse,21,18
2021nationals,Pro,Pool,Assistive Touch,Knotty,Buddy Hammon,Clark Marshall,Ryan Fitzgerald,Jarratt Rouse,21,14
2021nationals,Pro,Pool,Volley Llamas,Foote / Oswalt,Will Picone,Joe Bondi,Ryan Oswalt,Warren Foote,21,11
2021nationals,Pro,Pool,Volley Llamas,Foote / Oswalt,Will Picone,Joe Bondi,Ryan Oswalt,Warren Foote,18,21
2021nationals,Pro,Pool,Volley Llamas,Foote / Oswalt,Will Picone,Joe Bondi,Ryan Oswalt,Warren Foote,19,21
2021nationals,Pro,Pool,Ritto Boys,Lowkey,Ryder Rivadeneryra,Coleman Epperson,Taylor Church,Dawson Morgan,21,17
2021nationals,Pro,Pool,Ritto Boys,Lowkey,Ryder Rivadeneryra,Coleman Epperson,Taylor Church,Dawson Morgan,21,17
2021nationals,Pro,Pool,Boysterous,Graham/Showalter,Caleb Heck,Preston Bies,PJ Showalter,Joel Graham,19,21
2021nationals,Pro,Pool,Boysterous,Graham/Showalter,Caleb Heck,Preston Bies,PJ Showalter,Joel Graham,21,17
2021nationals,Pro,Pool,Boysterous,Graham/Showalter,Caleb Heck,Preston Bies,PJ Showalter,Joel Graham,21,17
2021nationals,Premier,Pool,Hand of God,Evasive Maneuvers,Austin Rawlings,Chandler Hertzler,Jenson Miller,Michael Barkman,21,12
2021nationals,Premier,Pool,Parahooters,Pickle Juice,Dylan East,Ryan Baillargeon,Jake Heidman,Kieran Rose,21,16
2021nationals,Premier,Pool,China Moon,Uno Reverse,Kevin McClain,Connor Prelich,704trev _roundnet,Benjamin Goldfarb,15,21
2021nationals,Premier,Pool,ClubSpike Spidey Senses,Last Minute,Chris Wilkins,Nick Daub,AJ Hutchinson,Marlon Fleming,21,16
2021nationals,Premier,Pool,Trash Pandas,CRO Average Joeís,ian murphy,Christian Bennett,Chris Brown,Ben Pernfuss,21,18
2021nationals,Premier,Pool,Alaskan bull worms,Saint and Slade,Connor Harte,Sean Brown,Slade Warner,Ryan St. Denis,17,21
2021nationals,Premier,Pool,Boles/Cornelius,Glizzy Gladiators,Logan Cornelius,Skyler Boles,Jacob Summers,Polk Denmark,22,20
2021nationals,Premier,Pool,Los & Len,Sports and Reilly,Carlos Yvellez,Allen Iwamoto,Reilly Paquette,Jackson Brasfield,21,16
2021nationals,Premier,Pool,MT3,Old Line State,Chase Meyer,bradley thompson,James Swanson,Mark Borunda,21,14
2021nationals,Premier,Pool,Spicy Tuna Roll,Creech & Dom,Ezra Dantowitz,Daniel McPartland,Ethan Domster,Isaiah Balter,21,16
2021nationals,Premier,Pool,Bull City,Boost,Juan Ruiz-Delgado,Anthony Daming,Alex Luc,Charlie Freeman,21,19
2021nationals,Premier,Pool,It's Ben's Birthday,Pocket Rockets,Ian Slattery,Benjamin Bunze,Donald Fung,Nick Mesa,13,21
2021nationals,Premier,Pool,Cucumbarr,PPM,Justin Barr,Caleb Cummings,Devin Tuttle,Ashton Smith,21,15
2021nationals,Premier,Pool,Meniscus,Feeble iguanas,Dan Bonowski,Nate Hopkins,Andrew Gunter,Brayden Latham,21,18
2021nationals,Premier,Pool,3 Meter Set,Runnerís Up,Marc Etienne McLaughlin,Olivier Laurin,Skyler Sebring,Mitchell Grosteffon,21,17
2021nationals,Premier,Pool,Moonsmoke,Waffle House,Dylan Keen,Brian Childs,Owen Lippman,Stephen Jones,21,18
2021nationals,Premier,Pool,Texas Sucks,Matrix Reactor,Andrew Kosche,Dean Wasil,Jack Granger,Sully Woodlee,25,23
2021nationals,Premier,Pool,Enraged Princes,505 x 805,Tommy Drake,Nick Noguez,Luke Freimanis,Archie Powell,21,13
2021nationals,Premier,Pool,Red Flag,Cut the Cheese,Emerson Dean,Ryan Marino,Samuel Corey,Kurt Lannetti,21,18
2021nationals,Premier,Pool,Coast2Coast Dab Up,GLITCH,Artie Singer,Jacob Martinez,Luke Nickel,Cody Dryer,21,17
2021nationals,Premier,Pool,Western Grebes,Funness,Lucas Pruett,Jake Howhannesian,Jake Goodnow,Dennis Joseph,14,21
2021nationals,Premier,Pool,LaRoofas Flooding,"15,500",Hayden Flood,Joe LaRuffa,Ian Timan,Ezra Dantowitz,21,17
2021nationals,Premier,Pool,ClubSpike Insurgence,The Diamond Dogs,Ethan Datwyler,Neal Bergman,Reid Pfutzenreuter,Bennett Anderson,21,17
2021nationals,Premier,Pool,Macho Mango,Virginia Beach Roundnet,Liam Sherron,Max Billinghurst,James Mitchum,Caleb Brock,17,21
2021nationals,Premier,Pool,Hand of God,Pickle Juice,Austin Rawlings,Chandler Hertzler,Jake Heidman,Kieran Rose,21,13
2021nationals,Premier,Pool,Parahooters,China Moon,Dylan East,Ryan Baillargeon,Kevin McClain,Connor Prelich,21,15
2021nationals,Premier,Pool,Uno Reverse,Evasive Maneuvers,704trev _roundnet,Benjamin Goldfarb,Jenson Miller,Michael Barkman,19,21
2021nationals,Premier,Pool,ClubSpike Spidey Senses,CRO Average Joeís,Chris Wilkins,Nick Daub,Chris Brown,Ben Pernfuss,21,8
2021nationals,Premier,Pool,Trash Pandas,Alaskan bull worms,ian murphy,Christian Bennett,Connor Harte,Sean Brown,21,14
2021nationals,Premier,Pool,Saint and Slade,Last Minute,Slade Warner,Ryan St. Denis,AJ Hutchinson,Marlon Fleming,25,24
2021nationals,Premier,Pool,Boles/Cornelius,Sports and Reilly,Logan Cornelius,Skyler Boles,Reilly Paquette,Jackson Brasfield,21,15
2021nationals,Premier,Pool,Los & Len,MT3,Carlos Yvellez,Allen Iwamoto,Chase Meyer,bradley thompson,20,22
2021nationals,Premier,Pool,Old Line State,Glizzy Gladiators,James Swanson,Mark Borunda,Jacob Summers,Polk Denmark,14,21
2021nationals,Premier,Pool,Spicy Tuna Roll,Boost,Ezra Dantowitz,Daniel McPartland,Alex Luc,Charlie Freeman,21,16
2021nationals,Premier,Pool,Bull City,It's Ben's Birthday,Juan Ruiz-Delgado,Anthony Daming,Ian Slattery,Benjamin Bunze,24,25
2021nationals,Premier,Pool,Pocket Rockets,Creech & Dom,Donald Fung,Nick Mesa,Ethan Domster,Isaiah Balter,21,14
2021nationals,Premier,Pool,Cucumbarr,Feeble iguanas,Justin Barr,Caleb Cummings,Andrew Gunter,Brayden Latham,21,19
2021nationals,Premier,Pool,Meniscus,3 Meter Set,Dan Bonowski,Nate Hopkins,Marc Etienne McLaughlin,Olivier Laurin,17,21
2021nationals,Premier,Pool,Runnerís Up,PPM,Skyler Sebring,Mitchell Grosteffon,Devin Tuttle,Ashton Smith,12,21
2021nationals,Premier,Pool,Moonsmoke,Matrix Reactor,Dylan Keen,Brian Childs,Jack Granger,Sully Woodlee,21,18
2021nationals,Premier,Pool,Texas Sucks,Enraged Princes,Andrew Kosche,Dean Wasil,Tommy Drake,Nick Noguez,25,23
2021nationals,Premier,Pool,505 x 805,Waffle House,Luke Freimanis,Archie Powell,Owen Lippman,Stephen Jones,17,21
2021nationals,Premier,Pool,Red Flag,GLITCH,Emerson Dean,Ryan Marino,Luke Nickel,Cody Dryer,19,21
2021nationals,Premier,Pool,Coast2Coast Dab Up,Western Grebes,Artie Singer,Jacob Martinez,Lucas Pruett,Jake Howhannesian,21,15
2021nationals,Premier,Pool,Funness,Cut the Cheese,Jake Goodnow,Dennis Joseph,Samuel Corey,Kurt Lannetti,21,16
2021nationals,Premier,Pool,LaRoofas Flooding,The Diamond Dogs,Hayden Flood,Joe LaRuffa,Reid Pfutzenreuter,Bennett Anderson,21,13
2021nationals,Premier,Pool,ClubSpike Insurgence,Macho Mango,Ethan Datwyler,Neal Bergman,Liam Sherron,Max Billinghurst,21,14
2021nationals,Premier,Pool,Virginia Beach Roundnet,"15,500",James Mitchum,Caleb Brock,Ian Timan,Ezra Dantowitz,15,21
2021nationals,Premier,Pool,Hand of God,Uno Reverse,Austin Rawlings,Chandler Hertzler,704trev _roundnet,Benjamin Goldfarb,21,18
2021nationals,Premier,Pool,Parahooters,Evasive Maneuvers,Dylan East,Ryan Baillargeon,Jenson Miller,Michael Barkman,21,16
2021nationals,Premier,Pool,China Moon,Pickle Juice,Kevin McClain,Connor Prelich,Jake Heidman,Kieran Rose,21,18
2021nationals,Premier,Pool,ClubSpike Spidey Senses,Saint and Slade,Chris Wilkins,Nick Daub,Slade Warner,Ryan St. Denis,23,21
2021nationals,Premier,Pool,Trash Pandas,Last Minute,ian murphy,Christian Bennett,AJ Hutchinson,Marlon Fleming,21,15
2021nationals,Premier,Pool,Alaskan bull worms,CRO Average Joeís,Connor Harte,Sean Brown,Chris Brown,Ben Pernfuss,21,17
2021nationals,Premier,Pool,Boles/Cornelius,Old Line State,Logan Cornelius,Skyler Boles,James Swanson,Mark Borunda,21,15
2021nationals,Premier,Pool,Los & Len,Glizzy Gladiators,Carlos Yvellez,Allen Iwamoto,Jacob Summers,Polk Denmark,21,19
2021nationals,Premier,Pool,MT3,Sports and Reilly,Chase Meyer,bradley thompson,Reilly Paquette,Jackson Brasfield,21,18
2021nationals,Premier,Pool,Spicy Tuna Roll,Pocket Rockets,Ezra Dantowitz,Daniel McPartland,Donald Fung,Nick Mesa,16,21
2021nationals,Premier,Pool,Bull City,Creech & Dom,Juan Ruiz-Delgado,Anthony Daming,Ethan Domster,Isaiah Balter,21,13
2021nationals,Premier,Pool,It's Ben's Birthday,Boost,Ian Slattery,Benjamin Bunze,Alex Luc,Charlie Freeman,18,21
2021nationals,Premier,Pool,Cucumbarr,Runnerís Up,Justin Barr,Caleb Cummings,Skyler Sebring,Mitchell Grosteffon,21,19
2021nationals,Premier,Pool,Meniscus,PPM,Dan Bonowski,Nate Hopkins,Devin Tuttle,Ashton Smith,17,21
2021nationals,Premier,Pool,3 Meter Set,Feeble iguanas,Marc Etienne McLaughlin,Olivier Laurin,Andrew Gunter,Brayden Latham,21,18
2021nationals,Premier,Pool,Moonsmoke,505 x 805,Dylan Keen,Brian Childs,Luke Freimanis,Archie Powell,21,11
2021nationals,Premier,Pool,Texas Sucks,Waffle House,Andrew Kosche,Dean Wasil,Owen Lippman,Stephen Jones,13,21
2021nationals,Premier,Pool,Enraged Princes,Matrix Reactor,Tommy Drake,Nick Noguez,Jack Granger,Sully Woodlee,21,18
2021nationals,Premier,Pool,Red Flag,Funness,Emerson Dean,Ryan Marino,Jake Goodnow,Dennis Joseph,21,10
2021nationals,Premier,Pool,Coast2Coast Dab Up,Cut the Cheese,Artie Singer,Jacob Martinez,Samuel Corey,Kurt Lannetti,21,10
2021nationals,Premier,Pool,Western Grebes,GLITCH,Lucas Pruett,Jake Howhannesian,Luke Nickel,Cody Dryer,18,21
2021nationals,Premier,Pool,LaRoofas Flooding,Virginia Beach Roundnet,Hayden Flood,Joe LaRuffa,James Mitchum,Caleb Brock,21,11
2021nationals,Premier,Pool,ClubSpike Insurgence,"15,500",Ethan Datwyler,Neal Bergman,Ian Timan,Ezra Dantowitz,21,19
2021nationals,Premier,Pool,Macho Mango,The Diamond Dogs,Liam Sherron,Max Billinghurst,Reid Pfutzenreuter,Bennett Anderson,14,21
2021nationals,Premier,Pool,Hand of God,China Moon,Austin Rawlings,Chandler Hertzler,Kevin McClain,Connor Prelich,16,21
2021nationals,Premier,Pool,Parahooters,Uno Reverse,Dylan East,Ryan Baillargeon,704trev _roundnet,Benjamin Goldfarb,15,21
2021nationals,Premier,Pool,Pickle Juice,Evasive Maneuvers,Jake Heidman,Kieran Rose,Jenson Miller,Michael Barkman,14,21
2021nationals,Premier,Pool,ClubSpike Spidey Senses,Alaskan bull worms,Chris Wilkins,Nick Daub,Connor Harte,Sean Brown,21,16
2021nationals,Premier,Pool,Trash Pandas,Saint and Slade,ian murphy,Christian Bennett,Slade Warner,Ryan St. Denis,21,23
2021nationals,Premier,Pool,CRO Average Joeís,Last Minute,Chris Brown,Ben Pernfuss,AJ Hutchinson,Marlon Fleming,25,24
2021nationals,Premier,Pool,Boles/Cornelius,MT3,Logan Cornelius,Skyler Boles,Chase Meyer,bradley thompson,17,21
2021nationals,Premier,Pool,Los & Len,Old Line State,Carlos Yvellez,Allen Iwamoto,James Swanson,Mark Borunda,21,16
2021nationals,Premier,Pool,Sports and Reilly,Glizzy Gladiators,Reilly Paquette,Jackson Brasfield,Jacob Summers,Polk Denmark,21,11
2021nationals,Premier,Pool,Spicy Tuna Roll,It's Ben's Birthday,Ezra Dantowitz,Daniel McPartland,Ian Slattery,Benjamin Bunze,21,15
2021nationals,Premier,Pool,Bull City,Pocket Rockets,Juan Ruiz-Delgado,Anthony Daming,Donald Fung,Nick Mesa,24,25
2021nationals,Premier,Pool,Boost,Creech & Dom,Alex Luc,Charlie Freeman,Ethan Domster,Isaiah Balter,19,21
2021nationals,Premier,Pool,Cucumbarr,3 Meter Set,Justin Barr,Caleb Cummings,Marc Etienne McLaughlin,Olivier Laurin,21,16
2021nationals,Premier,Pool,Meniscus,Runnerís Up,Dan Bonowski,Nate Hopkins,Skyler Sebring,Mitchell Grosteffon,21,14
2021nationals,Premier,Pool,Feeble iguanas,PPM,Andrew Gunter,Brayden Latham,Devin Tuttle,Ashton Smith,16,21
2021nationals,Premier,Pool,Moonsmoke,Enraged Princes,Dylan Keen,Brian Childs,Tommy Drake,Nick Noguez,18,21
2021nationals,Premier,Pool,Texas Sucks,505 x 805,Andrew Kosche,Dean Wasil,Luke Freimanis,Archie Powell,24,25
2021nationals,Premier,Pool,Matrix Reactor,Waffle House,Jack Granger,Sully Woodlee,Owen Lippman,Stephen Jones,19,21
2021nationals,Premier,Pool,Red Flag,Western Grebes,Emerson Dean,Ryan Marino,Lucas Pruett,Jake Howhannesian,21,17
2021nationals,Premier,Pool,Coast2Coast Dab Up,Funness,Artie Singer,Jacob Martinez,Jake Goodnow,Dennis Joseph,21,18
2021nationals,Premier,Pool,GLITCH,Cut the Cheese,Luke Nickel,Cody Dryer,Samuel Corey,Kurt Lannetti,21,12
2021nationals,Premier,Pool,LaRoofas Flooding,Macho Mango,Hayden Flood,Joe LaRuffa,Liam Sherron,Max Billinghurst,21,15
2021nationals,Premier,Pool,ClubSpike Insurgence,Virginia Beach Roundnet,Ethan Datwyler,Neal Bergman,James Mitchum,Caleb Brock,21,18
2021nationals,Premier,Pool,The Diamond Dogs,"15,500",Reid Pfutzenreuter,Bennett Anderson,Ian Timan,Ezra Dantowitz,19,21
2021nationals,Premier,Pool,Hand of God,Parahooters,Austin Rawlings,Chandler Hertzler,Dylan East,Ryan Baillargeon,21,19
2021nationals,Premier,Pool,China Moon,Evasive Maneuvers,Kevin McClain,Connor Prelich,Jenson Miller,Michael Barkman,18,21
2021nationals,Premier,Pool,Uno Reverse,Pickle Juice,704trev _roundnet,Benjamin Goldfarb,Jake Heidman,Kieran Rose,21,17
2021nationals,Premier,Pool,ClubSpike Spidey Senses,Trash Pandas,Chris Wilkins,Nick Daub,ian murphy,Christian Bennett,21,17
2021nationals,Premier,Pool,Alaskan bull worms,Last Minute,Connor Harte,Sean Brown,AJ Hutchinson,Marlon Fleming,23,25
2021nationals,Premier,Pool,Saint and Slade,CRO Average Joeís,Slade Warner,Ryan St. Denis,Chris Brown,Ben Pernfuss,21,18
2021nationals,Premier,Pool,Boles/Cornelius,Los & Len,Logan Cornelius,Skyler Boles,Carlos Yvellez,Allen Iwamoto,16,21
2021nationals,Premier,Pool,MT3,Glizzy Gladiators,Chase Meyer,bradley thompson,Jacob Summers,Polk Denmark,21,16
2021nationals,Premier,Pool,Old Line State,Sports and Reilly,James Swanson,Mark Borunda,Reilly Paquette,Jackson Brasfield,16,21
2021nationals,Premier,Pool,Spicy Tuna Roll,Bull City,Ezra Dantowitz,Daniel McPartland,Juan Ruiz-Delgado,Anthony Daming,21,18
2021nationals,Premier,Pool,It's Ben's Birthday,Creech & Dom,Ian Slattery,Benjamin Bunze,Ethan Domster,Isaiah Balter,21,19
2021nationals,Premier,Pool,Pocket Rockets,Boost,Donald Fung,Nick Mesa,Alex Luc,Charlie Freeman,21,15
2021nationals,Premier,Pool,Cucumbarr,Meniscus,Justin Barr,Caleb Cummings,Dan Bonowski,Nate Hopkins,22,20
2021nationals,Premier,Pool,3 Meter Set,PPM,Marc Etienne McLaughlin,Olivier Laurin,Devin Tuttle,Ashton Smith,21,11
2021nationals,Premier,Pool,Runnerís Up,Feeble iguanas,Skyler Sebring,Mitchell Grosteffon,Andrew Gunter,Brayden Latham,17,21
2021nationals,Premier,Pool,Moonsmoke,Texas Sucks,Dylan Keen,Brian Childs,Andrew Kosche,Dean Wasil,21,17
2021nationals,Premier,Pool,Enraged Princes,Waffle House,Tommy Drake,Nick Noguez,Owen Lippman,Stephen Jones,21,18
2021nationals,Premier,Pool,505 x 805,Matrix Reactor,Luke Freimanis,Archie Powell,Jack Granger,Sully Woodlee,24,22
2021nationals,Premier,Pool,Red Flag,Coast2Coast Dab Up,Emerson Dean,Ryan Marino,Artie Singer,Jacob Martinez,21,15
2021nationals,Premier,Pool,Western Grebes,Cut the Cheese,Lucas Pruett,Jake Howhannesian,Samuel Corey,Kurt Lannetti,21,13
2021nationals,Premier,Pool,Funness,GLITCH,Jake Goodnow,Dennis Joseph,Luke Nickel,Cody Dryer,17,21
2021nationals,Premier,Pool,LaRoofas Flooding,ClubSpike Insurgence,Hayden Flood,Joe LaRuffa,Ethan Datwyler,Neal Bergman,19,21
