tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021newengland,Premier,Pool,Gross eggs and Ham,/kick,Ryan Gross,Thomas Hamilton,Dan Bonowski,704trev _roundnet,21,14
2021newengland,Premier,Pool,Gross eggs and Ham,/kick,Ryan Gross,Thomas Hamilton,Dan Bonowski,704trev _roundnet,21,16
2021newengland,Premier,Pool,Coreanos Simps,Trash Pandas,Jared Bingham,Alex Daly,ian murphy,Christian Bennett,19,21
2021newengland,Premier,Pool,Coreanos Simps,Trash Pandas,Jared Bingham,Alex Daly,ian murphy,Christian Bennett,17,21
2021newengland,Premier,Pool,Ghoul-Aid (Revenge Tour),Sawtooth Spikers,Grant Klapwijk,Kyle Ackermann,Dennis Joseph,Thomas Maloney,21,12
2021newengland,Premier,Pool,Ghoul-Aid (Revenge Tour),Sawtooth Spikers,Grant Klapwijk,Kyle Ackermann,Dennis Joseph,Thomas Maloney,21,18
2021newengland,Premier,Pool,Hillbottom Spikes,Jiggly Wrists,Dan Abrams,Demitri Forand,Connor Prelich,Kieran Rose,22,20
2021newengland,Premier,Pool,Hillbottom Spikes,Jiggly Wrists,Dan Abrams,Demitri Forand,Connor Prelich,Kieran Rose,21,15
2021newengland,Premier,Pool,Church/Hertzler,Are we good now?,Chandler Hertzler,Taylor Church,Ian Slattery,Jake Goodnow,21,14
2021newengland,Premier,Pool,Church/Hertzler,Are we good now?,Chandler Hertzler,Taylor Church,Ian Slattery,Jake Goodnow,21,12
2021newengland,Premier,Pool,Grassy,Nick Sant's Basement,Brendan Ferreira,Ryan Marino,Dan McPartland,Artie Singer,21,10
2021newengland,Premier,Pool,Grassy,Nick Sant's Basement,Brendan Ferreira,Ryan Marino,Dan McPartland,Artie Singer,14,21
2021newengland,Premier,Pool,Grassy,Nick Sant's Basement,Brendan Ferreira,Ryan Marino,Dan McPartland,Artie Singer,21,17
2021newengland,Premier,Pool,Gross eggs and Ham,Trash Pandas,Ryan Gross,Thomas Hamilton,ian murphy,Christian Bennett,21,11
2021newengland,Premier,Pool,Gross eggs and Ham,Trash Pandas,Ryan Gross,Thomas Hamilton,ian murphy,Christian Bennett,21,15
2021newengland,Premier,Pool,Hilltop Spikes,/kick,Cole Model,Max Model,Dan Bonowski,704trev _roundnet,21,11
2021newengland,Premier,Pool,Hilltop Spikes,/kick,Cole Model,Max Model,Dan Bonowski,704trev _roundnet,21,14
2021newengland,Premier,Pool,Ghoul-Aid (Revenge Tour),Jiggly Wrists,Grant Klapwijk,Kyle Ackermann,Connor Prelich,Kieran Rose,21,10
2021newengland,Premier,Pool,Ghoul-Aid (Revenge Tour),Jiggly Wrists,Grant Klapwijk,Kyle Ackermann,Connor Prelich,Kieran Rose,21,15
2021newengland,Premier,Pool,Puzzle Dust,Sawtooth Spikers,Ian Golembeski,Ezra Dantowitz,Dennis Joseph,Thomas Maloney,21,18
2021newengland,Premier,Pool,Puzzle Dust,Sawtooth Spikers,Ian Golembeski,Ezra Dantowitz,Dennis Joseph,Thomas Maloney,21,19
2021newengland,Premier,Pool,Church/Hertzler,Nick Sant's Basement,Chandler Hertzler,Taylor Church,Dan McPartland,Artie Singer,21,10
