tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021rexburg,Contender,Pool,good.,Moose Chops,Taylor Church,Chandler Hertzler,Trey Thompson,Bryant Karratti,21,18
2021rexburg,Contender,Pool,good.,Moose Chops,Taylor Church,Chandler Hertzler,Trey Thompson,Bryant Karratti,17,21
2021rexburg,Contender,Pool,good.,Moose Chops,Taylor Church,Chandler Hertzler,Trey Thompson,Bryant Karratti,21,17
2021rexburg,Contender,Pool,Matty has a cute fanny,Drip Drop,"Matt Murray, Solomon Berry",1 more,Grant Marriott,Jake LeBaron,21,12
2021rexburg,Contender,Pool,Matty has a cute fanny,Drip Drop,"Matt Murray, Solomon Berry",1 more,Grant Marriott,Jake LeBaron,16,21
2021rexburg,Contender,Pool,Matty has a cute fanny,Drip Drop,"Matt Murray, Solomon Berry",1 more,Grant Marriott,Jake LeBaron,25,24
2021rexburg,Contender,Pool,Garrett & Creech,Chubbachunk,Garrett Carver,Isaiah Balter,Isaac Taylor,Dallin James,21,19
2021rexburg,Contender,Pool,No touch,SpikeBob RoundPants,Chase Gunter,Sam Bunze,mitchell macnab,Zachary Frisch,21,19
2021rexburg,Contender,Pool,Better Not Carry,Los Dos,Taylor Sanford,Derek Bonney,Jake Amend,Jack Gordon,21,10
2021rexburg,Contender,Pool,Practice Safe Sets,"Spike Father, Spike Son",Ryan Benz,Jesse Ruehrwein,Tate Hertzler,Rob Hertzler,21,9
2021rexburg,Contender,Pool,Dirty Spanks,Kiss My Ace,Talor Garrison,Kaleb Wagner,Jaren Haggard,Benjamin Thiriot,21,11
2021rexburg,Contender,Pool,Ball sackers,Spirit of Buddy Hammon,Anthony Clifford,Brooks Massey,Dylan LeBaron,Harold Mancia,21,17
2021rexburg,Contender,Pool,daddyís home,Knights of the Roundnet,Tanner Scherwinski,Connor Anderson,Kody Price,Peter Barton,21,13
2021rexburg,Contender,Pool,Panda Orange Chicken,Ace Ace Baby,Trent Alderfer,Tal Rogers,Keyan McLaughlin,Lincoln Hertzler,21,10
2021rexburg,Contender,Pool,good.,Drip Drop,Taylor Church,Chandler Hertzler,Grant Marriott,Jake LeBaron,21,9
2021rexburg,Contender,Pool,good.,Drip Drop,Taylor Church,Chandler Hertzler,Grant Marriott,Jake LeBaron,21,18
2021rexburg,Contender,Pool,Matty has a cute fanny,Moose Chops,"Matt Murray, Solomon Berry",1 more,Trey Thompson,Bryant Karratti,22,24
2021rexburg,Contender,Pool,Matty has a cute fanny,Moose Chops,"Matt Murray, Solomon Berry",1 more,Trey Thompson,Bryant Karratti,24,25
2021rexburg,Contender,Pool,Matty has a cute fanny,Moose Chops,"Matt Murray, Solomon Berry",1 more,Trey Thompson,Bryant Karratti,0,0
2021rexburg,Contender,Pool,Garrett & Creech,SpikeBob RoundPants,Garrett Carver,Isaiah Balter,mitchell macnab,Zachary Frisch,21,15
2021rexburg,Contender,Pool,Never Tilted,Chubbachunk,Alex Tamang,Camden Sandberg,Isaac Taylor,Dallin James,21,8
2021rexburg,Contender,Pool,Better Not Carry,"Spike Father, Spike Son",Taylor Sanford,Derek Bonney,Tate Hertzler,Rob Hertzler,21,8
2021rexburg,Contender,Pool,Sunny Sets,Los Dos,Spencer Straddeck,Brian Hansen,Jake Amend,Jack Gordon,21,8
2021rexburg,Contender,Pool,Dirty Spanks,Spirit of Buddy Hammon,Talor Garrison,Kaleb Wagner,Dylan LeBaron,Harold Mancia,21,17
2021rexburg,Contender,Pool,Spikedelic,Kiss My Ace,Justin Anderson,Braydon Cumming,Jaren Haggard,Benjamin Thiriot,21,19
2021rexburg,Contender,Pool,daddyís home,Ace Ace Baby,Tanner Scherwinski,Connor Anderson,Keyan McLaughlin,Lincoln Hertzler,21,18
2021rexburg,Contender,Pool,Ligma,Knights of the Roundnet,Adam Calder,Oleh Kalabanko,Kody Price,Peter Barton,21,12
2021rexburg,Contender,Pool,good.,Matty has a cute fanny,Taylor Church,Chandler Hertzler,"Matt Murray, Solomon Berry",1 more,21,18
2021rexburg,Contender,Pool,good.,Matty has a cute fanny,Taylor Church,Chandler Hertzler,"Matt Murray, Solomon Berry",1 more,25,24
2021rexburg,Contender,Pool,Drip Drop,Moose Chops,Grant Marriott,Jake LeBaron,Trey Thompson,Bryant Karratti,17,21
2021rexburg,Contender,Pool,Drip Drop,Moose Chops,Grant Marriott,Jake LeBaron,Trey Thompson,Bryant Karratti,21,18
2021rexburg,Contender,Pool,Drip Drop,Moose Chops,Grant Marriott,Jake LeBaron,Trey Thompson,Bryant Karratti,20,22
2021rexburg,Contender,Pool,Garrett & Creech,Never Tilted,Garrett Carver,Isaiah Balter,Alex Tamang,Camden Sandberg,21,17
2021rexburg,Contender,Pool,No touch,Chubbachunk,Chase Gunter,Sam Bunze,Isaac Taylor,Dallin James,21,16
2021rexburg,Contender,Pool,Better Not Carry,Sunny Sets,Taylor Sanford,Derek Bonney,Spencer Straddeck,Brian Hansen,18,21
