tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021rockhill,Premier,Pool,Boysterous,Hilltop Spikes,Preston Bies,Caleb Heck,Max Model,Cole Model,21,18
2021rockhill,Premier,Pool,Boysterous,Hilltop Spikes,Preston Bies,Caleb Heck,Max Model,Cole Model,17,21
2021rockhill,Premier,Pool,Boysterous,Hilltop Spikes,Preston Bies,Caleb Heck,Max Model,Cole Model,21,18
2021rockhill,Premier,Pool,Outside Smoke,Hsuper Powers,Grant Laughlin,Noah Luskus,Michael Hsu,Addison Powers,21,17
2021rockhill,Premier,Pool,Outside Smoke,Hsuper Powers,Grant Laughlin,Noah Luskus,Michael Hsu,Addison Powers,17,21
2021rockhill,Premier,Pool,Outside Smoke,Hsuper Powers,Grant Laughlin,Noah Luskus,Michael Hsu,Addison Powers,21,17
2021rockhill,Premier,Pool,Lipping Vicarryously,Murphy Mitchum,fredric hinkle,Buddy Hammon,James Mitchum,Ian Murphy,21,14
2021rockhill,Premier,Pool,Lipping Vicarryously,Murphy Mitchum,fredric hinkle,Buddy Hammon,James Mitchum,Ian Murphy,21,14
2021rockhill,Premier,Pool,Bolivia,Confused,David Gonzales,Gustavo Gonzales,Benjamin Bunze,Connor Prelich,16,21
2021rockhill,Premier,Pool,Bolivia,Confused,David Gonzales,Gustavo Gonzales,Benjamin Bunze,Connor Prelich,17,21
2021rockhill,Premier,Pool,Mahagony Propane,Trash Pandas,Coleman Epperson's,Garrett Hornok,ian murphy,Christian Bennett,21,17
2021rockhill,Premier,Pool,Mahagony Propane,Trash Pandas,Coleman Epperson's,Garrett Hornok,ian murphy,Christian Bennett,22,20
2021rockhill,Premier,Pool,Fizz,Bull City,Clark Marshall,Olivia Jenki,Anthony Daming,Juan Ruiz-Delgado,17,21
2021rockhill,Premier,Pool,Fizz,Bull City,Clark Marshall,Olivia Jenki,Anthony Daming,Juan Ruiz-Delgado,21,19
2021rockhill,Premier,Pool,Fizz,Bull City,Clark Marshall,Olivia Jenki,Anthony Daming,Juan Ruiz-Delgado,21,17
2021rockhill,Premier,Pool,Sloppy Seconds,OWS,Gabe Finocchi,Travis Core,Hayden Flood,Austin Tchikatilov,21,16
