tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021saltlakecity,Premier,Pool,Finocchurch,Hot Jam,Gabe Finocchi,Taylor Church,Dylan Bricker,Andrew Stevens,21,12
2021saltlakecity,Premier,Pool,Finocchurch,Hot Jam,Gabe Finocchi,Taylor Church,Dylan Bricker,Andrew Stevens,21,15
2021saltlakecity,Premier,Pool,Nalgas Grandes,Los & Len,Zack Duffy,Solomon Berry,Allen Iwamoto,Carlos Yvellez,28,30
2021saltlakecity,Premier,Pool,Nalgas Grandes,Los & Len,Zack Duffy,Solomon Berry,Allen Iwamoto,Carlos Yvellez,19,21
2021saltlakecity,Premier,Pool,Nalgas Grandes,Los & Len,Zack Duffy,Solomon Berry,Allen Iwamoto,Carlos Yvellez,23,21
2021saltlakecity,Premier,Pool,Seg Fault,ìCarryî,Rahul Murthy,Garrett Hornok,Jalen Butkus,Luke Freimanis,21,16
2021saltlakecity,Premier,Pool,Seg Fault,ìCarryî,Rahul Murthy,Garrett Hornok,Jalen Butkus,Luke Freimanis,21,11
2021saltlakecity,Premier,Pool,Gucci Synonymous,Da Boy's Bois,Tyler Stokes,Gage Maddox,Warner Curtis,AJ Hutchinson,25,23
2021saltlakecity,Premier,Pool,Gucci Synonymous,Da Boy's Bois,Tyler Stokes,Gage Maddox,Warner Curtis,AJ Hutchinson,21,16
2021saltlakecity,Premier,Pool,Trippy Lizard,Sports and Trevor,Clark Marshall,Andrew Card,Jackson Brasfield,Trevor Barbosa,21,18
2021saltlakecity,Premier,Pool,Trippy Lizard,Sports and Trevor,Clark Marshall,Andrew Card,Jackson Brasfield,Trevor Barbosa,21,16
2021saltlakecity,Premier,Pool,DO is Trash,WySpike Toxicity,Michael Hsu,Luke Marshall,Luke Mowry,David Louis,16,21
2021saltlakecity,Premier,Pool,DO is Trash,WySpike Toxicity,Michael Hsu,Luke Marshall,Luke Mowry,David Louis,18,21
2021saltlakecity,Premier,Pool,Bud N' Boles,Saint and Slade,Buddy Hammon,Skyler Boles,Slade Warner,Ryan St. Denis,21,18
2021saltlakecity,Premier,Pool,Bud N' Boles,Saint and Slade,Buddy Hammon,Skyler Boles,Slade Warner,Ryan St. Denis,15,21
2021saltlakecity,Premier,Pool,Bud N' Boles,Saint and Slade,Buddy Hammon,Skyler Boles,Slade Warner,Ryan St. Denis,21,19
2021saltlakecity,Premier,Pool,The Klondike Bars,Floppy pandas,Caleb Jarrett,Chandler Hertzler,Christian Bennett,Conner Prelich,21,14
