tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021socalclassic,Premier,Pool,Banana Bros,SorryWeRLate,Jarratt Rouse,Ezra Dantowitz,Corey Heck,Warner Curtis,21,9
2021socalclassic,Premier,Pool,The Half-Blood Goons,Texas Still Sucks,Schon Siguenza,Jacob Martinez,Dean Wasil,Andrew Kosche,10,21
2021socalclassic,Premier,Pool,MY CABBAGES!!!,The Klondike Bars,Jordan Caradonna,Austin Rawlings,Caleb Jarrett,Chandler Hertzler,18,21
2021socalclassic,Premier,Pool,Mutant Roundnet,Los & Len,Warren Foote,Josh Fragiacomo,Allen Iwamoto,Carlos Yvellez,21,18
2021socalclassic,Premier,Pool,Four Crowns,Los Moto,Chris Bradley,Samuel Buckman,Allen Iwamoto,Benjamin Banuelos,25,24
2021socalclassic,Premier,Pool,The 3rd Impact,Calebís Disciples,Caleb Cummings,Matt Ortlip,Chase Meyer,Solomon Berry,21,17
2021socalclassic,Premier,Pool,Banana Bros,Texas Still Sucks,Jarratt Rouse,Ezra Dantowitz,Dean Wasil,Andrew Kosche,18,21
2021socalclassic,Premier,Pool,The Half-Blood Goons,MY CABBAGES!!!,Schon Siguenza,Jacob Martinez,Jordan Caradonna,Austin Rawlings,14,21
2021socalclassic,Premier,Pool,The Klondike Bars,SorryWeRLate,Caleb Jarrett,Chandler Hertzler,Corey Heck,Warner Curtis,21,17
2021socalclassic,Premier,Pool,Mutant Roundnet,Los Moto,Warren Foote,Josh Fragiacomo,Allen Iwamoto,Benjamin Banuelos,20,22
2021socalclassic,Premier,Pool,Four Crowns,The 3rd Impact,Chris Bradley,Samuel Buckman,Caleb Cummings,Matt Ortlip,13,21
2021socalclassic,Premier,Pool,Calebís Disciples,Los & Len,Chase Meyer,Solomon Berry,Allen Iwamoto,Carlos Yvellez,17,21
2021socalclassic,Premier,Pool,Banana Bros,The Klondike Bars,Jarratt Rouse,Ezra Dantowitz,Caleb Jarrett,Chandler Hertzler,11,21
2021socalclassic,Premier,Pool,The Half-Blood Goons,SorryWeRLate,Schon Siguenza,Jacob Martinez,Corey Heck,Warner Curtis,21,16
2021socalclassic,Premier,Pool,MY CABBAGES!!!,Texas Still Sucks,Jordan Caradonna,Austin Rawlings,Dean Wasil,Andrew Kosche,21,14
2021socalclassic,Premier,Pool,Mutant Roundnet,Calebís Disciples,Warren Foote,Josh Fragiacomo,Chase Meyer,Solomon Berry,21,18
2021socalclassic,Premier,Pool,Four Crowns,Los & Len,Chris Bradley,Samuel Buckman,Allen Iwamoto,Carlos Yvellez,19,21
2021socalclassic,Premier,Pool,The 3rd Impact,Los Moto,Caleb Cummings,Matt Ortlip,Allen Iwamoto,Benjamin Banuelos,21,12
2021socalclassic,Premier,Pool,Banana Bros,MY CABBAGES!!!,Jarratt Rouse,Ezra Dantowitz,Jordan Caradonna,Austin Rawlings,15,21
2021socalclassic,Premier,Pool,The Half-Blood Goons,The Klondike Bars,Schon Siguenza,Jacob Martinez,Caleb Jarrett,Chandler Hertzler,21,19
2021socalclassic,Premier,Pool,Texas Still Sucks,SorryWeRLate,Dean Wasil,Andrew Kosche,Corey Heck,Warner Curtis,21,14
2021socalclassic,Premier,Pool,Mutant Roundnet,The 3rd Impact,Warren Foote,Josh Fragiacomo,Caleb Cummings,Matt Ortlip,21,16
2021socalclassic,Premier,Pool,Four Crowns,Calebís Disciples,Chris Bradley,Samuel Buckman,Chase Meyer,Solomon Berry,21,15
2021socalclassic,Premier,Pool,Los Moto,Los & Len,Allen Iwamoto,Benjamin Banuelos,Allen Iwamoto,Carlos Yvellez,21,18
2021socalclassic,Premier,Pool,Banana Bros,The Half-Blood Goons,Jarratt Rouse,Ezra Dantowitz,Schon Siguenza,Jacob Martinez,21,16
2021socalclassic,Premier,Pool,MY CABBAGES!!!,SorryWeRLate,Jordan Caradonna,Austin Rawlings,Corey Heck,Warner Curtis,21,13
2021socalclassic,Premier,Pool,The Klondike Bars,Texas Still Sucks,Caleb Jarrett,Chandler Hertzler,Dean Wasil,Andrew Kosche,21,14
2021socalclassic,Premier,Pool,Mutant Roundnet,Four Crowns,Warren Foote,Josh Fragiacomo,Chris Bradley,Samuel Buckman,24,25
2021socalclassic,Premier,Pool,The 3rd Impact,Los & Len,Caleb Cummings,Matt Ortlip,Allen Iwamoto,Carlos Yvellez,21,17
2021socalclassic,Premier,Pool,Calebís Disciples,Los Moto,Chase Meyer,Solomon Berry,Allen Iwamoto,Benjamin Banuelos,17,21
2021socalclassic,Contender,Pool,Lefty Pull,Mountain Men,Ryan Slaughter,Malachi Espinola,Lincoln Hertzler,Spencer Straddeck,21,13
2021socalclassic,Contender,Pool,Soft Touch,team pickle,Allen Ombougno,Jake Oxendine,Eric Tang,Luke Hostetter,22,20
2021socalclassic,Contender,Pool,Wong/(Will) Foote,Surfing Cowboys,William Foote,Caleb Wong,Dylan Medveal,Trent Alderfer,21,15
2021socalclassic,Contender,Pool,The Hidden Leaf,Spike OG,Ben Sasser,Slade Warner,Asher Savage,Yusei Fujikura,21,9
2021socalclassic,Contender,Pool,Cobra Kai,Headassery,Ryan Slaughter,Kevin Zhu,Josh Hutko,Dennis Wei,21,14
2021socalclassic,Contender,Pool,tj maxx,Spicy Nugs,tucker judkins,james shimabukuro,Josh Cain,Matthew Waisner,19,21
2021socalclassic,Contender,Pool,Rod & Staff,K/S,Daniel Lindeen,John Choi,Keyan McLaughlin,Simon Zhang,21,10
2021socalclassic,Contender,Pool,Fundamental Franks,All Spike No Balls,Brandon Brown,Corey Schneider,Jeremy Killian,Ryan Benz,21,10
2021socalclassic,Contender,Pool,Half-Naked Men,Blinngo Ball Indulgence,Alex Tamang,Jake LeBaron,Nate Ellis,Bryan Fuss,21,17
2021socalclassic,Contender,Pool,Simps for Life,Slam!!! Oh?,Devin Tuttle,Bryce Young,Justin Rasmussen,Noah Johnson,21,17
2021socalclassic,Contender,Pool,Occupy Small Street,Mighty Misfits,John Breum,Jason Small,Michael Hughes,William Lucas,21,0
2021socalclassic,Contender,Pool,Hot Jam,OG Blinggo Boys,Andrew Stevens,Dylan Bricker,Alex Osler,Adam Randall,21,16
2021socalclassic,Contender,Pool,Crocs n Socs,SJ invictus,Ethan Zehr,Raymond Vargas,Jason Kim,Christopher Barros,21,16
2021socalclassic,Contender,Pool,Lake and Jucas,Soft Serves,Lucas Pruett,Jacob Howhannesian,Aaron Cantleberry,Brandon Castillo,21,13
2021socalclassic,Contender,Pool,Amphibious,H & M,Ryan Leong,Trevor Barbosa,Clifton Miller,Isaac Holbrook,21,14
2021socalclassic,Contender,Pool,Orange Dream,Kellyís Touch,Ryan McCargar,Archie Powell,Ken Pflaum,Lucas Banks,21,8
2021socalclassic,Contender,Pool,Fear the Chickens,Spikedelic,Nicholas Oo,Victor Ho,Justin Anderson,Braydon Cumming,22,20
2021socalclassic,Contender,Pool,Lefty Pull,team pickle,Ryan Slaughter,Malachi Espinola,Eric Tang,Luke Hostetter,21,9
2021socalclassic,Contender,Pool,Soft Touch,Wong/(Will) Foote,Allen Ombougno,Jake Oxendine,William Foote,Caleb Wong,14,21
2021socalclassic,Contender,Pool,Surfing Cowboys,Mountain Men,Dylan Medveal,Trent Alderfer,Lincoln Hertzler,Spencer Straddeck,21,19
