tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021texas,Premier,Pool,Assistive Touch,Karasuno,Clark Marshall,Buddy Hammon,AJ Hutchinson,Bryce Wagoner,21,10
2021texas,Premier,Pool,Assistive Touch,Karasuno,Clark Marshall,Buddy Hammon,AJ Hutchinson,Bryce Wagoner,21,11
2021texas,Premier,Pool,Highly Calculated,WySpike Heroes,Ravi Kandula,Dan Abrams,Luke Mowry,Colton Mowry,21,18
2021texas,Premier,Pool,Highly Calculated,WySpike Heroes,Ravi Kandula,Dan Abrams,Luke Mowry,Colton Mowry,21,16
2021texas,Premier,Pool,Sloppy Seconds,Sushi for 2,Travis Core,Gabe Finocchi,Jay Buxton,Ty Parrillo,21,14
2021texas,Premier,Pool,Sloppy Seconds,Sushi for 2,Travis Core,Gabe Finocchi,Jay Buxton,Ty Parrillo,21,16
2021texas,Premier,Pool,PROUD FATHERS,DO is Trash,Brian Childs,David Louis,Luke Marshall,Michael Hsu,21,18
2021texas,Premier,Pool,PROUD FATHERS,DO is Trash,Brian Childs,David Louis,Luke Marshall,Michael Hsu,22,20
2021texas,Premier,Pool,Tintin Twins,Yip Yip,Warren Foote,Fredric Hinkle,Konor Prelich,Chase Meyer,21,12
2021texas,Premier,Pool,Tintin Twins,Yip Yip,Warren Foote,Fredric Hinkle,Konor Prelich,Chase Meyer,21,12
2021texas,Premier,Pool,Ultra Sexy Baddies,Kaiba Corp,Grant Laughlin,Addison Powers,Bradley Thompson,Nick Noguez,21,18
2021texas,Premier,Pool,Ultra Sexy Baddies,Kaiba Corp,Grant Laughlin,Addison Powers,Bradley Thompson,Nick Noguez,21,14
2021texas,Premier,Pool,El Gonzales/Singer,Nolan Ryan,Artie Singer,David Gonzales,Caleb Cummings,Matthew Cole,15,21
2021texas,Premier,Pool,El Gonzales/Singer,Nolan Ryan,Artie Singer,David Gonzales,Caleb Cummings,Matthew Cole,15,21
2021texas,Premier,Pool,Ritto Boys,Gold Diggers,Ryder Rivadeneyra,Coleman Epperson's,Garrett Hornok,Kyle Ackermann,21,19
2021texas,Premier,Pool,Ritto Boys,Gold Diggers,Ryder Rivadeneyra,Coleman Epperson's,Garrett Hornok,Kyle Ackermann,21,17
2021texas,Premier,Pool,Assistive Touch,WySpike Heroes,Clark Marshall,Buddy Hammon,Luke Mowry,Colton Mowry,21,16
2021texas,Premier,Pool,Assistive Touch,WySpike Heroes,Clark Marshall,Buddy Hammon,Luke Mowry,Colton Mowry,21,18
2021texas,Premier,Pool,2 Years Later,Karasuno,"Kane Rickman, Solomon Berry",1 more,AJ Hutchinson,Bryce Wagoner,22,20
2021texas,Premier,Pool,2 Years Later,Karasuno,"Kane Rickman, Solomon Berry",1 more,AJ Hutchinson,Bryce Wagoner,21,17
2021texas,Premier,Pool,Sloppy Seconds,DO is Trash,Travis Core,Gabe Finocchi,Luke Marshall,Michael Hsu,21,16
