tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Double Clutch,Dumptruck,Fredric Hinkle,Rahul Murthy,Avery Crump,Brandon Tice,15,7
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Double Clutch,Dumptruck,Fredric Hinkle,Rahul Murthy,Avery Crump,Brandon Tice,15,11
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Kingdom Come,Suga Suga,Grant Klapwijk,Matthew Cole,Eduardo Hernandez,Willie Rowland,15,2
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Kingdom Come,Suga Suga,Grant Klapwijk,Matthew Cole,Eduardo Hernandez,Willie Rowland,15,6
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Finocchi/Model,TNT,Gabe Finocchi,Max Model,Thomas Shelton,Timothy Shelton,15,3
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Finocchi/Model,TNT,Gabe Finocchi,Max Model,Thomas Shelton,Timothy Shelton,15,4
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Assistive Touch,Bait and Switch,Clark Marshall,Buddy Hammon,Owen Bass,Ellis Bass,15,10
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Assistive Touch,Bait and Switch,Clark Marshall,Buddy Hammon,Owen Bass,Ellis Bass,15,7
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Sweet Tea Five,Revised Randos,Ryan Gross,Kyle Ackermann,Louie Simbajon,Bradley Clark,15,11
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Sweet Tea Five,Revised Randos,Ryan Gross,Kyle Ackermann,Louie Simbajon,Bradley Clark,15,6
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Air Buds,OVERQUALIFIED,Will Picone,Coleman Epperson,Marlon Fleming,kevin um,15,8
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Air Buds,OVERQUALIFIED,Will Picone,Coleman Epperson,Marlon Fleming,kevin um,15,8
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Double Clutch,Suga Suga,Fredric Hinkle,Rahul Murthy,Eduardo Hernandez,Willie Rowland,15,8
2022-usar-nt-atl,Men's 4.5-5.0+,Pool,Double Clutch,Suga Suga,Fredric Hinkle,Rahul Murthy,Eduardo Hernandez,Willie Rowland,15,4
