"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"austin2022","Gold 5.0","Pool","Crispers","Bink City","Grant Laughlin","Andrew Christmas","Myles Coleman","Ian Austin",21,15
"austin2022","Gold 5.0","Pool","Zested","Du/Cadle","AJ Hutchinson","Luis Orozco","kevin cadle","Michael Du",21,14
"austin2022","Gold 5.0","Pool","Starts With Easy","Cisek/Showalter","Chase Meyer","Tyler Fernandez","Brandon Arledge","Cooper Diaz",21,11
"austin2022","Gold 5.0","Pool","Team #1","No Slaw, Extra Sauce","Gavin R Lotts","Gozie Okenu","Iason Hayes","Nathan Garcia",21,15
"austin2022","Gold 5.0","Pool","mustang gt","Wills/Larson","bradley thompson","Jack Granger","Cade Larson","Grayson Wills",21,19
"austin2022","Gold 5.0","Pool","Baylor B Team","Big whammies","Garrett Ashton","Dax O'Hair","Ethan Uecker","Dominic Cortez",21,17
"austin2022","Gold 5.0","Pool","Crispers","Du/Cadle","Grant Laughlin","Andrew Christmas","kevin cadle","Michael Du",21,13
"austin2022","Gold 5.0","Pool","Zested","Starts With Easy","AJ Hutchinson","Luis Orozco","Chase Meyer","Tyler Fernandez",24,22
"austin2022","Gold 5.0","Pool","Cisek/Showalter","Bink City","Brandon Arledge","Cooper Diaz","Myles Coleman","Ian Austin",23,25
"austin2022","Gold 5.0","Pool","Team #1","Wills/Larson","Gavin R Lotts","Gozie Okenu","Cade Larson","Grayson Wills",24,25
"austin2022","Gold 5.0","Pool","mustang gt","Baylor B Team","bradley thompson","Jack Granger","Garrett Ashton","Dax O'Hair",15,21
"austin2022","Gold 5.0","Pool","Big whammies","No Slaw, Extra Sauce","Ethan Uecker","Dominic Cortez","Iason Hayes","Nathan Garcia",15,21
"austin2022","Gold 5.0","Pool","Crispers","Cisek/Showalter","Grant Laughlin","Andrew Christmas","Brandon Arledge","Cooper Diaz",21,16
"austin2022","Gold 5.0","Pool","Zested","Bink City","AJ Hutchinson","Luis Orozco","Myles Coleman","Ian Austin",21,17
"austin2022","Gold 5.0","Pool","Starts With Easy","Du/Cadle","Chase Meyer","Tyler Fernandez","kevin cadle","Michael Du",25,23
"austin2022","Gold 5.0","Pool","Team #1","Big whammies","Gavin R Lotts","Gozie Okenu","Ethan Uecker","Dominic Cortez",21,7
"austin2022","Gold 5.0","Pool","mustang gt","No Slaw, Extra Sauce","bradley thompson","Jack Granger","Iason Hayes","Nathan Garcia",21,10
"austin2022","Gold 5.0","Pool","Baylor B Team","Wills/Larson","Garrett Ashton","Dax O'Hair","Cade Larson","Grayson Wills",21,17
"austin2022","Gold 5.0","Pool","Crispers","Starts With Easy","Grant Laughlin","Andrew Christmas","Chase Meyer","Tyler Fernandez",16,21
"austin2022","Gold 5.0","Pool","Zested","Cisek/Showalter","AJ Hutchinson","Luis Orozco","Brandon Arledge","Cooper Diaz",21,19
"austin2022","Gold 5.0","Pool","Du/Cadle","Bink City","kevin cadle","Michael Du","Myles Coleman","Ian Austin",21,12
"austin2022","Gold 5.0","Pool","Team #1","Baylor B Team","Gavin R Lotts","Gozie Okenu","Garrett Ashton","Dax O'Hair",15,21
"austin2022","Gold 5.0","Pool","mustang gt","Big whammies","bradley thompson","Jack Granger","Ethan Uecker","Dominic Cortez",24,22
"austin2022","Gold 5.0","Pool","Wills/Larson","No Slaw, Extra Sauce","Cade Larson","Grayson Wills","Iason Hayes","Nathan Garcia",21,14
"austin2022","Gold 5.0","Pool","Crispers","Zested","Grant Laughlin","Andrew Christmas","AJ Hutchinson","Luis Orozco",21,16
"austin2022","Gold 5.0","Pool","Starts With Easy","Bink City","Chase Meyer","Tyler Fernandez","Myles Coleman","Ian Austin",21,14
"austin2022","Gold 5.0","Pool","Cisek/Showalter","Du/Cadle","Brandon Arledge","Cooper Diaz","kevin cadle","Michael Du",17,21
"austin2022","Gold 5.0","Pool","Team #1","mustang gt","Gavin R Lotts","Gozie Okenu","bradley thompson","Jack Granger",16,21
"austin2022","Gold 5.0","Pool","Baylor B Team","No Slaw, Extra Sauce","Garrett Ashton","Dax O'Hair","Iason Hayes","Nathan Garcia",21,14
"austin2022","Gold 5.0","Pool","Big whammies","Wills/Larson","Ethan Uecker","Dominic Cortez","Cade Larson","Grayson Wills",12,21
"austin2022","Advanced 4.0","Pool","Silver Squared","Panic! at the DISCO","Patrick Zhu","Tabish Ali","Logan Baker","Kazu Shigenobu",21,11
"austin2022","Advanced 4.0","Pool","Grant +Cade","rangers","Grant Marshall","Gmarsh Marshall","Justin Le","Kevin Chen",12,21
"austin2022","Advanced 4.0","Pool","Hash Slinging Slashers","joro","Paul Belton","Walter Siller","Rohan Skaria","Jonathan Yuan",21,19
"austin2022","Advanced 4.0","Pool","White Rice","Bunch O Spikers","Owen Lynch","JP Chincuanco","Tessa White","Lydia Malone",21,10
"austin2022","Advanced 4.0","Pool","Scrubs","New Cut","Isaac Bozarth","jacob gansle","David Z","Hayden Woolard",21,10
"austin2022","Advanced 4.0","Pool","Silver Squared","rangers","Patrick Zhu","Tabish Ali","Justin Le","Kevin Chen",21,18
"austin2022","Advanced 4.0","Pool","Grant +Cade","Hash Slinging Slashers","Grant Marshall","Gmarsh Marshall","Paul Belton","Walter Siller",16,21
"austin2022","Advanced 4.0","Pool","joro","Panic! at the DISCO","Rohan Skaria","Jonathan Yuan","Logan Baker","Kazu Shigenobu",21,7
"austin2022","Advanced 4.0","Pool","White Rice","New Cut","Owen Lynch","JP Chincuanco","David Z","Hayden Woolard",21,17
"austin2022","Advanced 4.0","Pool","dirty kev","Bunch O Spikers","Kevin Clifford","Aiedan Acosta","Tessa White","Lydia Malone",21,13
"austin2022","Advanced 4.0","Pool","Silver Squared","joro","Patrick Zhu","Tabish Ali","Rohan Skaria","Jonathan Yuan",19,21
"austin2022","Advanced 4.0","Pool","Grant +Cade","Panic! at the DISCO","Grant Marshall","Gmarsh Marshall","Logan Baker","Kazu Shigenobu",21,13
"austin2022","Advanced 4.0","Pool","Hash Slinging Slashers","rangers","Paul Belton","Walter Siller","Justin Le","Kevin Chen",21,17
