tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
casrcamarillo,Expert,Pool,God I love OJ,Practice Safe Sets,Andrew Kosche,Matt Ortlip,Jake Babbitt,Tyler Babbitt,21,9
casrcamarillo,Expert,Pool,Los Moto,Once A Year,Benjamin Banuelos,Allen Iwamoto,Noah Johnson,Garrett Ashton,21,12
casrcamarillo,Expert,Pool,Yellow-Rumped Warblers,Ho&Ko,Lucas Pruett,Chase Meyer,Victor Ho,Karah Hui,21,19
casrcamarillo,Expert,Pool,Appendicitis,Stubbís House,Sam Buckman,Dean Wasil,Collin Adelseck,John Choi,25,23
casrcamarillo,Expert,Pool,Kiss your mouth-hole,Yeppers,Jack Selby,Jacob Martinez,Andrew Stevens,Warner Curtis,20,22
casrcamarillo,Expert,Pool,The Order of the White Lotus,THUS Sugars of Thine Melon,Trevor Barbosa,Jacob Payer,Kayla Wu,Kalin Miramontes,21,13
casrcamarillo,Expert,Pool,God I love OJ,Once A Year,Andrew Kosche,Matt Ortlip,Noah Johnson,Garrett Ashton,21,13
casrcamarillo,Expert,Pool,Los Moto,Yellow-Rumped Warblers,Benjamin Banuelos,Allen Iwamoto,Lucas Pruett,Chase Meyer,18,21
casrcamarillo,Expert,Pool,Ho&Ko,Practice Safe Sets,Victor Ho,Karah Hui,Jake Babbitt,Tyler Babbitt,21,10
casrcamarillo,Expert,Pool,Appendicitis,Yeppers,Sam Buckman,Dean Wasil,Andrew Stevens,Warner Curtis,21,15
casrcamarillo,Expert,Pool,Kiss your mouth-hole,nip & tuck,Jack Selby,Jacob Martinez,Thomas Nishimoto,tucker judkins,21,15
casrcamarillo,Expert,Pool,THUS Sugars of Thine Melon,Stubbís House,Kayla Wu,Kalin Miramontes,Collin Adelseck,John Choi,13,21
casrcamarillo,Expert,Pool,God I love OJ,Ho&Ko,Andrew Kosche,Matt Ortlip,Victor Ho,Karah Hui,21,13
casrcamarillo,Expert,Pool,Los Moto,Practice Safe Sets,Benjamin Banuelos,Allen Iwamoto,Jake Babbitt,Tyler Babbitt,21,8
casrcamarillo,Expert,Pool,Yellow-Rumped Warblers,Once A Year,Lucas Pruett,Chase Meyer,Noah Johnson,Garrett Ashton,21,16
casrcamarillo,Expert,Pool,Appendicitis,THUS Sugars of Thine Melon,Sam Buckman,Dean Wasil,Kayla Wu,Kalin Miramontes,21,14
casrcamarillo,Expert,Pool,Kiss your mouth-hole,The Order of the White Lotus,Jack Selby,Jacob Martinez,Trevor Barbosa,Jacob Payer,18,21
