tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
casrmh,Expert,Pool,The Veterans,Zorio,Samuel Buckman,,Cade Zorio,,21,14
casrmh,Expert,Pool,Easily gooned,Lynch/Fleming,Erik Schlick,Robbie Brisco,Marlon Fleming,,21,19
casrmh,Expert,Pool,Cornfrag,Kmart,Logan Cornelius,,Jacob Martinez,,21,18
casrmh,Expert,Pool,Scissors,Bang Bang Chu Chu Train,Jacob Payer,Benjamin Buckman,Kyle Johnson,,21,9
casrmh,Expert,Pool,Chico,Zbars,Skyler,Shaun Boyer,Abe Yeager,,21,15
casrmh,Expert,Pool,Pogchamp,Josh squared,Mateo Cardiel,,Andrew Kosche,Andrew,18,21
casrmh,Expert,Pool,The Veterans,Lynch/Fleming,Samuel Buckman,,Marlon Fleming,,21,16
casrmh,Expert,Pool,Easily gooned,Cornfrag,Erik Schlick,Robbie Brisco,Logan Cornelius,,21,19
casrmh,Expert,Pool,Kmart,Zorio,Jacob Martinez,,Cade Zorio,,21,18
casrmh,Expert,Pool,Scissors,Zbars,Jacob Payer,Benjamin Buckman,Abe Yeager,,21,13
casrmh,Expert,Pool,Chico,Pogchamp,Skyler,Shaun Boyer,Mateo Cardiel,,21,13
casrmh,Expert,Pool,Josh squared,Bang Bang Chu Chu Train,Andrew Kosche,Andrew,Kyle Johnson,,21,11
casrmh,Expert,Pool,The Veterans,Kmart,Samuel Buckman,,Jacob Martinez,,17,21
casrmh,Expert,Pool,Easily gooned,Zorio,Erik Schlick,Robbie Brisco,Cade Zorio,,21,17
casrmh,Expert,Pool,Cornfrag,Lynch/Fleming,Logan Cornelius,,Marlon Fleming,,20,22
casrmh,Expert,Pool,Scissors,Josh squared,Jacob Payer,Benjamin Buckman,Andrew Kosche,Andrew,21,17
casrmh,Expert,Pool,Chico,Bang Bang Chu Chu Train,Skyler,Shaun Boyer,Kyle Johnson,,21,0
casrmh,Expert,Pool,Pogchamp,Zbars,Mateo Cardiel,,Abe Yeager,,21,18
casrmh,Expert,Pool,The Veterans,Cornfrag,Samuel Buckman,,Logan Cornelius,,22,20
casrmh,Expert,Pool,Easily gooned,Kmart,Erik Schlick,Robbie Brisco,Jacob Martinez,,21,19
casrmh,Expert,Pool,Lynch/Fleming,Zorio,Marlon Fleming,,Cade Zorio,,23,21
casrmh,Expert,Pool,Scissors,Pogchamp,Jacob Payer,Benjamin Buckman,Mateo Cardiel,,21,19
casrmh,Expert,Pool,Chico,Josh squared,Skyler,Shaun Boyer,Andrew Kosche,Andrew,21,17
casrmh,Expert,Pool,Zbars,Bang Bang Chu Chu Train,Abe Yeager,,Kyle Johnson,,21,11
casrmh,Expert,Pool,The Veterans,Easily gooned,Samuel Buckman,,Erik Schlick,Robbie Brisco,21,12
casrmh,Expert,Pool,Cornfrag,Zorio,Logan Cornelius,,Cade Zorio,,21,19
casrmh,Expert,Pool,Kmart,Lynch/Fleming,Jacob Martinez,,Marlon Fleming,,21,16
casrmh,Expert,Pool,Scissors,Chico,Jacob Payer,Benjamin Buckman,Skyler,Shaun Boyer,24,22
casrmh,Expert,Pool,Pogchamp,Bang Bang Chu Chu Train,Mateo Cardiel,,Kyle Johnson,,21,14
casrmh,Expert,Pool,Josh squared,Zbars,Andrew Kosche,Andrew,Abe Yeager,,13,21
casrmh,Advanced,Pool,Fresh toast,Stito,Ryan McCargar,,Tito,,NA,NA
casrmh,Advanced,Pool,Off brand,Ball change,Emmanuel Reyes,,Aubrey Ludlow,,NA,NA
casrmh,Advanced,Pool,On two,Injury magnets,Nathaniel Schrag,,Matt Waisner,,21,17
