tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
casrrsm6,Expert,Pool,Sub Bogey,MOD,Jacob Martinez,Daniel Lindeen,Brandon Brown,Corey Schneider,15,13
casrrsm6,Expert,Pool,How To Circumspike,Dream Team,Schon Siguenza,Dean Wasil,Matt Ortlip,John Choi,15,12
casrrsm6,Expert,Pool,Johan Santanaís Changeup,Dean is daddy,William Foote,Oscar OBrien,Andrew Kosche,Karah Hui,8,15
casrrsm6,Expert,Pool,Da Boy's Bois,Arcadia Chickens,AJ Hutchinson,Warner Curtis,Kalin Miramontes,Victor Ho,15,11
casrrsm6,Expert,Pool,Sub Bogey,Dream Team,Jacob Martinez,Daniel Lindeen,Matt Ortlip,John Choi,9,15
casrrsm6,Expert,Pool,How To Circumspike,Arcadia Chickens,Schon Siguenza,Dean Wasil,Kalin Miramontes,Victor Ho,13,15
casrrsm6,Expert,Pool,Johan Santanaís Changeup,Da Boy's Bois,William Foote,Oscar OBrien,AJ Hutchinson,Warner Curtis,9,15
casrrsm6,Expert,Pool,Dean is daddy,MOD,Andrew Kosche,Karah Hui,Brandon Brown,Corey Schneider,15,13
casrrsm6,Expert,Pool,Sub Bogey,Dean is daddy,Jacob Martinez,Daniel Lindeen,Andrew Kosche,Karah Hui,13,15
casrrsm6,Expert,Pool,How To Circumspike,Johan Santanaís Changeup,Schon Siguenza,Dean Wasil,William Foote,Oscar OBrien,15,10
casrrsm6,Expert,Pool,Da Boy's Bois,MOD,AJ Hutchinson,Warner Curtis,Brandon Brown,Corey Schneider,15,13
casrrsm6,Expert,Pool,Arcadia Chickens,Dream Team,Kalin Miramontes,Victor Ho,Matt Ortlip,John Choi,11,15
casrrsm6,Expert,Pool,Sub Bogey,Arcadia Chickens,Jacob Martinez,Daniel Lindeen,Kalin Miramontes,Victor Ho,15,9
casrrsm6,Expert,Pool,How To Circumspike,MOD,Schon Siguenza,Dean Wasil,Brandon Brown,Corey Schneider,13,15
