tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
casrsac,Expert,Pool,Skyler on one,A Couple of Shortstops,Dylan West,Skyler Boles,Trevor Barbosa,Caleb Wong,21,19
casrsac,Expert,Pool,Wrong division,Whatevs,Archie Powell,,Ryan Gay,Trey Scheid,21,14
casrsac,Expert,Pool,You petr czech yourself,Nice,Josh Fragiacomo,Abe Yeager,Malachi Espinola,Bryan Fuss,18,21
casrsac,Expert,Pool,Manny pacquiao,BHF,Franz Castillo,Pio Clavecilla,Josh Cain,Matthew Waisner,18,21
casrsac,Expert,Pool,Sewer Monkeys,Howhann on 2,Ryan McCargar,Eli Roth,Nicolas Ramos,Jake Howhannesian,17,21
casrsac,Expert,Pool,Skyler on one,Whatevs,Dylan West,Skyler Boles,Ryan Gay,Trey Scheid,21,12
casrsac,Expert,Pool,Bobby Jacksonís tube socks,A Couple of Shortstops,Tom Witt,Taylen Peterson,Trevor Barbosa,Caleb Wong,20,22
casrsac,Expert,Pool,You petr czech yourself,BHF,Josh Fragiacomo,Abe Yeager,Josh Cain,Matthew Waisner,21,17
casrsac,Expert,Pool,Manny pacquiao,Sewer Monkeys,Franz Castillo,Pio Clavecilla,Ryan McCargar,Eli Roth,35,37
casrsac,Expert,Pool,Howhann on 2,Nice,Nicolas Ramos,Jake Howhannesian,Malachi Espinola,Bryan Fuss,23,25
casrsac,Expert,Pool,Skyler on one,Bobby Jacksonís tube socks,Dylan West,Skyler Boles,Tom Witt,Taylen Peterson,21,16
casrsac,Expert,Pool,Wrong division,A Couple of Shortstops,Archie Powell,,Trevor Barbosa,Caleb Wong,21,14
casrsac,Expert,Pool,You petr czech yourself,Howhann on 2,Josh Fragiacomo,Abe Yeager,Nicolas Ramos,Jake Howhannesian,21,17
casrsac,Expert,Pool,Manny pacquiao,Nice,Franz Castillo,Pio Clavecilla,Malachi Espinola,Bryan Fuss,21,17
casrsac,Expert,Pool,Sewer Monkeys,BHF,Ryan McCargar,Eli Roth,Josh Cain,Matthew Waisner,21,18
casrsac,Expert,Pool,Wrong division,Bobby Jacksonís tube socks,Archie Powell,,Tom Witt,Taylen Peterson,21,16
casrsac,Expert,Pool,Whatevs,A Couple of Shortstops,Ryan Gay,Trey Scheid,Trevor Barbosa,Caleb Wong,15,21
casrsac,Expert,Pool,You petr czech yourself,Sewer Monkeys,Josh Fragiacomo,Abe Yeager,Ryan McCargar,Eli Roth,21,18
casrsac,Expert,Pool,Manny pacquiao,Howhann on 2,Franz Castillo,Pio Clavecilla,Nicolas Ramos,Jake Howhannesian,21,15
