tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
casrturlock,Expert,Pool,Fun fun fun,Fun Size,Alex Buckman,Samuel Buckman,Justin Rasmussen,Abe Yeager,27,25
casrturlock,Expert,Pool,VHs,Ramos on 2,Warren Foote,Marcus Decouto,Jake Howhannesian,Nick Ramos,21,12
casrturlock,Expert,Pool,Drunk Texas Sucks,Premarital sets,Andrew Kosche,Dean Wasil,Matthew Ratto,Kyle Lew,21,16
casrturlock,Expert,Pool,SubPar,Spike Tyson,Jacob Martinez,Josh Fragiacomo,Grant Holland,Bryce Smith,21,17
casrturlock,Expert,Pool,Born to Fish,Boom Ball Boys,Nathaniel Schrag,Archie Powell,Lucas Pruett,Ethan Zehr,21,15
casrturlock,Expert,Pool,Chico Dogs,Easily gooned,Ryan Leong,Dylan West,Erik Schlick,Robbie Brisco,21,13
casrturlock,Expert,Pool,Fun fun fun,Ramos on 2,Alex Buckman,Samuel Buckman,Jake Howhannesian,Nick Ramos,14,21
casrturlock,Expert,Pool,VHs,Drunk Texas Sucks,Warren Foote,Marcus Decouto,Andrew Kosche,Dean Wasil,21,16
casrturlock,Expert,Pool,Premarital sets,Fun Size,Matthew Ratto,Kyle Lew,Justin Rasmussen,Abe Yeager,21,14
casrturlock,Expert,Pool,SubPar,Boom Ball Boys,Jacob Martinez,Josh Fragiacomo,Lucas Pruett,Ethan Zehr,21,19
casrturlock,Expert,Pool,Born to Fish,Alcoballics,Nathaniel Schrag,Archie Powell,Trevor Barbosa,Josh Cain,21,15
casrturlock,Expert,Pool,Easily gooned,Spike Tyson,Erik Schlick,Robbie Brisco,Grant Holland,Bryce Smith,21,14
casrturlock,Expert,Pool,Fun fun fun,Premarital sets,Alex Buckman,Samuel Buckman,Matthew Ratto,Kyle Lew,23,25
casrturlock,Expert,Pool,VHs,Fun Size,Warren Foote,Marcus Decouto,Justin Rasmussen,Abe Yeager,21,13
casrturlock,Expert,Pool,Drunk Texas Sucks,Ramos on 2,Andrew Kosche,Dean Wasil,Jake Howhannesian,Nick Ramos,21,19
casrturlock,Expert,Pool,SubPar,Easily gooned,Jacob Martinez,Josh Fragiacomo,Erik Schlick,Robbie Brisco,21,19
casrturlock,Expert,Pool,Born to Fish,Chico Dogs,Nathaniel Schrag,Archie Powell,Ryan Leong,Dylan West,21,15
casrturlock,Expert,Pool,Alcoballics,Boom Ball Boys,Trevor Barbosa,Josh Cain,Lucas Pruett,Ethan Zehr,15,21
casrturlock,Expert,Pool,Fun fun fun,Drunk Texas Sucks,Alex Buckman,Samuel Buckman,Andrew Kosche,Dean Wasil,12,21
casrturlock,Expert,Pool,VHs,Premarital sets,Warren Foote,Marcus Decouto,Matthew Ratto,Kyle Lew,21,13
casrturlock,Expert,Pool,Ramos on 2,Fun Size,Jake Howhannesian,Nick Ramos,Justin Rasmussen,Abe Yeager,21,14
casrturlock,Expert,Pool,SubPar,Alcoballics,Jacob Martinez,Josh Fragiacomo,Trevor Barbosa,Josh Cain,21,14
casrturlock,Expert,Pool,Born to Fish,Spike Tyson,Nathaniel Schrag,Archie Powell,Grant Holland,Bryce Smith,21,19
casrturlock,Expert,Pool,Chico Dogs,Boom Ball Boys,Ryan Leong,Dylan West,Lucas Pruett,Ethan Zehr,21,17
casrturlock,Expert,Pool,Fun fun fun,VHs,Alex Buckman,Samuel Buckman,Warren Foote,Marcus Decouto,11,21
casrturlock,Expert,Pool,Drunk Texas Sucks,Fun Size,Andrew Kosche,Dean Wasil,Justin Rasmussen,Abe Yeager,21,15
casrturlock,Expert,Pool,Premarital sets,Ramos on 2,Matthew Ratto,Kyle Lew,Jake Howhannesian,Nick Ramos,17,21
casrturlock,Expert,Pool,Born to Fish,Easily gooned,Nathaniel Schrag,Archie Powell,Erik Schlick,Robbie Brisco,22,24
casrturlock,Expert,Pool,Chico Dogs,Alcoballics,Ryan Leong,Dylan West,Trevor Barbosa,Josh Cain,21,14
casrturlock,Expert,Pool,Boom Ball Boys,Spike Tyson,Lucas Pruett,Ethan Zehr,Grant Holland,Bryce Smith,21,14
casrturlock,Expert,Pool,SubPar,Chico Dogs,Jacob Martinez,Josh Fragiacomo,Ryan Leong,Dylan West,21,18
casrturlock,Expert,Pool,Alcoballics,Spike Tyson,Trevor Barbosa,Josh Cain,Grant Holland,Bryce Smith,17,21
casrturlock,Expert,Pool,Easily gooned,Boom Ball Boys,Erik Schlick,Robbie Brisco,Lucas Pruett,Ethan Zehr,21,19
casrturlock,Expert,Pool,SubPar,Born to Fish,Jacob Martinez,Josh Fragiacomo,Nathaniel Schrag,Archie Powell,21,18
casrturlock,Expert,Pool,Chico Dogs,Spike Tyson,Ryan Leong,Dylan West,Grant Holland,Bryce Smith,21,17
casrturlock,Expert,Pool,Alcoballics,Easily gooned,Trevor Barbosa,Josh Cain,Erik Schlick,Robbie Brisco,19,21
casrturlock,Advanced,Pool,HINDER209,Zach and Zachís teammate,Kayla Battles,Chaise Havens,Zach Reuter,Kaden Hagenbuch,15,21
casrturlock,Advanced,Pool,Boob ball,Samurai Turtles,Karah Hui,Perrin York,Max Bentley,Matthew Waisner,27,25
casrturlock,Advanced,Pool,HINDER209,Samurai Turtles,Kayla Battles,Chaise Havens,Max Bentley,Matthew Waisner,9,21
casrturlock,Advanced,Pool,Kim & Kanye,Zach and Zachís teammate,Noah Hendricks,Drew Kim,Zach Reuter,Kaden Hagenbuch,21,19
