tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
casrwc,Expert,Pool,Most ripped guys here,Faking,Marcus Decouto,Andrew Kosche,Trey Scheid,Ryan Garrigan,21,12
casrwc,Expert,Pool,Werkin and twerkin,Neighborhood bullies,Nathaniel Schrag,Eli Roth,Ryan McCargar,,21,16
casrwc,Expert,Pool,Kmart,Odd one out,Kyle Lew,Jacob Martinez,Jake Oxendine,Perrin York,21,6
casrwc,Expert,Pool,OG.,Furious George,Allen Ombougno,Talor Garrison,Abe Yeager,Noah Hendricks,21,14
casrwc,Expert,Pool,Chico Dogs,Beers,Dylan West,Ryan Leong,Trevor Barbosa,Matthew Waisner,19,21
casrwc,Expert,Pool,Most ripped guys here,Neighborhood bullies,Marcus Decouto,Andrew Kosche,Ryan McCargar,,21,12
casrwc,Expert,Pool,Hot Come,Faking,Dylan Bricker,Andrew Stevens,Trey Scheid,Ryan Garrigan,21,14
casrwc,Expert,Pool,Kmart,Furious George,Kyle Lew,Jacob Martinez,Abe Yeager,Noah Hendricks,21,6
casrwc,Expert,Pool,OG.,Chico Dogs,Allen Ombougno,Talor Garrison,Dylan West,Ryan Leong,20,22
casrwc,Expert,Pool,Beers,Odd one out,Trevor Barbosa,Matthew Waisner,Jake Oxendine,Perrin York,21,15
casrwc,Expert,Pool,Most ripped guys here,Hot Come,Marcus Decouto,Andrew Kosche,Dylan Bricker,Andrew Stevens,21,15
casrwc,Expert,Pool,Werkin and twerkin,Faking,Nathaniel Schrag,Eli Roth,Trey Scheid,Ryan Garrigan,21,16
casrwc,Expert,Pool,Kmart,Beers,Kyle Lew,Jacob Martinez,Trevor Barbosa,Matthew Waisner,27,25
casrwc,Expert,Pool,OG.,Odd one out,Allen Ombougno,Talor Garrison,Jake Oxendine,Perrin York,21,17
casrwc,Expert,Pool,Chico Dogs,Furious George,Dylan West,Ryan Leong,Abe Yeager,Noah Hendricks,21,12
casrwc,Expert,Pool,Werkin and twerkin,Hot Come,Nathaniel Schrag,Eli Roth,Dylan Bricker,Andrew Stevens,21,23
casrwc,Expert,Pool,Neighborhood bullies,Faking,Ryan McCargar,,Trey Scheid,Ryan Garrigan,21,14
casrwc,Expert,Pool,Kmart,Chico Dogs,Kyle Lew,Jacob Martinez,Dylan West,Ryan Leong,21,14
casrwc,Expert,Pool,OG.,Beers,Allen Ombougno,Talor Garrison,Trevor Barbosa,Matthew Waisner,19,21
casrwc,Expert,Pool,Furious George,Odd one out,Abe Yeager,Noah Hendricks,Jake Oxendine,Perrin York,19,21
casrwc,Expert,Pool,Most ripped guys here,Werkin and twerkin,Marcus Decouto,Andrew Kosche,Nathaniel Schrag,Eli Roth,20,22
casrwc,Expert,Pool,Hot Come,Neighborhood bullies,Dylan Bricker,Andrew Stevens,Ryan McCargar,,21,18
casrwc,Expert,Pool,Kmart,OG.,Kyle Lew,Jacob Martinez,Allen Ombougno,Talor Garrison,21,16
casrwc,Expert,Pool,Chico Dogs,Odd one out,Dylan West,Ryan Leong,Jake Oxendine,Perrin York,21,12
casrwc,Expert,Pool,Beers,Furious George,Trevor Barbosa,Matthew Waisner,Abe Yeager,Noah Hendricks,21,11
casrwc,Advanced,Pool,2Pock,Spewage,Nicole Brewer,Jahziel Sarmiento,Trevor Buchan,Jakob Seidner,5,21
casrwc,Advanced,Pool,BD Energy,Pops,Connor Barry,Carson Mitchell,Bill Brewer,Joe Caires,13,21
casrwc,Advanced,Pool,cutie patooties,Metabolic Regulation,JP Leatherby,Evan Mayers,Casi Cobb,JC Meave,7,21
