tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
houstonmajor2021,Premier,Pool,BAD,Shenanigans,Grant Laughlin,Garrett Hornok,Sam Yifrach,Caleb Cummings,15,8
houstonmajor2021,Premier,Pool,Splash,Jack Black,fredric hinkle,Brian Childs,Jack Granger,Andrew Christmas,15,11
houstonmajor2021,Premier,Pool,Dye Up,Tengen Toppa,Rahul Murthy,Dylan Keen,Bryce Wagoner,Nick Noguez,15,10
houstonmajor2021,Premier,Pool,Tiki Taka,MT3,Matthew Cole,Luke Marshall,bradley thompson,Chase Meyer,15,10
houstonmajor2021,Premier,Pool,BAD,Jack Black,Grant Laughlin,Garrett Hornok,Jack Granger,Andrew Christmas,15,10
houstonmajor2021,Premier,Pool,Splash,MT3,fredric hinkle,Brian Childs,bradley thompson,Chase Meyer,15,12
houstonmajor2021,Premier,Pool,Dye Up,Tiki Taka,Rahul Murthy,Dylan Keen,Matthew Cole,Luke Marshall,15,7
houstonmajor2021,Premier,Pool,Tengen Toppa,Shenanigans,Bryce Wagoner,Nick Noguez,Sam Yifrach,Caleb Cummings,15,13
houstonmajor2021,Premier,Pool,BAD,Tengen Toppa,Grant Laughlin,Garrett Hornok,Bryce Wagoner,Nick Noguez,15,11
houstonmajor2021,Premier,Pool,Splash,Dye Up,fredric hinkle,Brian Childs,Rahul Murthy,Dylan Keen,13,15
houstonmajor2021,Premier,Pool,Tiki Taka,Shenanigans,Matthew Cole,Luke Marshall,Sam Yifrach,Caleb Cummings,15,9
houstonmajor2021,Premier,Pool,MT3,Jack Black,bradley thompson,Chase Meyer,Jack Granger,Andrew Christmas,15,13
houstonmajor2021,Premier,Pool,BAD,MT3,Grant Laughlin,Garrett Hornok,bradley thompson,Chase Meyer,15,12
houstonmajor2021,Premier,Pool,Splash,Shenanigans,fredric hinkle,Brian Childs,Sam Yifrach,Caleb Cummings,15,8
houstonmajor2021,Premier,Pool,Dye Up,Jack Black,Rahul Murthy,Dylan Keen,Jack Granger,Andrew Christmas,15,8
houstonmajor2021,Premier,Pool,Tiki Taka,Tengen Toppa,Matthew Cole,Luke Marshall,Bryce Wagoner,Nick Noguez,15,12
houstonmajor2021,Premier,Pool,BAD,Tiki Taka,Grant Laughlin,Garrett Hornok,Matthew Cole,Luke Marshall,15,13
houstonmajor2021,Premier,Pool,Splash,Tengen Toppa,fredric hinkle,Brian Childs,Bryce Wagoner,Nick Noguez,15,12
houstonmajor2021,Premier,Pool,Dye Up,MT3,Rahul Murthy,Dylan Keen,bradley thompson,Chase Meyer,14,16
houstonmajor2021,Premier,Pool,Jack Black,Shenanigans,Jack Granger,Andrew Christmas,Sam Yifrach,Caleb Cummings,15,11
houstonmajor2021,Premier,Pool,BAD,Dye Up,Grant Laughlin,Garrett Hornok,Rahul Murthy,Dylan Keen,15,13
houstonmajor2021,Premier,Pool,Splash,Tiki Taka,fredric hinkle,Brian Childs,Matthew Cole,Luke Marshall,15,13
houstonmajor2021,Premier,Pool,MT3,Shenanigans,bradley thompson,Chase Meyer,Sam Yifrach,Caleb Cummings,18,16
houstonmajor2021,Premier,Pool,Tengen Toppa,Jack Black,Bryce Wagoner,Nick Noguez,Jack Granger,Andrew Christmas,16,18
houstonmajor2021,Premier,Pool,BAD,Splash,Grant Laughlin,Garrett Hornok,fredric hinkle,Brian Childs,15,13
houstonmajor2021,Premier,Pool,Dye Up,Shenanigans,Rahul Murthy,Dylan Keen,Sam Yifrach,Caleb Cummings,15,8
houstonmajor2021,Premier,Pool,Tiki Taka,Jack Black,Matthew Cole,Luke Marshall,Jack Granger,Andrew Christmas,15,13
houstonmajor2021,Premier,Pool,MT3,Tengen Toppa,bradley thompson,Chase Meyer,Bryce Wagoner,Nick Noguez,13,15
houstonmajor2021,Contender,Pool,Double Helix,The Bear and the Bronco,Rhett Howe,Blake Henke,Zech Huston,Jared Almon,21,17
houstonmajor2021,Contender,Pool,Toad Yuh,Run Boy Run,Parker Jackson,Trent Patterson,Austin Tran,Jacob Wenner,21,19
houstonmajor2021,Contender,Pool,Team #1,Pocket Pickers,Gavin R Lotts,Gozie Okenu,Brian Hansen,Tristen Vansant,21,17
houstonmajor2021,Contender,Pool,Alpine,Ten D'nuor,Spencer Lee,Josiah Dombach,Grady Wright,JJ Vela,21,13
houstonmajor2021,Contender,Pool,Double G,Serve-ant Leaders,Grayson Wills,Garrett Ashton,Chris Siemann,Jeremy Dunford,21,16
houstonmajor2021,Contender,Pool,Taint Ticklers,TRP: Speed Bumps,Matthew Purvis,Kyle Walsh,kevin um,Matthew Burrows,21,19
houstonmajor2021,Contender,Pool,Double Helix,Run Boy Run,Rhett Howe,Blake Henke,Austin Tran,Jacob Wenner,21,12
houstonmajor2021,Contender,Pool,Public Enemy,The Bear and the Bronco,Cooper Diaz,Luis Orozco,Zech Huston,Jared Almon,21,12
houstonmajor2021,Contender,Pool,Team #1,Ten D'nuor,Gavin R Lotts,Gozie Okenu,Grady Wright,JJ Vela,21,15
houstonmajor2021,Contender,Pool,Definitely Righties,Pocket Pickers,Ryan Canfield,Colby Medina,Brian Hansen,Tristen Vansant,21,11
houstonmajor2021,Contender,Pool,Double G,TRP: Speed Bumps,Grayson Wills,Garrett Ashton,kevin um,Matthew Burrows,24,25
houstonmajor2021,Contender,Pool,PORKCHOP,Serve-ant Leaders,Felipe Martinez,James Ledbetter IV,Chris Siemann,Jeremy Dunford,21,11
houstonmajor2021,Contender,Pool,Double Helix,Public Enemy,Rhett Howe,Blake Henke,Cooper Diaz,Luis Orozco,21,13
houstonmajor2021,Contender,Pool,Toad Yuh,The Bear and the Bronco,Parker Jackson,Trent Patterson,Zech Huston,Jared Almon,21,13
houstonmajor2021,Contender,Pool,Team #1,Definitely Righties,Gavin R Lotts,Gozie Okenu,Ryan Canfield,Colby Medina,21,13
houstonmajor2021,Contender,Pool,Alpine,Pocket Pickers,Spencer Lee,Josiah Dombach,Brian Hansen,Tristen Vansant,21,16
houstonmajor2021,Contender,Pool,Double G,PORKCHOP,Grayson Wills,Garrett Ashton,Felipe Martinez,James Ledbetter IV,21,11
houstonmajor2021,Contender,Pool,Taint Ticklers,Serve-ant Leaders,Matthew Purvis,Kyle Walsh,Chris Siemann,Jeremy Dunford,21,9
