tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
21-Jun,Expert,Pool,Volley Llamas,Dohm/Not Vance,Will Picone,Joe Bondi,Thomas Maloney,Laura Dohm,21,14
21-Jun,Expert,Pool,ILL,Big Dogs Eat,Olivia Jenki,Brendan Ferreira,Stephan E Graham,Gus Dickson,21,14
21-Jun,Expert,Pool,Trash Pandas,Tyri Irving,ian murphy,Christian Bennett,Tori Farlow,Tyler Montgomery,21,15
21-Jun,Expert,Pool,Hilltop Spikes,Chamakos,Cole Model,Max Model,Gustavo Cordero,Joseph Rojas,21,6
21-Jun,Expert,Pool,Sonic Boom,"Father, Son, and The Holy Ace",Connor Harte,Benjamin Bunze,Tyler Ancona,Hoyt Williams,21,18
21-Jun,Expert,Pool,Murphy Mitchum,Sets and Gets,Ian Murphy,James Mitchum,Colin Nelson,Jake Dohm,21,12
21-Jun,Expert,Pool,Little Spoons,Rally Badgers,Joe LaRuffa,Coleman Epperson's,Samuel Corey,Liam Sherron,21,11
21-Jun,Expert,Pool,OWS,Generation L,Hayden Flood,Austin Tchikatilov,Nick Brothers,Ben Navarro,21,9
21-Jun,Expert,Pool,Strawberry Jam,Land Dolphins,Ali Jenki,Jayson Rhea,Sully Woodlee,704trev _roundnet,18,21
21-Jun,Expert,Pool,Bull City,Shredders,Juan Ruiz-Delgado,Anthony Daming,Greg Tullos,Frank Terranova,21,15
21-Jun,Expert,Pool,Rally Alpacas,Gingersnaps,Jordan Taylor,Brayden Latham,Sean Brown,Connor Shupe,21,15
21-Jun,Expert,Pool,Sea Urchins,The Spike Mill,Andrew Raber,Luke Boswell,Gustavo Tejada,Andy Worthington,16,21
21-Jun,Expert,Pool,Volley Llamas,Big Dogs Eat,Will Picone,Joe Bondi,Stephan E Graham,Gus Dickson,21,13
21-Jun,Expert,Pool,ILL,Glizzy Gladiators,Olivia Jenki,Brendan Ferreira,Jacob Summers,Polk Denmark,17,21
21-Jun,Expert,Pool,Tyri Irving,Dohm/Not Vance,Tori Farlow,Tyler Montgomery,Thomas Maloney,Laura Dohm,15,21
21-Jun,Expert,Pool,Hilltop Spikes,"Father, Son, and The Holy Ace",Cole Model,Max Model,Tyler Ancona,Hoyt Williams,21,12
21-Jun,Expert,Pool,Sonic Boom,Petrie/Domster,Connor Harte,Benjamin Bunze,Stephen Petrie,Ethan Domster,17,21
21-Jun,Expert,Pool,Sets and Gets,Chamakos,Colin Nelson,Jake Dohm,Gustavo Cordero,Joseph Rojas,21,10
21-Jun,Expert,Pool,Little Spoons,Generation L,Joe LaRuffa,Coleman Epperson's,Nick Brothers,Ben Navarro,21,15
21-Jun,Expert,Pool,OWS,Strawberry Jam,Hayden Flood,Austin Tchikatilov,Ali Jenki,Jayson Rhea,21,13
21-Jun,Expert,Pool,Land Dolphins,Rally Badgers,Sully Woodlee,704trev _roundnet,Samuel Corey,Liam Sherron,21,16
21-Jun,Expert,Pool,Bull City,Gingersnaps,Juan Ruiz-Delgado,Anthony Daming,Sean Brown,Connor Shupe,25,23
21-Jun,Expert,Pool,Rally Alpacas,ButterHands,Jordan Taylor,Brayden Latham,Tripp Pierson,Freddie Silva,21,11
21-Jun,Expert,Pool,The Spike Mill,Shredders,Gustavo Tejada,Andy Worthington,Greg Tullos,Frank Terranova,21,16
21-Jun,Expert,Pool,Volley Llamas,Tyri Irving,Will Picone,Joe Bondi,Tori Farlow,Tyler Montgomery,21,11
21-Jun,Expert,Pool,ILL,Trash Pandas,Olivia Jenki,Brendan Ferreira,ian murphy,Christian Bennett,18,21
21-Jun,Expert,Pool,Glizzy Gladiators,Big Dogs Eat,Jacob Summers,Polk Denmark,Stephan E Graham,Gus Dickson,21,14
21-Jun,Expert,Pool,Hilltop Spikes,Sets and Gets,Cole Model,Max Model,Colin Nelson,Jake Dohm,21,10
21-Jun,Expert,Pool,Sonic Boom,Murphy Mitchum,Connor Harte,Benjamin Bunze,Ian Murphy,James Mitchum,21,18
21-Jun,Expert,Pool,Petrie/Domster,"Father, Son, and The Holy Ace",Stephen Petrie,Ethan Domster,Tyler Ancona,Hoyt Williams,21,9
21-Jun,Expert,Pool,Little Spoons,Land Dolphins,Joe LaRuffa,Coleman Epperson's,Sully Woodlee,704trev _roundnet,21,13
21-Jun,Expert,Pool,OWS,Rally Badgers,Hayden Flood,Austin Tchikatilov,Samuel Corey,Liam Sherron,21,9
21-Jun,Expert,Pool,Strawberry Jam,Generation L,Ali Jenki,Jayson Rhea,Nick Brothers,Ben Navarro,21,15
21-Jun,Expert,Pool,Bull City,The Spike Mill,Juan Ruiz-Delgado,Anthony Daming,Gustavo Tejada,Andy Worthington,21,17
21-Jun,Expert,Pool,Rally Alpacas,Sea Urchins,Jordan Taylor,Brayden Latham,Andrew Raber,Luke Boswell,20,22
21-Jun,Expert,Pool,ButterHands,Gingersnaps,Tripp Pierson,Freddie Silva,Sean Brown,Connor Shupe,21,14
21-Jun,Expert,Pool,Volley Llamas,Glizzy Gladiators,Will Picone,Joe Bondi,Jacob Summers,Polk Denmark,21,8
21-Jun,Expert,Pool,ILL,Dohm/Not Vance,Olivia Jenki,Brendan Ferreira,Thomas Maloney,Laura Dohm,21,13
21-Jun,Expert,Pool,Trash Pandas,Big Dogs Eat,ian murphy,Christian Bennett,Stephan E Graham,Gus Dickson,21,7
21-Jun,Expert,Pool,Hilltop Spikes,Petrie/Domster,Cole Model,Max Model,Stephen Petrie,Ethan Domster,21,10
21-Jun,Expert,Pool,Sonic Boom,Chamakos,Connor Harte,Benjamin Bunze,Gustavo Cordero,Joseph Rojas,21,17
21-Jun,Expert,Pool,Murphy Mitchum,"Father, Son, and The Holy Ace",Ian Murphy,James Mitchum,Tyler Ancona,Hoyt Williams,21,8
21-Jun,Expert,Pool,Little Spoons,Strawberry Jam,Joe LaRuffa,Coleman Epperson's,Ali Jenki,Jayson Rhea,21,16
21-Jun,Expert,Pool,OWS,Land Dolphins,Hayden Flood,Austin Tchikatilov,Sully Woodlee,704trev _roundnet,21,16
21-Jun,Expert,Pool,Generation L,Rally Badgers,Nick Brothers,Ben Navarro,Samuel Corey,Liam Sherron,21,15
21-Jun,Expert,Pool,Bull City,ButterHands,Juan Ruiz-Delgado,Anthony Daming,Tripp Pierson,Freddie Silva,22,20
21-Jun,Expert,Pool,Rally Alpacas,Shredders,Jordan Taylor,Brayden Latham,Greg Tullos,Frank Terranova,21,15
21-Jun,Expert,Pool,Sea Urchins,Gingersnaps,Andrew Raber,Luke Boswell,Sean Brown,Connor Shupe,21,18
21-Jun,Expert,Pool,ILL,Tyri Irving,Olivia Jenki,Brendan Ferreira,Tori Farlow,Tyler Montgomery,21,18
21-Jun,Expert,Pool,Trash Pandas,Glizzy Gladiators,ian murphy,Christian Bennett,Jacob Summers,Polk Denmark,24,25
21-Jun,Expert,Pool,Big Dogs Eat,Dohm/Not Vance,Stephan E Graham,Gus Dickson,Thomas Maloney,Laura Dohm,21,12
21-Jun,Expert,Pool,Sonic Boom,Sets and Gets,Connor Harte,Benjamin Bunze,Colin Nelson,Jake Dohm,23,21
21-Jun,Expert,Pool,Murphy Mitchum,Petrie/Domster,Ian Murphy,James Mitchum,Stephen Petrie,Ethan Domster,21,14
21-Jun,Expert,Pool,"Father, Son, and The Holy Ace",Chamakos,Tyler Ancona,Hoyt Williams,Gustavo Cordero,Joseph Rojas,12,21
21-Jun,Expert,Pool,Little Spoons,OWS,Joe LaRuffa,Coleman Epperson's,Hayden Flood,Austin Tchikatilov,21,18
21-Jun,Expert,Pool,Strawberry Jam,Rally Badgers,Ali Jenki,Jayson Rhea,Samuel Corey,Liam Sherron,17,21
21-Jun,Expert,Pool,Land Dolphins,Generation L,Sully Woodlee,704trev _roundnet,Nick Brothers,Ben Navarro,24,22
21-Jun,Expert,Pool,Rally Alpacas,The Spike Mill,Jordan Taylor,Brayden Latham,Gustavo Tejada,Andy Worthington,21,18
21-Jun,Expert,Pool,Sea Urchins,ButterHands,Andrew Raber,Luke Boswell,Tripp Pierson,Freddie Silva,16,21
21-Jun,Expert,Pool,Gingersnaps,Shredders,Sean Brown,Connor Shupe,Greg Tullos,Frank Terranova,17,21
21-Jun,Expert,Pool,Volley Llamas,Trash Pandas,Will Picone,Joe Bondi,ian murphy,Christian Bennett,21,18
21-Jun,Expert,Pool,Glizzy Gladiators,Dohm/Not Vance,Jacob Summers,Polk Denmark,Thomas Maloney,Laura Dohm,21,10
21-Jun,Expert,Pool,Tyri Irving,Big Dogs Eat,Tori Farlow,Tyler Montgomery,Stephan E Graham,Gus Dickson,21,16
21-Jun,Expert,Pool,Hilltop Spikes,Murphy Mitchum,Cole Model,Max Model,Ian Murphy,James Mitchum,21,19
21-Jun,Expert,Pool,Petrie/Domster,Chamakos,Stephen Petrie,Ethan Domster,Gustavo Cordero,Joseph Rojas,21,16
21-Jun,Expert,Pool,Sets and Gets,"Father, Son, and The Holy Ace",Colin Nelson,Jake Dohm,Tyler Ancona,Hoyt Williams,22,20
21-Jun,Expert,Pool,Bull City,Sea Urchins,Juan Ruiz-Delgado,Anthony Daming,Andrew Raber,Luke Boswell,21,13
21-Jun,Expert,Pool,ButterHands,Shredders,Tripp Pierson,Freddie Silva,Greg Tullos,Frank Terranova,21,15
21-Jun,Expert,Pool,The Spike Mill,Gingersnaps,Gustavo Tejada,Andy Worthington,Sean Brown,Connor Shupe,18,21
21-Jun,Expert,Pool,Volley Llamas,ILL,Will Picone,Joe Bondi,Olivia Jenki,Brendan Ferreira,21,14
21-Jun,Expert,Pool,Trash Pandas,Dohm/Not Vance,ian murphy,Christian Bennett,Thomas Maloney,Laura Dohm,21,19
21-Jun,Expert,Pool,Glizzy Gladiators,Tyri Irving,Jacob Summers,Polk Denmark,Tori Farlow,Tyler Montgomery,21,18
21-Jun,Expert,Pool,Hilltop Spikes,Sonic Boom,Cole Model,Max Model,Connor Harte,Benjamin Bunze,21,15
21-Jun,Expert,Pool,Murphy Mitchum,Chamakos,Ian Murphy,James Mitchum,Gustavo Cordero,Joseph Rojas,21,13
21-Jun,Expert,Pool,Petrie/Domster,Sets and Gets,Stephen Petrie,Ethan Domster,Colin Nelson,Jake Dohm,21,23
21-Jun,Expert,Pool,Bull City,Rally Alpacas,Juan Ruiz-Delgado,Anthony Daming,Jordan Taylor,Brayden Latham,21,15
21-Jun,Expert,Pool,Sea Urchins,Shredders,Andrew Raber,Luke Boswell,Greg Tullos,Frank Terranova,23,21
21-Jun,Expert,Pool,ButterHands,The Spike Mill,Tripp Pierson,Freddie Silva,Gustavo Tejada,Andy Worthington,21,18
21-Jun,Contender,Pool,Humps and Toes,Eskimo Bros,Donavon Stell,Stephen Mayfield,Kurt Lannetti,Justan Burfict,24,25
21-Jun,Contender,Pool,The Jackos,Blind Date,Austin Kunkel,Zach Snover,Brandon Rountree,Hayden Girling,10,21
21-Jun,Contender,Pool,Meep,Off Day,Mack Phillips,Philip Sapienza,Nathan Benjamin,Chris Cuomo,16,21
21-Jun,Contender,Pool,Trajkovski/Petrieski,Frito Boys,Sarah Petrie,Vladimir Trajkovski,Rohan Venkatraman,Nate Kolk,14,21
21-Jun,Contender,Pool,CLT 2.0,Could Ace Your Mom,Riley Redmon,Ben Fertik,Sam Bunze,Cameron Finley,25,24
21-Jun,Contender,Pool,Boomer Ballers,Hoopers try Spikeball,Matthew Kern,Brent Summers,Austin Manley,Travis Shearin,21,11
21-Jun,Contender,Pool,Spikaholics,[TEAM] Faking!,Dominic Mullett,John Rutler,Jonas Jacobson,David Thole,11,21
21-Jun,Contender,Pool,Sneaky Quick,CLT,Myles Morrison,Trey Postlethwait,Andrey Andriyevskiy,Josiah McKenzie,21,19
21-Jun,Contender,Pool,TextbookTazs,The wolf of Raleigh,Logan Kucharczyk ,Connor Reid,Andrew Murray,Nathan Iandoli,21,16
21-Jun,Contender,Pool,Peach Breeze,Fireball Kwanzaa,Grant Wirth,John Ichnoski,Will Parsons,Austin Calhoun,9,21
21-Jun,Contender,Pool,Humps and Toes,Blind Date,Donavon Stell,Stephen Mayfield,Brandon Rountree,Hayden Girling,21,12
21-Jun,Contender,Pool,The Jackos,Frito Boys,Austin Kunkel,Zach Snover,Rohan Venkatraman,Nate Kolk,12,21
21-Jun,Contender,Pool,Meep,Trajkovski/Petrieski,Mack Phillips,Philip Sapienza,Sarah Petrie,Vladimir Trajkovski,21,14
