tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
lafeyettemajor2021,Elite,Pool,Kyle & Co.,Cheese and Rice,Fredric Hinkle,Luke Marshall,Grant Miller,Brandon Arledge,15,13
lafeyettemajor2021,Elite,Pool,WySpike Heroes,Get Roved,Luke Mowry,Colton Mowry,Jerm Porter,Daniel Wilson,15,13
lafeyettemajor2021,Elite,Pool,Aoba Johsai,Last Minute,Caleb Cummings,Chase Meyer,Austin Tran,Jack Granger,15,6
lafeyettemajor2021,Elite,Pool,LukLeftBal,Cathartic Peacock,Matthew Burrows,Ethan McWhirter,Grayson M Wills,Kyle Walsh,15,8
lafeyettemajor2021,Elite,Pool,Kyle & Co.,Get Roved,Fredric Hinkle,Luke Marshall,Jerm Porter,Daniel Wilson,15,7
lafeyettemajor2021,Elite,Pool,WySpike Heroes,Cathartic Peacock,Luke Mowry,Colton Mowry,Grayson M Wills,Kyle Walsh,15,7
lafeyettemajor2021,Elite,Pool,Aoba Johsai,Karasuno,Caleb Cummings,Chase Meyer,AJ Hutchinson,Bryce Wagoner,20,18
lafeyettemajor2021,Elite,Pool,Last Minute,Cheese and Rice,Austin Tran,Jack Granger,Grant Miller,Brandon Arledge,9,15
lafeyettemajor2021,Elite,Pool,Kyle & Co.,Last Minute,Fredric Hinkle,Luke Marshall,Austin Tran,Jack Granger,15,9
lafeyettemajor2021,Elite,Pool,Aoba Johsai,LukLeftBal,Caleb Cummings,Chase Meyer,Matthew Burrows,Ethan McWhirter,15,17
lafeyettemajor2021,Elite,Pool,Karasuno,Cheese and Rice,AJ Hutchinson,Bryce Wagoner,Grant Miller,Brandon Arledge,15,13
lafeyettemajor2021,Elite,Pool,Cathartic Peacock,Get Roved,Grayson M Wills,Kyle Walsh,Jerm Porter,Daniel Wilson,16,14
lafeyettemajor2021,Elite,Pool,Kyle & Co.,Cathartic Peacock,Fredric Hinkle,Luke Marshall,Grayson M Wills,Kyle Walsh,15,12
lafeyettemajor2021,Elite,Pool,WySpike Heroes,Aoba Johsai,Luke Mowry,Colton Mowry,Caleb Cummings,Chase Meyer,15,9
lafeyettemajor2021,Elite,Pool,LukLeftBal,Cheese and Rice,Matthew Burrows,Ethan McWhirter,Grant Miller,Brandon Arledge,15,13
lafeyettemajor2021,Elite,Pool,Karasuno,Last Minute,AJ Hutchinson,Bryce Wagoner,Austin Tran,Jack Granger,15,13
lafeyettemajor2021,Elite,Pool,Kyle & Co.,Karasuno,Fredric Hinkle,Luke Marshall,AJ Hutchinson,Bryce Wagoner,15,9
lafeyettemajor2021,Elite,Pool,WySpike Heroes,Cheese and Rice,Luke Mowry,Colton Mowry,Grant Miller,Brandon Arledge,15,9
lafeyettemajor2021,Elite,Pool,Aoba Johsai,Get Roved,Caleb Cummings,Chase Meyer,Jerm Porter,Daniel Wilson,16,14
lafeyettemajor2021,Elite,Pool,LukLeftBal,Last Minute,Matthew Burrows,Ethan McWhirter,Austin Tran,Jack Granger,15,11
lafeyettemajor2021,Elite,Pool,WySpike Heroes,Last Minute,Luke Mowry,Colton Mowry,Austin Tran,Jack Granger,15,9
lafeyettemajor2021,Elite,Pool,Aoba Johsai,Cathartic Peacock,Caleb Cummings,Chase Meyer,Grayson M Wills,Kyle Walsh,21,20
lafeyettemajor2021,Elite,Pool,LukLeftBal,Karasuno,Matthew Burrows,Ethan McWhirter,AJ Hutchinson,Bryce Wagoner,15,10
lafeyettemajor2021,Elite,Pool,Get Roved,Cheese and Rice,Jerm Porter,Daniel Wilson,Grant Miller,Brandon Arledge,15,9
lafeyettemajor2021,Elite,Pool,Kyle & Co.,LukLeftBal,Fredric Hinkle,Luke Marshall,Matthew Burrows,Ethan McWhirter,15,10
lafeyettemajor2021,Elite,Pool,WySpike Heroes,Karasuno,Luke Mowry,Colton Mowry,AJ Hutchinson,Bryce Wagoner,15,9
lafeyettemajor2021,Elite,Pool,Cathartic Peacock,Cheese and Rice,Grayson M Wills,Kyle Walsh,Grant Miller,Brandon Arledge,15,10
lafeyettemajor2021,Elite,Pool,Last Minute,Get Roved,Austin Tran,Jack Granger,Jerm Porter,Daniel Wilson,8,15
lafeyettemajor2021,Elite,Pool,Kyle & Co.,Aoba Johsai,Fredric Hinkle,Luke Marshall,Caleb Cummings,Chase Meyer,13,15
lafeyettemajor2021,Elite,Pool,WySpike Heroes,LukLeftBal,Luke Mowry,Colton Mowry,Matthew Burrows,Ethan McWhirter,15,11
lafeyettemajor2021,Elite,Pool,Karasuno,Get Roved,AJ Hutchinson,Bryce Wagoner,Jerm Porter,Daniel Wilson,15,12
lafeyettemajor2021,Elite,Pool,Cathartic Peacock,Last Minute,Grayson M Wills,Kyle Walsh,Austin Tran,Jack Granger,15,10
lafeyettemajor2021,Elite,Pool,Kyle & Co.,WySpike Heroes,Fredric Hinkle,Luke Marshall,Luke Mowry,Colton Mowry,13,15
lafeyettemajor2021,Elite,Pool,Aoba Johsai,Cheese and Rice,Caleb Cummings,Chase Meyer,Grant Miller,Brandon Arledge,15,8
lafeyettemajor2021,Elite,Pool,LukLeftBal,Get Roved,Matthew Burrows,Ethan McWhirter,Jerm Porter,Daniel Wilson,8,15
lafeyettemajor2021,Elite,Pool,Karasuno,Cathartic Peacock,AJ Hutchinson,Bryce Wagoner,Grayson M Wills,Kyle Walsh,15,13
lafeyettemajor2021,Advanced,Pool,Net Dreamz,Lord of the Rims,Grant Oubre,Pierson Rivera,Brandon Rose,Aj Jones,6,15
lafeyettemajor2021,Advanced,Pool,Dumber and Dumbest,Firm Answer,Alejandro Spears,Austin Howenstine,Jared Almon,Abbigayle Gollihar,17,15
lafeyettemajor2021,Advanced,Pool,The Executives,Spikey Tofu,Daniel McCammon,Jumbo2007 Xcc,Heath Broussard,Alan Truong,15,10
