tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
nmrasantafe2021,Contender,Pool,The Last Dance,Legally Obligated,Daniel Lindeen,Thomas Nishimoto,Kameron Elder,Alicia Trujillo,21,8
nmrasantafe2021,Contender,Pool,Who caress,The Hidden Leaf,Kane Rickman,Daniel Blodgett,Slade Warner,Ben Sasser,21,14
nmrasantafe2021,Contender,Pool,MINNE-RADO,Practice Safe Sets,Carter Sieben,Grant Gouger,Jake Babbitt,Tyler Babbitt,21,17
nmrasantafe2021,Contender,Pool,Triple Fault,Especial Upset!,Kellin Rumsey,Warner Curtis,Ryan St. Denis,Levi Lobo,21,14
nmrasantafe2021,Contender,Pool,Workplace Proximity Associates,oof,Luke Freimanis,Mark Seaver,tucker judkins,anthony winney,21,16
nmrasantafe2021,Contender,Pool,The Last Dance,The Hidden Leaf,Daniel Lindeen,Thomas Nishimoto,Slade Warner,Ben Sasser,21,16
nmrasantafe2021,Contender,Pool,Who caress,MINNE-RADO,Kane Rickman,Daniel Blodgett,Carter Sieben,Grant Gouger,21,19
nmrasantafe2021,Contender,Pool,Practice Safe Sets,Legally Obligated,Jake Babbitt,Tyler Babbitt,Kameron Elder,Alicia Trujillo,21,18
nmrasantafe2021,Contender,Pool,Triple Fault,oof,Kellin Rumsey,Warner Curtis,tucker judkins,anthony winney,21,16
nmrasantafe2021,Contender,Pool,Dabble,Especial Upset!,Ian Golembeski,Jalen Butkus,Ryan St. Denis,Levi Lobo,21,13
nmrasantafe2021,Contender,Pool,The Last Dance,Practice Safe Sets,Daniel Lindeen,Thomas Nishimoto,Jake Babbitt,Tyler Babbitt,21,11
nmrasantafe2021,Contender,Pool,Who caress,Legally Obligated,Kane Rickman,Daniel Blodgett,Kameron Elder,Alicia Trujillo,21,8
nmrasantafe2021,Contender,Pool,MINNE-RADO,The Hidden Leaf,Carter Sieben,Grant Gouger,Slade Warner,Ben Sasser,20,22
nmrasantafe2021,Contender,Pool,Triple Fault,Dabble,Kellin Rumsey,Warner Curtis,Ian Golembeski,Jalen Butkus,14,21
nmrasantafe2021,Contender,Pool,Workplace Proximity Associates,Especial Upset!,Luke Freimanis,Mark Seaver,Ryan St. Denis,Levi Lobo,21,13
nmrasantafe2021,Contender,Pool,The Last Dance,MINNE-RADO,Daniel Lindeen,Thomas Nishimoto,Carter Sieben,Grant Gouger,21,11
nmrasantafe2021,Contender,Pool,Who caress,Practice Safe Sets,Kane Rickman,Daniel Blodgett,Jake Babbitt,Tyler Babbitt,21,12
nmrasantafe2021,Contender,Pool,The Hidden Leaf,Legally Obligated,Slade Warner,Ben Sasser,Kameron Elder,Alicia Trujillo,21,17
nmrasantafe2021,Contender,Pool,Workplace Proximity Associates,Dabble,Luke Freimanis,Mark Seaver,Ian Golembeski,Jalen Butkus,15,21
nmrasantafe2021,Contender,Pool,oof,Especial Upset!,tucker judkins,anthony winney,Ryan St. Denis,Levi Lobo,22,20
nmrasantafe2021,Contender,Pool,The Last Dance,Who caress,Daniel Lindeen,Thomas Nishimoto,Kane Rickman,Daniel Blodgett,21,17
nmrasantafe2021,Contender,Pool,MINNE-RADO,Legally Obligated,Carter Sieben,Grant Gouger,Kameron Elder,Alicia Trujillo,21,7
nmrasantafe2021,Contender,Pool,Practice Safe Sets,The Hidden Leaf,Jake Babbitt,Tyler Babbitt,Slade Warner,Ben Sasser,13,21
nmrasantafe2021,Contender,Pool,Triple Fault,Workplace Proximity Associates,Kellin Rumsey,Warner Curtis,Luke Freimanis,Mark Seaver,23,25
nmrasantafe2021,Contender,Pool,Dabble,oof,Ian Golembeski,Jalen Butkus,tucker judkins,anthony winney,21,16
nmrasantafe2021,Advanced,Pool,11-Jul,Andres and Pabs,Hunter Timms,Britt Perez,Pabs,Andres,21,13
nmrasantafe2021,Advanced,Pool,Tiny Trampolines,Greg and John,Caleb LaBelle,Isaac Gaspar,John,Greg,21,7
nmrasantafe2021,Advanced,Pool,Super Ball Unicorns,Flow Reprise,Dominique Delgado,Alfredo Carmona,Sophia Orona Yang,Dustyn Garcia,21,10
nmrasantafe2021,Advanced,Pool,11-Jul,Greg and John,Hunter Timms,Britt Perez,John,Greg,21,15
