tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,Trust the Thrust,Jason Rhoads,Trevor Barbosa,Thomas Nishimoto,Marc Baldwin,15,10
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,The Mio Brothers,kevin um,Ryder Rivadeneyra,Allen Iwamoto,John Choi,15,7
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Coleboys,turtle heads <U+0001F422>,Andrew Kosche,Jacob Martinez,Dean Wasil,Benjamin Banuelos,12,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,<U+0001FAE0><U+0001FAE1><U+0001F979>,Fragiacomo/Brown,Jacob Payer,Daniel Lindeen,Josh Fragiacomo,Brandon Brown,17,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,The Mio Brothers,Jason Rhoads,Trevor Barbosa,Allen Iwamoto,John Choi,15,6
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,Fragiacomo/Brown,kevin um,Ryder Rivadeneyra,Josh Fragiacomo,Brandon Brown,17,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Coleboys,Obelus,Andrew Kosche,Jacob Martinez,Matt Ortlip,Ethan Zehr,12,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,turtle heads <U+0001F422>,Trust the Thrust,Dean Wasil,Benjamin Banuelos,Thomas Nishimoto,Marc Baldwin,15,9
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,turtle heads <U+0001F422>,Jason Rhoads,Trevor Barbosa,Dean Wasil,Benjamin Banuelos,14,16
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Coleboys,<U+0001FAE0><U+0001FAE1><U+0001F979>,Andrew Kosche,Jacob Martinez,Jacob Payer,Daniel Lindeen,15,10
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Obelus,Trust the Thrust,Matt Ortlip,Ethan Zehr,Thomas Nishimoto,Marc Baldwin,14,16
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Fragiacomo/Brown,The Mio Brothers,Josh Fragiacomo,Brandon Brown,Allen Iwamoto,John Choi,16,14
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,Fragiacomo/Brown,Jason Rhoads,Trevor Barbosa,Josh Fragiacomo,Brandon Brown,15,12
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,Coleboys,kevin um,Ryder Rivadeneyra,Andrew Kosche,Jacob Martinez,15,7
sdg3,5.0-5.5 Expert Division(NHZ),Pool,<U+0001FAE0><U+0001FAE1><U+0001F979>,Trust the Thrust,Jacob Payer,Daniel Lindeen,Thomas Nishimoto,Marc Baldwin,15,11
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Obelus,turtle heads <U+0001F422>,Matt Ortlip,Ethan Zehr,Dean Wasil,Benjamin Banuelos,15,11
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,Obelus,Jason Rhoads,Trevor Barbosa,Matt Ortlip,Ethan Zehr,21,20
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,Trust the Thrust,kevin um,Ryder Rivadeneyra,Thomas Nishimoto,Marc Baldwin,15,7
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Coleboys,The Mio Brothers,Andrew Kosche,Jacob Martinez,Allen Iwamoto,John Choi,15,12
sdg3,5.0-5.5 Expert Division(NHZ),Pool,<U+0001FAE0><U+0001FAE1><U+0001F979>,turtle heads <U+0001F422>,Jacob Payer,Daniel Lindeen,Dean Wasil,Benjamin Banuelos,15,10
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,turtle heads <U+0001F422>,kevin um,Ryder Rivadeneyra,Dean Wasil,Benjamin Banuelos,17,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Coleboys,Fragiacomo/Brown,Andrew Kosche,Jacob Martinez,Josh Fragiacomo,Brandon Brown,10,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,<U+0001FAE0><U+0001FAE1><U+0001F979>,Obelus,Jacob Payer,Daniel Lindeen,Matt Ortlip,Ethan Zehr,9,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,The Mio Brothers,Trust the Thrust,Allen Iwamoto,John Choi,Thomas Nishimoto,Marc Baldwin,13,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,<U+0001FAE0><U+0001FAE1><U+0001F979>,Jason Rhoads,Trevor Barbosa,Jacob Payer,Daniel Lindeen,15,7
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,Obelus,kevin um,Ryder Rivadeneyra,Matt Ortlip,Ethan Zehr,13,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Fragiacomo/Brown,Trust the Thrust,Josh Fragiacomo,Brandon Brown,Thomas Nishimoto,Marc Baldwin,13,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,turtle heads <U+0001F422>,The Mio Brothers,Dean Wasil,Benjamin Banuelos,Allen Iwamoto,John Choi,14,16
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,Coleboys,Jason Rhoads,Trevor Barbosa,Andrew Kosche,Jacob Martinez,12,15
sdg3,5.0-5.5 Expert Division(NHZ),Pool,TRP.mp4,<U+0001FAE0><U+0001FAE1><U+0001F979>,kevin um,Ryder Rivadeneyra,Jacob Payer,Daniel Lindeen,15,11
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Obelus,The Mio Brothers,Matt Ortlip,Ethan Zehr,Allen Iwamoto,John Choi,15,10
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Fragiacomo/Brown,turtle heads <U+0001F422>,Josh Fragiacomo,Brandon Brown,Dean Wasil,Benjamin Banuelos,14,16
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Queue,TRP.mp4,Jason Rhoads,Trevor Barbosa,kevin um,Ryder Rivadeneyra,19,17
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Coleboys,Trust the Thrust,Andrew Kosche,Jacob Martinez,Thomas Nishimoto,Marc Baldwin,15,11
sdg3,5.0-5.5 Expert Division(NHZ),Pool,<U+0001FAE0><U+0001FAE1><U+0001F979>,The Mio Brothers,Jacob Payer,Daniel Lindeen,Allen Iwamoto,John Choi,15,13
sdg3,5.0-5.5 Expert Division(NHZ),Pool,Obelus,Fragiacomo/Brown,Matt Ortlip,Ethan Zehr,Josh Fragiacomo,Brandon Brown,15,11
sdg3,1.0-4.5 contender Division(NHZ),Pool,Dialed,Electrolytes,Josh Cain,Luke Pennington,Sean Kinsella,Thurmond Dean,21,8
sdg3,1.0-4.5 contender Division(NHZ),Pool,THUS Waters of Thine Melon,Ullah Bird,Kayla Wu,Kalin Miramontes,Rahat Ullah,Jason Bird,21,11
sdg3,1.0-4.5 contender Division(NHZ),Pool,SIUUUUUUUUUUUUUUUUU,Socs n Crocs,Cory Chilton,Kyan Kornfeld,Andrew Ursua,Raymond Vargas,21,16
sdg3,1.0-4.5 contender Division(NHZ),Pool,Friends of OC,Balls Deep,Clifton Miller,Drew Cummins,Robert Miller,Niko Shumov,21,8
sdg3,1.0-4.5 contender Division(NHZ),Pool,Brown Pounds With Mclean's Ween,MDE,Cody Brown,Cade McLean,Levi Laskowski,Dallin Tilby,21,11
sdg3,1.0-4.5 contender Division(NHZ),Pool,half a vaccine,Smack ën Cheese,Thomas Pence,Noah Johnson,Isaac Holbrook,Seth Holbrook,16,21
sdg3,1.0-4.5 contender Division(NHZ),Pool,Smokiní Hooklah,The Sandlot,Schon Siguenza,Karah Hui,Grace Engle,Aaron Coble,21,3
sdg3,1.0-4.5 contender Division(NHZ),Pool,Dive Hard,Roundbuds,Nolan Wynkoop,Cole Sanchez,Dara Akhavein,Michael Soliz,21,8
sdg3,1.0-4.5 contender Division(NHZ),Pool,Rough Sets,Alto Boys,Austin Gauerke,Nico Chico,Ethan Geller,Carlos Diaz,21,15
sdg3,1.0-4.5 contender Division(NHZ),Pool,Hit it From Behind,Znornz,Nick Galbo,Garrett Meredith,Brian Hayes,Matt Pennington,21,11
sdg3,1.0-4.5 contender Division(NHZ),Pool,Cafe Disco,Tall fire,Dylan Medveal,tucker judkins,Sean Fireball,Joe Schreiber,21,12
sdg3,1.0-4.5 contender Division(NHZ),Pool,Fujikura/Moldovsky,Galbo & Arrow,Rafi Moldovsky,Yusei Fujikura,Arrow Griner,Alec Galbo,21,8
sdg3,1.0-4.5 contender Division(NHZ),Pool,Dialed,Ullah Bird,Josh Cain,Luke Pennington,Rahat Ullah,Jason Bird,21,6
sdg3,1.0-4.5 contender Division(NHZ),Pool,THUS Waters of Thine Melon,SIUUUUUUUUUUUUUUUUU,Kayla Wu,Kalin Miramontes,Cory Chilton,Kyan Kornfeld,11,21
sdg3,1.0-4.5 contender Division(NHZ),Pool,Socs n Crocs,Electrolytes,Andrew Ursua,Raymond Vargas,Sean Kinsella,Thurmond Dean,18,21
sdg3,1.0-4.5 contender Division(NHZ),Pool,Friends of OC,MDE,Clifton Miller,Drew Cummins,Levi Laskowski,Dallin Tilby,21,12
sdg3,1.0-4.5 contender Division(NHZ),Pool,Brown Pounds With Mclean's Ween,half a vaccine,Cody Brown,Cade McLean,Thomas Pence,Noah Johnson,21,16
sdg3,1.0-4.5 contender Division(NHZ),Pool,Smack ën Cheese,Balls Deep,Isaac Holbrook,Seth Holbrook,Robert Miller,Niko Shumov,21,10
sdg3,1.0-4.5 contender Division(NHZ),Pool,Smokiní Hooklah,Roundbuds,Schon Siguenza,Karah Hui,Dara Akhavein,Michael Soliz,21,11
sdg3,1.0-4.5 contender Division(NHZ),Pool,Dive Hard,Rough Sets,Nolan Wynkoop,Cole Sanchez,Austin Gauerke,Nico Chico,21,17
sdg3,1.0-4.5 contender Division(NHZ),Pool,Alto Boys,The Sandlot,Ethan Geller,Carlos Diaz,Grace Engle,Aaron Coble,21,13
