tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
se-gainesville21,Intermediate,Pool,Riss,Kappa Spike,Christopher Oster,Ryley Duke,Sam Randall,Stefan Anthopoulos,21,13
se-gainesville21,Intermediate,Pool,BoutFO,Team Flash,Derek McRea,Larkin Sharpe,Leah Dailey,Cliff Dailey,21,18
se-gainesville21,Intermediate,Pool,Apple Pie,German Gators,Luis Diaz,adam kuffner,Alex Meschnik,Michael Baumg‰rtner,17,21
se-gainesville21,Intermediate,Pool,Muddslide,Fast and Not So Furious,Spencer Flitter,Logan Mudd,Dawson Houston,Jake Todd,21,14
se-gainesville21,Intermediate,Pool,Shanghai Noon,The Empire Spikes Back,Colton Yu,Jacob Polansky,Parker Novak,Paul Lewis,11,21
se-gainesville21,Intermediate,Pool,BAM 2.0,Free balliní,Matt Kelley,Brooke Plecker,Donovan Blalock,Hudson Munsell,21,9
se-gainesville21,Intermediate,Pool,Lumbar Support,Yurp,Addam Setzer,Evan Welch,Dillon Sykes,Jake Lamboy,21,10
se-gainesville21,Intermediate,Pool,Lasagna,Spike Lee,Lauren Zhu,Max Genova,Zach Newman,Brad Begnoche,19,21
se-gainesville21,Intermediate,Pool,Bread Ní Butter,Stupid Thicc Spikers,Nicole Hernandez,Alejandro Sosa,Doug Ponce,Noah Humphlett,24,22
se-gainesville21,Intermediate,Pool,I Like Ya Spike G,Last minute,Justin Cintron,Ryder Valiquette,Jacob Smith,Daniel Kogstrom,18,21
se-gainesville21,Intermediate,Pool,Knights of the round net,Tall Man and Short Boy,Daniel Yates,Paxton Sullivan,Joshua Mollineda,Hernan Bustamante,11,21
se-gainesville21,Intermediate,Pool,<U+0274><U+1D0F><U+0280><U+1D1B><U+029C> <U+A730><U+029F><U+1D0F><U+0280><U+026A><U+1D05><U+1D00> <U+0299><U+1D0F><U+026A><U+A731>,Spike at First Sight,DAWSON MILLER,Jay Marino,Ken Walden,Camden Eichem,21,13
se-gainesville21,Intermediate,Pool,Riss,Team Flash,Christopher Oster,Ryley Duke,Leah Dailey,Cliff Dailey,21,12
se-gainesville21,Intermediate,Pool,BoutFO,Apple Pie,Derek McRea,Larkin Sharpe,Luis Diaz,adam kuffner,21,12
se-gainesville21,Intermediate,Pool,German Gators,Kappa Spike,Alex Meschnik,Michael Baumg‰rtner,Sam Randall,Stefan Anthopoulos,21,18
se-gainesville21,Intermediate,Pool,Muddslide,The Empire Spikes Back,Spencer Flitter,Logan Mudd,Parker Novak,Paul Lewis,21,18
se-gainesville21,Intermediate,Pool,Shanghai Noon,BAM 2.0,Colton Yu,Jacob Polansky,Matt Kelley,Brooke Plecker,9,21
se-gainesville21,Intermediate,Pool,Free balliní,Fast and Not So Furious,Donovan Blalock,Hudson Munsell,Dawson Houston,Jake Todd,21,18
se-gainesville21,Intermediate,Pool,Lumbar Support,Spike Lee,Addam Setzer,Evan Welch,Zach Newman,Brad Begnoche,21,18
se-gainesville21,Intermediate,Pool,Lasagna,Bread Ní Butter,Lauren Zhu,Max Genova,Nicole Hernandez,Alejandro Sosa,21,13
