tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Goon Squad,Whoís Touching Me,Robbie Brisco,Josh Fragiacomo,Shea Duty,Luis Natera,21,19
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Homie Hoppin,The Untouchaballs,Quinn Hufler,Jackson Blackburn,Rohan Sachdeva,Derrick Chen,21,14
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Electro-Monkies,SV Nativz,Ryan McCargar,Nathaniel Schrag,Guy Hadas,Ron Arbel,21,12
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Statically Indeterminate,Average Joes,Cormac Alonzo,Mason Thau,Joseph Kaylor,Joey Carmichael,21,13
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Jeff,Man and Monkey,Nicolas Ramos,Dylan West,Garrett Meredith,Trey Brown,25,24
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Globo Gym Purple Cobras <U+0001F40D>,Sponkballers,Noah Saddik,Zack Duffy,liam llorin,Tiger Sun,21,6
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Dialed,Dolo Boys,Josh Cain,Luke Pennington,Conner Currie,Chris Heinemeyer,21,9
sfg2,4.0-5.0 Expert Division(NHZ),Pool,TexMex,Beach Bums,JC Meave,Michael Du,Ryan Leong,Sasha Mariniuk,14,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Poo Guys,Spike Bros,Schon Siguenza,Troy Mauk,Adam Wulkan,Zach Weiss,21,4
sfg2,4.0-5.0 Expert Division(NHZ),Pool,OxenKin,Littlestitious,Jake Oxendine,Tim Gaskin,Casper Wu,Daniel Lee,21,15
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Griddy,Faking,Ethan Geller,Carlos Diaz,Trey Scheid,Ryan Garrigan,9,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Goon Squad,The Untouchaballs,Robbie Brisco,Josh Fragiacomo,Rohan Sachdeva,Derrick Chen,21,19
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Default Settings,Whoís Touching Me,Abe Yeager,Max Zhang,Shea Duty,Luis Natera,21,18
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Electro-Monkies,Average Joes,Ryan McCargar,Nathaniel Schrag,Joseph Kaylor,Joey Carmichael,21,7
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Statically Indeterminate,Jeff,Cormac Alonzo,Mason Thau,Nicolas Ramos,Dylan West,21,23
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Man and Monkey,SV Nativz,Garrett Meredith,Trey Brown,Guy Hadas,Ron Arbel,21,11
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Globo Gym Purple Cobras <U+0001F40D>,Dolo Boys,Noah Saddik,Zack Duffy,Conner Currie,Chris Heinemeyer,21,6
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Dialed,TexMex,Josh Cain,Luke Pennington,JC Meave,Michael Du,21,11
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Beach Bums,Sponkballers,Ryan Leong,Sasha Mariniuk,liam llorin,Tiger Sun,21,8
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Poo Guys,Littlestitious,Schon Siguenza,Troy Mauk,Casper Wu,Daniel Lee,21,15
sfg2,4.0-5.0 Expert Division(NHZ),Pool,OxenKin,Griddy,Jake Oxendine,Tim Gaskin,Ethan Geller,Carlos Diaz,21,10
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Faking,Spike Bros,Trey Scheid,Ryan Garrigan,Adam Wulkan,Zach Weiss,21,5
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Goon Squad,Default Settings,Robbie Brisco,Josh Fragiacomo,Abe Yeager,Max Zhang,21,17
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Homie Hoppin,Whoís Touching Me,Quinn Hufler,Jackson Blackburn,Shea Duty,Luis Natera,21,12
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Electro-Monkies,Man and Monkey,Ryan McCargar,Nathaniel Schrag,Garrett Meredith,Trey Brown,21,11
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Statically Indeterminate,SV Nativz,Cormac Alonzo,Mason Thau,Guy Hadas,Ron Arbel,21,14
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Jeff,Average Joes,Nicolas Ramos,Dylan West,Joseph Kaylor,Joey Carmichael,21,15
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Globo Gym Purple Cobras <U+0001F40D>,Beach Bums,Noah Saddik,Zack Duffy,Ryan Leong,Sasha Mariniuk,21,15
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Dialed,Sponkballers,Josh Cain,Luke Pennington,liam llorin,Tiger Sun,21,3
sfg2,4.0-5.0 Expert Division(NHZ),Pool,TexMex,Dolo Boys,JC Meave,Michael Du,Conner Currie,Chris Heinemeyer,21,6
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Poo Guys,Faking,Schon Siguenza,Troy Mauk,Trey Scheid,Ryan Garrigan,21,13
sfg2,4.0-5.0 Expert Division(NHZ),Pool,OxenKin,Spike Bros,Jake Oxendine,Tim Gaskin,Adam Wulkan,Zach Weiss,21,9
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Griddy,Littlestitious,Ethan Geller,Carlos Diaz,Casper Wu,Daniel Lee,14,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Homie Hoppin,Default Settings,Quinn Hufler,Jackson Blackburn,Abe Yeager,Max Zhang,21,13
sfg2,4.0-5.0 Expert Division(NHZ),Pool,The Untouchaballs,Whoís Touching Me,Rohan Sachdeva,Derrick Chen,Shea Duty,Luis Natera,21,12
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Electro-Monkies,Jeff,Ryan McCargar,Nathaniel Schrag,Nicolas Ramos,Dylan West,21,17
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Statically Indeterminate,Man and Monkey,Cormac Alonzo,Mason Thau,Garrett Meredith,Trey Brown,19,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Average Joes,SV Nativz,Joseph Kaylor,Joey Carmichael,Guy Hadas,Ron Arbel,21,14
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Globo Gym Purple Cobras <U+0001F40D>,TexMex,Noah Saddik,Zack Duffy,JC Meave,Michael Du,21,15
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Dialed,Beach Bums,Josh Cain,Luke Pennington,Ryan Leong,Sasha Mariniuk,21,17
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Dolo Boys,Sponkballers,Conner Currie,Chris Heinemeyer,liam llorin,Tiger Sun,17,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Poo Guys,Griddy,Schon Siguenza,Troy Mauk,Ethan Geller,Carlos Diaz,21,10
sfg2,4.0-5.0 Expert Division(NHZ),Pool,OxenKin,Faking,Jake Oxendine,Tim Gaskin,Trey Scheid,Ryan Garrigan,21,16
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Littlestitious,Spike Bros,Casper Wu,Daniel Lee,Adam Wulkan,Zach Weiss,21,12
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Goon Squad,Homie Hoppin,Robbie Brisco,Josh Fragiacomo,Quinn Hufler,Jackson Blackburn,22,24
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Default Settings,The Untouchaballs,Abe Yeager,Max Zhang,Rohan Sachdeva,Derrick Chen,19,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Electro-Monkies,Statically Indeterminate,Ryan McCargar,Nathaniel Schrag,Cormac Alonzo,Mason Thau,21,19
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Jeff,SV Nativz,Nicolas Ramos,Dylan West,Guy Hadas,Ron Arbel,21,12
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Man and Monkey,Average Joes,Garrett Meredith,Trey Brown,Joseph Kaylor,Joey Carmichael,21,16
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Globo Gym Purple Cobras <U+0001F40D>,Dialed,Noah Saddik,Zack Duffy,Josh Cain,Luke Pennington,21,14
sfg2,4.0-5.0 Expert Division(NHZ),Pool,TexMex,Sponkballers,JC Meave,Michael Du,liam llorin,Tiger Sun,21,11
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Beach Bums,Dolo Boys,Ryan Leong,Sasha Mariniuk,Conner Currie,Chris Heinemeyer,21,7
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Poo Guys,OxenKin,Schon Siguenza,Troy Mauk,Jake Oxendine,Tim Gaskin,18,21
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Griddy,Spike Bros,Ethan Geller,Carlos Diaz,Adam Wulkan,Zach Weiss,21,17
sfg2,4.0-5.0 Expert Division(NHZ),Pool,Faking,Littlestitious,Trey Scheid,Ryan Garrigan,Casper Wu,Daniel Lee,21,17
sfg2,1.0-3.0 Intermediate Division(WNHZ),Pool,Shadi got swag,Snoopy,sean ross,Adi Melamed,Elle Lowe,Jolene Lee,21,10
