tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sloel2,Expert(NHZ),Pool,Assistive Foot,Whoís Touching Me,Bud Ham,Warren Foote,Luis Natera,Shea Duty,21,4
sloel2,Expert(NHZ),Pool,Banuelos/Nishimoto,Spicy Latte (Cal),Thomas Nishimoto,Benjamin Banuelos,Aditya Vunnum,Cormac Alonzo,21,13
sloel2,Expert(NHZ),Pool,Sewer Monkeys,Just Aids,Eli Roth,Ryan McCargar,Aidan Edwards,Justin Rasmussen,21,13
sloel2,Expert(NHZ),Pool,Ghetto Gaggers,Santa Cruzin',Marcus Decouto,Jacob Martinez,Sasha Mariniuk,Derrick Chen,21,12
sloel2,Expert(NHZ),Pool,Zewlorio,Free Win,Cade Zorio,Kyle Lew,Kyle Johnson,Chris Miller,21,7
sloel2,Expert(NHZ),Pool,THUS Karahbatai,The Disciples,Karah Hui,Kayla Wu,Benjamin Walker-Edwards,Mason Thau,21,19
sloel2,Expert(NHZ),Pool,T-Swizzle fo Shizzle,Set Level Midnight,Andrew Kosche,Samuel Buckman,Luke Pennington,Doug Page,21,13
sloel2,Expert(NHZ),Pool,Born To Fish,The Cliffs of insanity,Nathaniel Schrag,Archie Powell,Abe Yeager,Clifton Miller,21,14
sloel2,Expert(NHZ),Pool,Bryce / Dylan,Nelson/Diaz,Dylan Medveal,Bryce Smith,Carlos Diaz,Connor Nelson,21,13
sloel2,Expert(NHZ),Pool,The Order of the White Lotus,keep it simple,Trevor Barbosa,Jacob Payer,Max Huang,Quinn Hufler,21,16
sloel2,Expert(NHZ),Pool,Dream Team,Tech Support,Matt Ortlip,John Choi,Grant Holland,Seth A.,21,8
sloel2,Expert(NHZ),Pool,john tucker must die,Heather,John Steenstra,tucker judkins,Matthew Waisner,Josh Cain,7,21
sloel2,Expert(NHZ),Pool,Assistive Foot,Spicy Latte (Cal),Bud Ham,Warren Foote,Aditya Vunnum,Cormac Alonzo,21,14
sloel2,Expert(NHZ),Pool,Banuelos/Nishimoto,Sewer Monkeys,Thomas Nishimoto,Benjamin Banuelos,Eli Roth,Ryan McCargar,19,21
sloel2,Expert(NHZ),Pool,Just Aids,Whoís Touching Me,Aidan Edwards,Justin Rasmussen,Luis Natera,Shea Duty,21,11
sloel2,Expert(NHZ),Pool,Ghetto Gaggers,Free Win,Marcus Decouto,Jacob Martinez,Kyle Johnson,Chris Miller,21,11
sloel2,Expert(NHZ),Pool,Zewlorio,THUS Karahbatai,Cade Zorio,Kyle Lew,Karah Hui,Kayla Wu,21,19
sloel2,Expert(NHZ),Pool,The Disciples,Santa Cruzin',Benjamin Walker-Edwards,Mason Thau,Sasha Mariniuk,Derrick Chen,25,23
sloel2,Expert(NHZ),Pool,T-Swizzle fo Shizzle,The Cliffs of insanity,Andrew Kosche,Samuel Buckman,Abe Yeager,Clifton Miller,21,7
sloel2,Expert(NHZ),Pool,Born To Fish,Bryce / Dylan,Nathaniel Schrag,Archie Powell,Dylan Medveal,Bryce Smith,21,9
sloel2,Expert(NHZ),Pool,Nelson/Diaz,Set Level Midnight,Carlos Diaz,Connor Nelson,Luke Pennington,Doug Page,12,21
sloel2,Expert(NHZ),Pool,The Order of the White Lotus,Tech Support,Trevor Barbosa,Jacob Payer,Grant Holland,Seth A.,21,11
sloel2,Expert(NHZ),Pool,Dream Team,john tucker must die,Matt Ortlip,John Choi,John Steenstra,tucker judkins,21,13
sloel2,Expert(NHZ),Pool,Heather,keep it simple,Matthew Waisner,Josh Cain,Max Huang,Quinn Hufler,17,21
sloel2,Expert(NHZ),Pool,Assistive Foot,Just Aids,Bud Ham,Warren Foote,Aidan Edwards,Justin Rasmussen,21,10
sloel2,Expert(NHZ),Pool,Banuelos/Nishimoto,Whoís Touching Me,Thomas Nishimoto,Benjamin Banuelos,Luis Natera,Shea Duty,21,13
sloel2,Expert(NHZ),Pool,Sewer Monkeys,Spicy Latte (Cal),Eli Roth,Ryan McCargar,Aditya Vunnum,Cormac Alonzo,20,22
sloel2,Expert(NHZ),Pool,Ghetto Gaggers,The Disciples,Marcus Decouto,Jacob Martinez,Benjamin Walker-Edwards,Mason Thau,21,10
sloel2,Expert(NHZ),Pool,Zewlorio,Santa Cruzin',Cade Zorio,Kyle Lew,Sasha Mariniuk,Derrick Chen,21,16
sloel2,Expert(NHZ),Pool,THUS Karahbatai,Free Win,Karah Hui,Kayla Wu,Kyle Johnson,Chris Miller,21,9
sloel2,Expert(NHZ),Pool,T-Swizzle fo Shizzle,Nelson/Diaz,Andrew Kosche,Samuel Buckman,Carlos Diaz,Connor Nelson,21,10
