tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sts22atlantaga,Premier 5.0+,Pool,TRP Can of Worms,X-WING,Ryan Gross,Rahul Murthy,Alex Cook,Kyle Midgett,21,18
sts22atlantaga,Premier 5.0+,Pool,Jolly Ranchers,Glizzy Gladiators,Jenson Miller,Jayson Rhea,Polk Denmark,Jacob Summers,21,16
sts22atlantaga,Premier 5.0+,Pool,TRP Sledgers,Asian Invasion,Fredric Hinkle,Dan Abrams,Neal Bergman,Justin Barr,21,14
sts22atlantaga,Premier 5.0+,Pool,Chilly Chillies,Never skip spike day,704trev _roundnet,Sean Brown,Ethan Domster,Jared Beaufait,21,17
sts22atlantaga,Premier 5.0+,Pool,Finocchi/Model,Work in Progress,Gabe Finocchi,Max Model,Rendall Weaver,Jerm Porter,21,11
sts22atlantaga,Premier 5.0+,Pool,Creamy,Cryptid,Ryan Marino,Patric Chu,Houston Sproles,Cole Maddox,21,11
sts22atlantaga,Premier 5.0+,Pool,Air Buds,Flip Flop,Coleman Epperson,Will Picone,Max Billinghurst,Skyler Sebring,21,12
sts22atlantaga,Premier 5.0+,Pool,Power Wagon,Kiddos,Addison Powers,Grant Laughlin,Mark Manuel,Charles Tipton,21,18
sts22atlantaga,Premier 5.0+,Pool,Cruise Control,Trembling Earth,Garrett Hornok,Joe Bondi,Dakota Wheeler,Kade Chapman,21,16
sts22atlantaga,Premier 5.0+,Pool,WySpike Synergy,Sports and Dom,Matthew Burrows,Nick Noguez,Dom Orlando,Jackson Brasfield,21,15
sts22atlantaga,Premier 5.0+,Pool,Sonic Boom,Cody Dryer needs a partner,Benjamin Bunze,Connor Harte,Owen Bass,Kieran Rose,25,24
sts22atlantaga,Premier 5.0+,Pool,Butter 365,Revised Broekema/Goode,David Louis,Ravi Kandula,Daniel Goode,Gavin Broekema,21,11
sts22atlantaga,Premier 5.0+,Pool,Mermaid Sparkle,Peach Pit Stop,Christian Bennett,Noah Luskus,Ian Slattery,Tommy Oddo,21,10
sts22atlantaga,Premier 5.0+,Pool,Pudding,Bononas,Luke Marshall,Dylan Keen,Dan Bonowski,Brayden Latham,21,19
sts22atlantaga,Premier 5.0+,Pool,Bazinga,Lu/Goodnow,Dylan East,Hayden Flood,Jake Goodnow,Peter Lu,21,16
sts22atlantaga,Premier 5.0+,Pool,Switch Hit,MFn TM,Thomas Hamilton,Dawson Morgan,Thomas Maloney,Max Fiebelkorn,21,15
sts22atlantaga,Premier 5.0+,Pool,Untouch-a-balls,Ianís backpack and Samuel Corey roundnet,Grayson Wills,Gavin R Lotts,John Kelley,Samuel Corey,21,17
sts22atlantaga,Premier 5.0+,Pool,TRP Can of Worms,Glizzy Gladiators,Ryan Gross,Rahul Murthy,Polk Denmark,Jacob Summers,21,15
sts22atlantaga,Premier 5.0+,Pool,Bot House,X-WING,West Peterson,Owen Lippman,Alex Cook,Kyle Midgett,21,9
sts22atlantaga,Premier 5.0+,Pool,TRP Sledgers,Never skip spike day,Fredric Hinkle,Dan Abrams,Ethan Domster,Jared Beaufait,21,12
sts22atlantaga,Premier 5.0+,Pool,Last Place Loungers,Asian Invasion,Chase Meyer,Jack Granger,Neal Bergman,Justin Barr,22,24
sts22atlantaga,Premier 5.0+,Pool,Finocchi/Model,Cryptid,Gabe Finocchi,Max Model,Houston Sproles,Cole Maddox,21,16
sts22atlantaga,Premier 5.0+,Pool,Glitch,Work in Progress,Luke Nickel,Cody Dryer,Rendall Weaver,Jerm Porter,21,16
sts22atlantaga,Premier 5.0+,Pool,Air Buds,Kiddos,Coleman Epperson,Will Picone,Mark Manuel,Charles Tipton,21,14
sts22atlantaga,Premier 5.0+,Pool,TRP Something,Flip Flop,Ethan McWhirter,Olivia Jenki,Max Billinghurst,Skyler Sebring,16,21
sts22atlantaga,Premier 5.0+,Pool,Cruise Control,Sports and Dom,Garrett Hornok,Joe Bondi,Dom Orlando,Jackson Brasfield,21,14
sts22atlantaga,Premier 5.0+,Pool,WySpike Synergy,Sonic Boom,Matthew Burrows,Nick Noguez,Benjamin Bunze,Connor Harte,21,12
sts22atlantaga,Premier 5.0+,Pool,Cody Dryer needs a partner,Trembling Earth,Owen Bass,Kieran Rose,Dakota Wheeler,Kade Chapman,21,16
sts22atlantaga,Premier 5.0+,Pool,Butter 365,Peach Pit Stop,David Louis,Ravi Kandula,Ian Slattery,Tommy Oddo,21,17
sts22atlantaga,Premier 5.0+,Pool,Mermaid Sparkle,Pudding,Christian Bennett,Noah Luskus,Luke Marshall,Dylan Keen,21,18
sts22atlantaga,Premier 5.0+,Pool,Bononas,Revised Broekema/Goode,Dan Bonowski,Brayden Latham,Daniel Goode,Gavin Broekema,21,17
sts22atlantaga,Premier 5.0+,Pool,Bazinga,MFn TM,Dylan East,Hayden Flood,Thomas Maloney,Max Fiebelkorn,21,11
sts22atlantaga,Premier 5.0+,Pool,Switch Hit,Untouch-a-balls,Thomas Hamilton,Dawson Morgan,Grayson Wills,Gavin R Lotts,21,17
sts22atlantaga,Premier 5.0+,Pool,Ianís backpack and Samuel Corey roundnet,Lu/Goodnow,John Kelley,Samuel Corey,Jake Goodnow,Peter Lu,18,21
sts22atlantaga,Premier 5.0+,Pool,TRP Can of Worms,Bot House,Ryan Gross,Rahul Murthy,West Peterson,Owen Lippman,21,14
