tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sts22chicagoil,Premier 5.0+,Pool,Clutch Touch,Flip Flop,Buddy Hammon,Rahul Murthy,Max Billinghurst,Skyler Sebring,23,21
sts22chicagoil,Premier 5.0+,Pool,Flemetti,Diamond Bros,Marlon Fleming,Kurt Lannetti,Reid Pfutzenreuter,Austin Denny,21,18
sts22chicagoil,Premier 5.0+,Pool,TRP Banana Boys,Purple Rainbows,Will Picone,Grant Laughlin,Christopher Place,Ethan Datwyler,21,11
sts22chicagoil,Premier 5.0+,Pool,Swamp Donkeys,Bonfire Boys,Emerson Dean,Etienne Cote,Nicolas Dewey,Kevin Bailey,22,20
sts22chicagoil,Premier 5.0+,Pool,PNDubs,Yomp,Austin Rawlings,Malachi Espinola,Josh Braun,Tristan Peat,21,7
sts22chicagoil,Premier 5.0+,Pool,Kingdom Come,Revised Broekema/Longland,Matthew Cole,Grant Klapwijk,Grant Longland,Gavin Broekema,21,10
sts22chicagoil,Premier 5.0+,Pool,Glitch,<U+03C9> = <U+03B8>/t,Cody Dryer,Luke Nickel,Nate Wilson,Reilly Paquette,23,21
sts22chicagoil,Premier 5.0+,Pool,Bazinga,Team Tots,Dylan East,Hayden Flood,Nick Finney,Trey Newman,21,17
sts22chicagoil,Premier 5.0+,Pool,Joe Mez Joe,Bandaid Boys,Joe Bondi,Joe LaRuffa,Matthew Greathouse,Trevor Hoogendoorn,21,12
sts22chicagoil,Premier 5.0+,Pool,Indiscriminate Spikage,We Go Way Back,Brian Perlson,Jared Beaufait,Isaac Freeman,Raffael Jonas,21,10
sts22chicagoil,Premier 5.0+,Pool,Creamy 0.5,Lanky Smoove,Ryan Marino,Michael Hsu,Micah Bouman,Max Fiebelkorn,19,21
sts22chicagoil,Premier 5.0+,Pool,Switch Hit,Jack & the Beanstalk,Dawson Morgan,Thomas Hamilton,ISAAC GAVIN,jack saunders,21,8
sts22chicagoil,Premier 5.0+,Pool,Evasive Bread,Gunneson/Rudzitis,Rendall Weaver,Jenson Miller,Taaron Rudzitis,Maxwell Gunneson,21,17
sts22chicagoil,Premier 5.0+,Pool,Clutch Touch,Diamond Bros,Buddy Hammon,Rahul Murthy,Reid Pfutzenreuter,Austin Denny,21,10
sts22chicagoil,Premier 5.0+,Pool,Basically Top Ten,Flip Flop,Sam Bunze,Samuel Corey,Max Billinghurst,Skyler Sebring,18,21
sts22chicagoil,Premier 5.0+,Pool,TRP Banana Boys,Bonfire Boys,Will Picone,Grant Laughlin,Nicolas Dewey,Kevin Bailey,21,14
sts22chicagoil,Premier 5.0+,Pool,Asian Invasion,Purple Rainbows,Neal Bergman,Justin Barr,Christopher Place,Ethan Datwyler,21,17
sts22chicagoil,Premier 5.0+,Pool,PNDubs,Revised Broekema/Longland,Austin Rawlings,Malachi Espinola,Grant Longland,Gavin Broekema,21,17
sts22chicagoil,Premier 5.0+,Pool,Kingdom Come,Glitch,Matthew Cole,Grant Klapwijk,Cody Dryer,Luke Nickel,23,21
sts22chicagoil,Premier 5.0+,Pool,<U+03C9> = <U+03B8>/t,Yomp,Nate Wilson,Reilly Paquette,Josh Braun,Tristan Peat,23,21
sts22chicagoil,Premier 5.0+,Pool,Bazinga,Bandaid Boys,Dylan East,Hayden Flood,Matthew Greathouse,Trevor Hoogendoorn,21,11
sts22chicagoil,Premier 5.0+,Pool,Joe Mez Joe,Indiscriminate Spikage,Joe Bondi,Joe LaRuffa,Brian Perlson,Jared Beaufait,21,12
sts22chicagoil,Premier 5.0+,Pool,We Go Way Back,Team Tots,Isaac Freeman,Raffael Jonas,Nick Finney,Trey Newman,20,22
sts22chicagoil,Premier 5.0+,Pool,Creamy 0.5,Jack & the Beanstalk,Ryan Marino,Michael Hsu,ISAAC GAVIN,jack saunders,21,16
sts22chicagoil,Premier 5.0+,Pool,Switch Hit,Evasive Bread,Dawson Morgan,Thomas Hamilton,Rendall Weaver,Jenson Miller,21,17
sts22chicagoil,Premier 5.0+,Pool,Gunneson/Rudzitis,Lanky Smoove,Taaron Rudzitis,Maxwell Gunneson,Micah Bouman,Max Fiebelkorn,21,16
sts22chicagoil,Premier 5.0+,Pool,Clutch Touch,Basically Top Ten,Buddy Hammon,Rahul Murthy,Sam Bunze,Samuel Corey,21,13
sts22chicagoil,Premier 5.0+,Pool,Flemetti,Flip Flop,Marlon Fleming,Kurt Lannetti,Max Billinghurst,Skyler Sebring,21,18
sts22chicagoil,Premier 5.0+,Pool,TRP Banana Boys,Asian Invasion,Will Picone,Grant Laughlin,Neal Bergman,Justin Barr,24,22
sts22chicagoil,Premier 5.0+,Pool,Swamp Donkeys,Purple Rainbows,Emerson Dean,Etienne Cote,Christopher Place,Ethan Datwyler,21,17
sts22chicagoil,Premier 5.0+,Pool,PNDubs,<U+03C9> = <U+03B8>/t,Austin Rawlings,Malachi Espinola,Nate Wilson,Reilly Paquette,21,17
sts22chicagoil,Premier 5.0+,Pool,Kingdom Come,Yomp,Matthew Cole,Grant Klapwijk,Josh Braun,Tristan Peat,21,10
sts22chicagoil,Premier 5.0+,Pool,Glitch,Revised Broekema/Longland,Cody Dryer,Luke Nickel,Grant Longland,Gavin Broekema,17,21
sts22chicagoil,Premier 5.0+,Pool,Bazinga,We Go Way Back,Dylan East,Hayden Flood,Isaac Freeman,Raffael Jonas,21,12
sts22chicagoil,Premier 5.0+,Pool,Joe Mez Joe,Team Tots,Joe Bondi,Joe LaRuffa,Nick Finney,Trey Newman,21,18
sts22chicagoil,Premier 5.0+,Pool,Indiscriminate Spikage,Bandaid Boys,Brian Perlson,Jared Beaufait,Matthew Greathouse,Trevor Hoogendoorn,16,21
sts22chicagoil,Premier 5.0+,Pool,Creamy 0.5,Gunneson/Rudzitis,Ryan Marino,Michael Hsu,Taaron Rudzitis,Maxwell Gunneson,21,15
sts22chicagoil,Premier 5.0+,Pool,Switch Hit,Lanky Smoove,Dawson Morgan,Thomas Hamilton,Micah Bouman,Max Fiebelkorn,21,14
sts22chicagoil,Premier 5.0+,Pool,Evasive Bread,Jack & the Beanstalk,Rendall Weaver,Jenson Miller,ISAAC GAVIN,jack saunders,21,11
sts22chicagoil,Premier 5.0+,Pool,Flemetti,Basically Top Ten,Marlon Fleming,Kurt Lannetti,Sam Bunze,Samuel Corey,20,22
sts22chicagoil,Premier 5.0+,Pool,Diamond Bros,Flip Flop,Reid Pfutzenreuter,Austin Denny,Max Billinghurst,Skyler Sebring,21,18
sts22chicagoil,Premier 5.0+,Pool,Swamp Donkeys,Asian Invasion,Emerson Dean,Etienne Cote,Neal Bergman,Justin Barr,22,24
sts22chicagoil,Premier 5.0+,Pool,Bonfire Boys,Purple Rainbows,Nicolas Dewey,Kevin Bailey,Christopher Place,Ethan Datwyler,21,16
sts22chicagoil,Premier 5.0+,Pool,PNDubs,Glitch,Austin Rawlings,Malachi Espinola,Cody Dryer,Luke Nickel,19,21
sts22chicagoil,Premier 5.0+,Pool,Kingdom Come,<U+03C9> = <U+03B8>/t,Matthew Cole,Grant Klapwijk,Nate Wilson,Reilly Paquette,21,11
