"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"sts22columbusoh","Premier 5.0+","Pool","Double Clutch","Fa(s)t 🧌","Rahul Murthy","Fredric Hinkle","Joey Reynolds","Clifford LeVeque",21,14
"sts22columbusoh","Premier 5.0+","Pool","Double Clutch","Fa(s)t 🧌","Rahul Murthy","Fredric Hinkle","Joey Reynolds","Clifford LeVeque",21,17
"sts22columbusoh","Premier 5.0+","Pool","CRO Fall Damage","Zested","Tyler Babin","Chris Brown","Luis Orozco","AJ Hutchinson",21,11
"sts22columbusoh","Premier 5.0+","Pool","CRO Fall Damage","Zested","Tyler Babin","Chris Brown","Luis Orozco","AJ Hutchinson",21,15
"sts22columbusoh","Premier 5.0+","Pool","Bozak/Model","Gabagool","Blake Bosak","Max Model","Mike Garrett","Stephen Sweeney",21,17
"sts22columbusoh","Premier 5.0+","Pool","Bozak/Model","Gabagool","Blake Bosak","Max Model","Mike Garrett","Stephen Sweeney",21,9
"sts22columbusoh","Premier 5.0+","Pool","Bot Miners⛏","Rudzitis/Perlson","Kieran Rose","Justin Shaytar","Taaron Rudzitis","Brian Perlson",21,15
"sts22columbusoh","Premier 5.0+","Pool","Bot Miners⛏","Rudzitis/Perlson","Kieran Rose","Justin Shaytar","Taaron Rudzitis","Brian Perlson",21,14
"sts22columbusoh","Premier 5.0+","Pool","Assistive Touch","Swinging Sloths","Buddy Hammon","Clark Marshall","Shane Soto","Logan Snair",21,11
"sts22columbusoh","Premier 5.0+","Pool","Assistive Touch","Swinging Sloths","Buddy Hammon","Clark Marshall","Shane Soto","Logan Snair",21,11
"sts22columbusoh","Premier 5.0+","Pool","Pour Combien?","Revised Broekema/Longland","Robin Florinda","Dorian Améziane","Grant Longland","Gavin Broekema",21,19
"sts22columbusoh","Premier 5.0+","Pool","Pour Combien?","Revised Broekema/Longland","Robin Florinda","Dorian Améziane","Grant Longland","Gavin Broekema",18,21
"sts22columbusoh","Premier 5.0+","Pool","Pour Combien?","Revised Broekema/Longland","Robin Florinda","Dorian Améziane","Grant Longland","Gavin Broekema",21,15
"sts22columbusoh","Premier 5.0+","Pool","Swervie","Jersey Boyz","Ryan Gross","Kyle Ackermann","Matt Spolarich","Corey Weiss",21,12
"sts22columbusoh","Premier 5.0+","Pool","Swervie","Jersey Boyz","Ryan Gross","Kyle Ackermann","Matt Spolarich","Corey Weiss",21,11
"sts22columbusoh","Premier 5.0+","Pool","Ferruffa","EUphoria","Brendan Ferreira","Joe LaRuffa","Jakub Víšek","Raffael Jonas",25,24
"sts22columbusoh","Premier 5.0+","Pool","Ferruffa","EUphoria","Brendan Ferreira","Joe LaRuffa","Jakub Víšek","Raffael Jonas",23,25
"sts22columbusoh","Premier 5.0+","Pool","Ferruffa","EUphoria","Brendan Ferreira","Joe LaRuffa","Jakub Víšek","Raffael Jonas",21,15
"sts22columbusoh","Premier 5.0+","Pool","Swamp Donkeys","Pillioddo","Emerson Dean","Etienne Cote","Tommy Oddo","Henry Pilliod",21,17
"sts22columbusoh","Premier 5.0+","Pool","Swamp Donkeys","Pillioddo","Emerson Dean","Etienne Cote","Tommy Oddo","Henry Pilliod",21,13
"sts22columbusoh","Premier 5.0+","Pool","Cryptid","Picking name later","Cole Maddox","Houston Sproles","Samuel Corey","Kurt Lannetti",19,21
"sts22columbusoh","Premier 5.0+","Pool","Cryptid","Picking name later","Cole Maddox","Houston Sproles","Samuel Corey","Kurt Lannetti",21,17
"sts22columbusoh","Premier 5.0+","Pool","Cryptid","Picking name later","Cole Maddox","Houston Sproles","Samuel Corey","Kurt Lannetti",21,10
"sts22columbusoh","Premier 5.0+","Pool","Air Buds","Super Awesome Spikers","Coleman Epperson","Will Picone","Max Fiebelkorn","Chris Kaptur",21,19
"sts22columbusoh","Premier 5.0+","Pool","Air Buds","Super Awesome Spikers","Coleman Epperson","Will Picone","Max Fiebelkorn","Chris Kaptur",21,17
"sts22columbusoh","Premier 5.0+","Pool","Glitch","Evasive Maneuvers","Cody Dryer","Luke Nickel","Michael Barkman","Jenson Miller",16,21
"sts22columbusoh","Premier 5.0+","Pool","Glitch","Evasive Maneuvers","Cody Dryer","Luke Nickel","Michael Barkman","Jenson Miller",21,19
"sts22columbusoh","Premier 5.0+","Pool","Glitch","Evasive Maneuvers","Cody Dryer","Luke Nickel","Michael Barkman","Jenson Miller",22,20
"sts22columbusoh","Premier 5.0+","Pool","Long Tan Handsome and Addison","The Diamond Dogs","Addison Powers","Gabe Finocchi","Reid Pfutzenreuter","Bennett Anderson",21,11
"sts22columbusoh","Premier 5.0+","Pool","Long Tan Handsome and Addison","The Diamond Dogs","Addison Powers","Gabe Finocchi","Reid Pfutzenreuter","Bennett Anderson",21,18
"sts22columbusoh","Premier 5.0+","Pool","Chilly Chillies","Soli Deo Gloria","Sean Brown","Trevor Clements 704trev","Josh Kaplan","Andrew Raber",21,11
"sts22columbusoh","Premier 5.0+","Pool","Chilly Chillies","Soli Deo Gloria","Sean Brown","Trevor Clements 704trev","Josh Kaplan","Andrew Raber",21,14
"sts22columbusoh","Premier 5.0+","Pool","TRP Cigar Boys","Shorter and Taller","Grant Laughlin","Dan Abrams","Andrew Sullivan","Caleb Shorter",21,16
"sts22columbusoh","Premier 5.0+","Pool","TRP Cigar Boys","Shorter and Taller","Grant Laughlin","Dan Abrams","Andrew Sullivan","Caleb Shorter",21,13
"sts22columbusoh","Premier 5.0+","Pool","Simply Smashing","Big Ballers","Olivier Laurin","Guillaume Jomphe","Micah Bouman","Sam Bunze",21,14
"sts22columbusoh","Premier 5.0+","Pool","Simply Smashing","Big Ballers","Olivier Laurin","Guillaume Jomphe","Micah Bouman","Sam Bunze",21,11
"sts22columbusoh","Premier 5.0+","Pool","Switch Hit👑","CRO backdoor?","Thomas Hamilton","Dawson Morgan","Leonardo Tullo","Joshua Hachey",21,10
