"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"sts22orlandofl","Premier 5.0+","Pool","Double Clutch","Cryptid","Rahul Murthy","Fredric Hinkle","Cole Maddox","Houston Sproles",21,18
"sts22orlandofl","Premier 5.0+","Pool","2 Fungis","Chilly Chillies","Alex Daly","Donald Fung","Sean Brown","Trevor Clements 704trev",23,25
"sts22orlandofl","Premier 5.0+","Pool","Finocchi/Model","Kiddos","Max Model","Gabe Finocchi","Charles Tipton","Mark Manuel",21,12
"sts22orlandofl","Premier 5.0+","Pool","In System","TWINZ","Dan Abrams","Jayson Rhea","Ali Jenki","Olivia Jenki",21,18
"sts22orlandofl","Premier 5.0+","Pool","Bazinga","Michael Barkman","Hayden Flood","Dylan East","Michael Barkman","Connor Prelich",21,11
"sts22orlandofl","Premier 5.0+","Pool","Swervie","The shark and minnow","Ryan Gross","Kyle Ackermann","Samuel Corey","Marlon Fleming",21,8
"sts22orlandofl","Premier 5.0+","Pool","Creamy","GingerBread Men","Ryan Marino","Patric Chu","Grayson M Wills","Bryce Wagoner",21,15
"sts22orlandofl","Premier 5.0+","Pool","WySpike Synergy","3 Meter Set","Matthew Burrows","Nick Noguez","Marc Etienne McLaughlin","Olivier Laurin",24,25
"sts22orlandofl","Premier 5.0+","Pool","Air Buds","Jam Session","Will Picone","Coleman Epperson","Polk Denmark","Ethan Domster",21,12
"sts22orlandofl","Premier 5.0+","Pool","Mermaid Sparkle (Corruption Campaign)","Boost","Noah Luskus","Christian Bennett","Alex Luc","Charlie Freeman",21,13
"sts22orlandofl","Premier 5.0+","Pool","Prophecy","Blue Turtle Shell","Caleb Cummings","Andrew Christmas","ian murphy","Sully Woodlee",21,14
"sts22orlandofl","Premier 5.0+","Pool","Rio Boys","Lake Titicaca","David Louis","Chandler Hertzler","Daddy Greggo","Kenneth Cook",21,10
"sts22orlandofl","Premier 5.0+","Pool","Coast to Coast","Bot House","Ravi Kandula","Austin Rawlings","Owen Lippman","West Peterson",21,17
"sts22orlandofl","Premier 5.0+","Pool","Too Static","Ranch x3","Dennis Joseph","Lucas Pruett","Jacob Martinez","Chase Meyer",13,21
"sts22orlandofl","Premier 5.0+","Pool","Double Clutch","Chilly Chillies","Rahul Murthy","Fredric Hinkle","Sean Brown","Trevor Clements 704trev",21,11
"sts22orlandofl","Premier 5.0+","Pool","Kahooters","Cryptid","Jacob Payer","Ryan Baillargeon","Cole Maddox","Houston Sproles",21,16
"sts22orlandofl","Premier 5.0+","Pool","Finocchi/Model","TWINZ","Max Model","Gabe Finocchi","Ali Jenki","Olivia Jenki",21,16
"sts22orlandofl","Premier 5.0+","Pool","In System","Bazinga","Dan Abrams","Jayson Rhea","Hayden Flood","Dylan East",21,16
"sts22orlandofl","Premier 5.0+","Pool","Michael Barkman","Kiddos","Michael Barkman","Connor Prelich","Charles Tipton","Mark Manuel",21,19
"sts22orlandofl","Premier 5.0+","Pool","Swervie","GingerBread Men","Ryan Gross","Kyle Ackermann","Grayson M Wills","Bryce Wagoner",21,11
"sts22orlandofl","Premier 5.0+","Pool","Creamy","WySpike Synergy","Ryan Marino","Patric Chu","Matthew Burrows","Nick Noguez",21,13
"sts22orlandofl","Premier 5.0+","Pool","3 Meter Set","The shark and minnow","Marc Etienne McLaughlin","Olivier Laurin","Samuel Corey","Marlon Fleming",18,21
"sts22orlandofl","Premier 5.0+","Pool","Air Buds","Boost","Will Picone","Coleman Epperson","Alex Luc","Charlie Freeman",21,13
"sts22orlandofl","Premier 5.0+","Pool","Mermaid Sparkle (Corruption Campaign)","Prophecy","Noah Luskus","Christian Bennett","Caleb Cummings","Andrew Christmas",21,14
