tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sts22philadelphiapa,Premier 5.0+,Pool,Sweet Tea Five,Custard Rations,Ryan Gross,Kyle Ackermann,Andrew Gunter,DAVID SMYTHE,21,13
sts22philadelphiapa,Premier 5.0+,Pool,Daly Cup of Jo,Thirty/Forty Seven,Dennis Joseph,Alex Daly,Dan Bonowski,Demitri Forand,15,21
sts22philadelphiapa,Premier 5.0+,Pool,Finocchi/Model,TRUE,Gabe Finocchi,Max Model,Jack coolbaugh,Artie Singer,21,14
sts22philadelphiapa,Premier 5.0+,Pool,Lethal Rumpus,Boost,Emerson Dean,Brayden Latham,Alex Luc,Charlie Freeman,21,12
sts22philadelphiapa,Premier 5.0+,Pool,Bazinga,Finocchi Fitness,Hayden Flood,Dylan East,Desmond Benton,Zac Vance,21,17
sts22philadelphiapa,Premier 5.0+,Pool,Psych,SPV,Jacob Payer,Josh Fragiacomo,Joel Graham,Tom Rogers,21,15
sts22philadelphiapa,Premier 5.0+,Pool,Cisek/Picone,"{Free, Heid}man",Tyler Cisek,Will Picone,Jake Heidman,Isaac Freeman,21,9
sts22philadelphiapa,Premier 5.0+,Pool,Bot House,Wasabi,West Peterson,Owen Lippman,Marc Etienne McLaughlin,Vincent Mathieu,21,16
sts22philadelphiapa,Premier 5.0+,Pool,No Free Clout,Run Good,Brendan Ferreira,Ravi Kandula,Jared Bingham,Sunny Gu,21,18
sts22philadelphiapa,Premier 5.0+,Pool,Boy Hsu Rous,Simply Smashing,Caleb Heck,Michael Hsu,Guillaume Jomphe,Olivier Laurin,21,19
sts22philadelphiapa,Premier 5.0+,Pool,TRP Cigar Boys,Sleepy in Seattle,Grant Laughlin,Dan Abrams,Michael Capobianco,Brian Perlson,21,10
sts22philadelphiapa,Premier 5.0+,Pool,Rain or Shine,Pocket Rockets,Malachi Espinola,Evan Denny,Nick Mesa,Donald Fung,21,12
sts22philadelphiapa,Premier 5.0+,Pool,Mermaid Sparkle,Sub-Zero,Christian Bennett,Noah Luskus,Gabriel Monfette,Olivier Aglot,19,21
sts22philadelphiapa,Premier 5.0+,Pool,Creamy,Lateral Epicondylitis,Patric Chu,Ryan Marino,Thomas Maloney,Lucas Pruett,21,7
sts22philadelphiapa,Premier 5.0+,Pool,Sweet Tea Five,Thirty/Forty Seven,Ryan Gross,Kyle Ackermann,Dan Bonowski,Demitri Forand,21,17
sts22philadelphiapa,Premier 5.0+,Pool,Tulips <U+0001F337>,Custard Rations,Owen Bass,Peter Lu,Andrew Gunter,DAVID SMYTHE,18,21
sts22philadelphiapa,Premier 5.0+,Pool,Finocchi/Model,Boost,Gabe Finocchi,Max Model,Alex Luc,Charlie Freeman,21,13
sts22philadelphiapa,Premier 5.0+,Pool,Moppy,TRUE,Ethan Domster,Calvin Smith,Jack coolbaugh,Artie Singer,10,21
sts22philadelphiapa,Premier 5.0+,Pool,Bazinga,SPV,Hayden Flood,Dylan East,Joel Graham,Tom Rogers,21,11
sts22philadelphiapa,Premier 5.0+,Pool,Virginia Beach Roundnet,Finocchi Fitness,James Mitchum,Caleb Brock,Desmond Benton,Zac Vance,21,19
sts22philadelphiapa,Premier 5.0+,Pool,Cisek/Picone,Wasabi,Tyler Cisek,Will Picone,Marc Etienne McLaughlin,Vincent Mathieu,18,21
sts22philadelphiapa,Premier 5.0+,Pool,Joe's Bagels,"{Free, Heid}man",Tommy Drake,Connor Prelich,Jake Heidman,Isaac Freeman,21,15
sts22philadelphiapa,Premier 5.0+,Pool,No Free Clout,Simply Smashing,Brendan Ferreira,Ravi Kandula,Guillaume Jomphe,Olivier Laurin,15,21
sts22philadelphiapa,Premier 5.0+,Pool,Requal or Retirement?,Run Good,Kieran Rose,Justin Shaytar,Jared Bingham,Sunny Gu,24,25
sts22philadelphiapa,Premier 5.0+,Pool,TRP Cigar Boys,Pocket Rockets,Grant Laughlin,Dan Abrams,Nick Mesa,Donald Fung,21,16
sts22philadelphiapa,Premier 5.0+,Pool,Endurance,Sleepy in Seattle,Maxwell Gunneson,Danny Gologorsky,Michael Capobianco,Brian Perlson,21,17
sts22philadelphiapa,Premier 5.0+,Pool,Mermaid Sparkle,Lateral Epicondylitis,Christian Bennett,Noah Luskus,Thomas Maloney,Lucas Pruett,21,15
sts22philadelphiapa,Premier 5.0+,Pool,Spork & Tongs,Sub-Zero,Liam Sherron,Kurt Lannetti,Gabriel Monfette,Olivier Aglot,15,21
sts22philadelphiapa,Premier 5.0+,Pool,Sweet Tea Five,Tulips <U+0001F337>,Ryan Gross,Kyle Ackermann,Owen Bass,Peter Lu,21,14
sts22philadelphiapa,Premier 5.0+,Pool,Daly Cup of Jo,Custard Rations,Dennis Joseph,Alex Daly,Andrew Gunter,DAVID SMYTHE,21,13
sts22philadelphiapa,Premier 5.0+,Pool,Finocchi/Model,Moppy,Gabe Finocchi,Max Model,Ethan Domster,Calvin Smith,21,15
sts22philadelphiapa,Premier 5.0+,Pool,Lethal Rumpus,TRUE,Emerson Dean,Brayden Latham,Jack coolbaugh,Artie Singer,21,23
sts22philadelphiapa,Premier 5.0+,Pool,Bazinga,Virginia Beach Roundnet,Hayden Flood,Dylan East,James Mitchum,Caleb Brock,21,19
sts22philadelphiapa,Premier 5.0+,Pool,Psych,Finocchi Fitness,Jacob Payer,Josh Fragiacomo,Desmond Benton,Zac Vance,21,12
sts22philadelphiapa,Premier 5.0+,Pool,Cisek/Picone,Joe's Bagels,Tyler Cisek,Will Picone,Tommy Drake,Connor Prelich,21,16
sts22philadelphiapa,Premier 5.0+,Pool,Bot House,"{Free, Heid}man",West Peterson,Owen Lippman,Jake Heidman,Isaac Freeman,21,7
sts22philadelphiapa,Premier 5.0+,Pool,No Free Clout,Requal or Retirement?,Brendan Ferreira,Ravi Kandula,Kieran Rose,Justin Shaytar,23,25
sts22philadelphiapa,Premier 5.0+,Pool,Boy Hsu Rous,Run Good,Caleb Heck,Michael Hsu,Jared Bingham,Sunny Gu,25,23
sts22philadelphiapa,Premier 5.0+,Pool,TRP Cigar Boys,Endurance,Grant Laughlin,Dan Abrams,Maxwell Gunneson,Danny Gologorsky,21,13
sts22philadelphiapa,Premier 5.0+,Pool,Rain or Shine,Sleepy in Seattle,Malachi Espinola,Evan Denny,Michael Capobianco,Brian Perlson,21,11
sts22philadelphiapa,Premier 5.0+,Pool,Mermaid Sparkle,Spork & Tongs,Christian Bennett,Noah Luskus,Liam Sherron,Kurt Lannetti,21,18
sts22philadelphiapa,Premier 5.0+,Pool,Creamy,Sub-Zero,Patric Chu,Ryan Marino,Gabriel Monfette,Olivier Aglot,21,15
sts22philadelphiapa,Premier 5.0+,Pool,Daly Cup of Jo,Tulips <U+0001F337>,Dennis Joseph,Alex Daly,Owen Bass,Peter Lu,25,24
sts22philadelphiapa,Premier 5.0+,Pool,Thirty/Forty Seven,Custard Rations,Dan Bonowski,Demitri Forand,Andrew Gunter,DAVID SMYTHE,21,19
sts22philadelphiapa,Premier 5.0+,Pool,Lethal Rumpus,Moppy,Emerson Dean,Brayden Latham,Ethan Domster,Calvin Smith,21,13
sts22philadelphiapa,Premier 5.0+,Pool,Boost,TRUE,Alex Luc,Charlie Freeman,Jack coolbaugh,Artie Singer,15,21
sts22philadelphiapa,Premier 5.0+,Pool,Psych,Virginia Beach Roundnet,Jacob Payer,Josh Fragiacomo,James Mitchum,Caleb Brock,22,20
sts22philadelphiapa,Premier 5.0+,Pool,SPV,Finocchi Fitness,Joel Graham,Tom Rogers,Desmond Benton,Zac Vance,21,16
sts22philadelphiapa,Premier 5.0+,Pool,Bot House,Joe's Bagels,West Peterson,Owen Lippman,Tommy Drake,Connor Prelich,21,15
sts22philadelphiapa,Premier 5.0+,Pool,Wasabi,"{Free, Heid}man",Marc Etienne McLaughlin,Vincent Mathieu,Jake Heidman,Isaac Freeman,21,6
sts22philadelphiapa,Premier 5.0+,Pool,Boy Hsu Rous,Requal or Retirement?,Caleb Heck,Michael Hsu,Kieran Rose,Justin Shaytar,18,21
sts22philadelphiapa,Premier 5.0+,Pool,Simply Smashing,Run Good,Guillaume Jomphe,Olivier Laurin,Jared Bingham,Sunny Gu,21,19
sts22philadelphiapa,Premier 5.0+,Pool,Rain or Shine,Endurance,Malachi Espinola,Evan Denny,Maxwell Gunneson,Danny Gologorsky,21,17
sts22philadelphiapa,Premier 5.0+,Pool,Pocket Rockets,Sleepy in Seattle,Nick Mesa,Donald Fung,Michael Capobianco,Brian Perlson,21,17
sts22philadelphiapa,Premier 5.0+,Pool,Creamy,Spork & Tongs,Patric Chu,Ryan Marino,Liam Sherron,Kurt Lannetti,21,18
