"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"sts22raleighnc","Premier 5.0+","Pool","TRP bad combo","Glizzy Gladiators","Will Picone","Rahul Murthy","Jacob Summers","Polk Denmark",21,12
"sts22raleighnc","Premier 5.0+","Pool","Boom Switch","Almost Grahams","Owen Bass","Benjamin Bunze","David Gonzales","Tom Rogers",22,24
"sts22raleighnc","Premier 5.0+","Pool","Swervie","Cryptid","Ryan Gross","Kyle Ackermann","Houston Sproles","Cole Maddox",21,10
"sts22raleighnc","Premier 5.0+","Pool","KinkStart","Denial","Samuel Corey","Liam Sherron","Danny Gologorsky","Kyle Midgett",21,19
"sts22raleighnc","Premier 5.0+","Pool","Bazinga","Bam’s Tums","Dylan East","Hayden Flood","Tommy Drake","Sam Bunze",21,16
"sts22raleighnc","Premier 5.0+","Pool","Chilly Chillies","Bull City","Sean Brown","Trevor Clements 704trev","Anthony Daming","Juan Ruiz-Delgado",21,16
"sts22raleighnc","Premier 5.0+","Pool","Power Wagon","The Rookies 2.0","Grant Laughlin","Addison Powers","Dax O'Hair","Jake Dohm",21,14
"sts22raleighnc","Premier 5.0+","Pool","Bot House","Slack","West Peterson","Owen Lippman","Ian Slattery","Isaac Freeman",21,14
"sts22raleighnc","Premier 5.0+","Pool","Carry Walsh","Hedge Trimmers","Kurt Lannetti","James Mitchum","Daniel Goode","Ethan Domster",18,21
"sts22raleighnc","Premier 5.0+","Pool","Creamy","J Chillin","Ryan Marino","Patric Chu","Jared Beaufait","Christian Hill",21,12
"sts22raleighnc","Premier 5.0+","Pool","Mermaid Sparkle (Corruption Campaign)","Reid’s getting premier","Christian Bennett","Noah Luskus","Dalton Gilder","Calvin Smith",21,12
"sts22raleighnc","Premier 5.0+","Pool","Sonic Boomers","Handy Andy’s","Zac Vance","Connor Harte","Andrew Gunter","Andrew Raber",20,22
"sts22raleighnc","Premier 5.0+","Pool","TRP bad combo","Almost Grahams","Will Picone","Rahul Murthy","David Gonzales","Tom Rogers",21,12
"sts22raleighnc","Premier 5.0+","Pool","Rally Alpacas","Glizzy Gladiators","Jordan Taylor","Brayden Latham","Jacob Summers","Polk Denmark",21,16
"sts22raleighnc","Premier 5.0+","Pool","Swervie","Denial","Ryan Gross","Kyle Ackermann","Danny Gologorsky","Kyle Midgett",21,12
"sts22raleighnc","Premier 5.0+","Pool","Perlson/Daly","Cryptid","Brian Perlson","Alex Daly","Houston Sproles","Cole Maddox",21,16
"sts22raleighnc","Premier 5.0+","Pool","Bazinga","Bull City","Dylan East","Hayden Flood","Anthony Daming","Juan Ruiz-Delgado",21,13
"sts22raleighnc","Premier 5.0+","Pool","Khaki Shorts","Bam’s Tums","Dan Bonowski","Demitri Forand","Tommy Drake","Sam Bunze",21,19
"sts22raleighnc","Premier 5.0+","Pool","Power Wagon","Slack","Grant Laughlin","Addison Powers","Ian Slattery","Isaac Freeman",21,11
