tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sts22richmondva,Premier 5.0+,Pool,Double Clutch,Van Boyz '17,Rahul Murthy,Fredric Hinkle,David Gonzales,Mike White,21,17
sts22richmondva,Premier 5.0+,Pool,Alaskan Bull Worms,Glitch,Connor Harte,Sean Brown,Luke Nickel,Cody Dryer,21,19
sts22richmondva,Premier 5.0+,Pool,Finocchi/Model,No lefties?,Max Model,Gabe Finocchi,Benjamin Bunze,Jacob Summers,21,13
sts22richmondva,Premier 5.0+,Pool,Kingdom Come,PabloGD,Grant Klapwijk,Matthew Cole,Nate Hopkins,Joel Lapp,21,18
sts22richmondva,Premier 5.0+,Pool,Air Buds,Speed Bump,Coleman Epperson,Will Picone,Rendall Weaver,Ellis Bass,21,14
sts22richmondva,Premier 5.0+,Pool,Marphy,Bull City,ian murphy,Jacob Martinez,Anthony Daming,Juan Ruiz-Delgado,21,19
sts22richmondva,Premier 5.0+,Pool,Cruise Control,Stamina,Garrett Hornok,Joe Bondi,Danny Gologorsky,Maxwell Gunneson,21,10
sts22richmondva,Premier 5.0+,Pool,Power Wagon,Grrrrr,Addison Powers,Grant Laughlin,Kurt Lannetti,Caleb Brock,21,19
sts22richmondva,Premier 5.0+,Pool,Grande Ocho Abuela,We Play Sports,Eric Edge,Connor Prelich,Skyler Boles,Esaja Ekman,15,21
sts22richmondva,Premier 5.0+,Pool,Pullin P,Kyle/Faisal,Ravi Kandula,Ryan Gross,Kyle Midgett,Faisal Sayyed,21,17
sts22richmondva,Premier 5.0+,Pool,Sweet Nothings,Notorious D.I.G,Noah Luskus,Brendan Ferreira,Brayden Latham,Joe LaRuffa,21,17
sts22richmondva,Premier 5.0+,Pool,Evasive Maneuvers,Touches for Turkey,Michael Barkman,Jenson Miller,James Mitchum,Polk Denmark,25,24
sts22richmondva,Premier 5.0+,Pool,TRP Iím pissed,Teddy Bears,Christian Bennett,Dan Abrams,Liam Sherron,Owen Bass,21,18
sts22richmondva,Premier 5.0+,Pool,Bazinga,Om Shah Fan Club,Dylan East,Hayden Flood,Josh Kaplan,Andrew Gunter,21,10
sts22richmondva,Premier 5.0+,Pool,Rose/Dantowitz,Flow Bros,Ezra Dantowitz,Kieran Rose,Ethan Domster,Andrew Raber,18,21
sts22richmondva,Premier 5.0+,Pool,Double Clutch,Glitch,Rahul Murthy,Fredric Hinkle,Luke Nickel,Cody Dryer,24,25
sts22richmondva,Premier 5.0+,Pool,FUNdamentals,Van Boyz '17,Samuel Corey,Joel Daniel Graham,David Gonzales,Mike White,15,21
sts22richmondva,Premier 5.0+,Pool,Finocchi/Model,PabloGD,Max Model,Gabe Finocchi,Nate Hopkins,Joel Lapp,21,12
sts22richmondva,Premier 5.0+,Pool,Future Of Roundnet <U+0001F52E>,No lefties?,704trev _roundnet,Jakub Popluhar,Benjamin Bunze,Jacob Summers,21,14
sts22richmondva,Premier 5.0+,Pool,Air Buds,Bull City,Coleman Epperson,Will Picone,Anthony Daming,Juan Ruiz-Delgado,21,13
sts22richmondva,Premier 5.0+,Pool,Bot House,Speed Bump,Owen Lippman,West Peterson,Rendall Weaver,Ellis Bass,21,19
sts22richmondva,Premier 5.0+,Pool,Cruise Control,Grrrrr,Garrett Hornok,Joe Bondi,Kurt Lannetti,Caleb Brock,21,14
