tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
sts22sanfranciscoca,Premier 5.0+,Pool,Double Clutch,Quantum State Koalas,Fredric Hinkle,Rahul Murthy,Ethan Zehr,Schon Siguenza,21,9
sts22sanfranciscoca,Premier 5.0+,Pool,Double Clutch,Quantum State Koalas,Fredric Hinkle,Rahul Murthy,Ethan Zehr,Schon Siguenza,21,17
sts22sanfranciscoca,Premier 5.0+,Pool,Pathos,Hsu Chef,Taylor Church,Anthony Clifford,Michael Hsu,Josh Fragiacomo,16,21
sts22sanfranciscoca,Premier 5.0+,Pool,Pathos,Hsu Chef,Taylor Church,Anthony Clifford,Michael Hsu,Josh Fragiacomo,23,25
sts22sanfranciscoca,Premier 5.0+,Pool,Wonky Sauce,PremiËre Fois,Justin Plett,Blake Bosak,Robin Florinda,Dylan Bricker,29,27
sts22sanfranciscoca,Premier 5.0+,Pool,Wonky Sauce,PremiËre Fois,Justin Plett,Blake Bosak,Robin Florinda,Dylan Bricker,21,16
sts22sanfranciscoca,Premier 5.0+,Pool,TRP Donkey Hoss,Do a Barrel Roll,Grant Laughlin,Grant Klapwijk,Ezra Dantowitz,Ben Dantowitz,21,14
sts22sanfranciscoca,Premier 5.0+,Pool,TRP Donkey Hoss,Do a Barrel Roll,Grant Laughlin,Grant Klapwijk,Ezra Dantowitz,Ben Dantowitz,21,12
sts22sanfranciscoca,Premier 5.0+,Pool,Assistive Touch,ReinkeRoundnet TTV,Clark Marshall,Buddy Hammon,Benjamin Bunze,Shakil Nobes,21,11
sts22sanfranciscoca,Premier 5.0+,Pool,Assistive Touch,ReinkeRoundnet TTV,Clark Marshall,Buddy Hammon,Benjamin Bunze,Shakil Nobes,21,13
sts22sanfranciscoca,Premier 5.0+,Pool,WySpike Synergy,The shark and minnow,Matthew Burrows,Nick Noguez,Marlon Fleming,Samuel Corey,21,15
sts22sanfranciscoca,Premier 5.0+,Pool,WySpike Synergy,The shark and minnow,Matthew Burrows,Nick Noguez,Marlon Fleming,Samuel Corey,21,17
sts22sanfranciscoca,Premier 5.0+,Pool,Air Buds,Fibonacci Roundnet,Coleman Epperson,Will Picone,Andrew Kosche,Matt Ortlip,21,10
sts22sanfranciscoca,Premier 5.0+,Pool,Air Buds,Fibonacci Roundnet,Coleman Epperson,Will Picone,Andrew Kosche,Matt Ortlip,21,10
sts22sanfranciscoca,Premier 5.0+,Pool,That was a Freakin Disaster,Nexus,Brandon Brown,Caleb Cummings,Chase Meyer,Dennis Joseph,21,17
sts22sanfranciscoca,Premier 5.0+,Pool,That was a Freakin Disaster,Nexus,Brandon Brown,Caleb Cummings,Chase Meyer,Dennis Joseph,23,25
sts22sanfranciscoca,Premier 5.0+,Pool,That was a Freakin Disaster,Nexus,Brandon Brown,Caleb Cummings,Chase Meyer,Dennis Joseph,21,19
sts22sanfranciscoca,Premier 5.0+,Pool,Womenís Roundnet,Funky Monkeys,Ravi Kandula,Jacob Martinez,Jake Howhannesian,Ryan McCargar,21,19
sts22sanfranciscoca,Premier 5.0+,Pool,Womenís Roundnet,Funky Monkeys,Ravi Kandula,Jacob Martinez,Jake Howhannesian,Ryan McCargar,21,14
sts22sanfranciscoca,Premier 5.0+,Pool,How to Roundnet,Swamp Donkeys,Ryder Rivadeneyra,Preston Bies,Emerson Dean,Etienne Cote,19,21
sts22sanfranciscoca,Premier 5.0+,Pool,How to Roundnet,Swamp Donkeys,Ryder Rivadeneyra,Preston Bies,Emerson Dean,Etienne Cote,22,20
sts22sanfranciscoca,Premier 5.0+,Pool,How to Roundnet,Swamp Donkeys,Ryder Rivadeneyra,Preston Bies,Emerson Dean,Etienne Cote,21,17
sts22sanfranciscoca,Premier 5.0+,Pool,Cruise Control,Los & Len,Joe Bondi,Garrett Hornok,Allen Iwamoto,Carlos Yvellez,21,13
sts22sanfranciscoca,Premier 5.0+,Pool,Cruise Control,Los & Len,Joe Bondi,Garrett Hornok,Allen Iwamoto,Carlos Yvellez,21,16
sts22sanfranciscoca,Premier 5.0+,Pool,Rain or Shine,Foote / Oswalt,Malachi Espinola,Evan Denny,Ryan Oswalt,Warren Foote,18,21
sts22sanfranciscoca,Premier 5.0+,Pool,Rain or Shine,Foote / Oswalt,Malachi Espinola,Evan Denny,Ryan Oswalt,Warren Foote,18,21
sts22sanfranciscoca,Premier 5.0+,Pool,WySpike Bully Maguire,Fresh Cut Serves,Luke Mowry,Colton Mowry,AJ Hutchinson,Grayson M Wills,21,17
sts22sanfranciscoca,Premier 5.0+,Pool,WySpike Bully Maguire,Fresh Cut Serves,Luke Mowry,Colton Mowry,AJ Hutchinson,Grayson M Wills,21,19
sts22sanfranciscoca,Premier 5.0+,Pool,Yip Yip,Rennie's on a Monday,Zack Duffy,Austin Rawlings,Noah Saddik,Ken Pflaum,21,14
sts22sanfranciscoca,Premier 5.0+,Pool,Yip Yip,Rennie's on a Monday,Zack Duffy,Austin Rawlings,Noah Saddik,Ken Pflaum,21,18
sts22sanfranciscoca,Premier 5.0+,Pool,Double Clutch,Hsu Chef,Fredric Hinkle,Rahul Murthy,Michael Hsu,Josh Fragiacomo,21,14
sts22sanfranciscoca,Premier 5.0+,Pool,Double Clutch,Hsu Chef,Fredric Hinkle,Rahul Murthy,Michael Hsu,Josh Fragiacomo,21,12
sts22sanfranciscoca,Premier 5.0+,Pool,Pathos,Quantum State Koalas,Taylor Church,Anthony Clifford,Ethan Zehr,Schon Siguenza,21,19
sts22sanfranciscoca,Premier 5.0+,Pool,Pathos,Quantum State Koalas,Taylor Church,Anthony Clifford,Ethan Zehr,Schon Siguenza,16,21
sts22sanfranciscoca,Premier 5.0+,Pool,Pathos,Quantum State Koalas,Taylor Church,Anthony Clifford,Ethan Zehr,Schon Siguenza,20,22
sts22sanfranciscoca,Premier 5.0+,Pool,Wonky Sauce,Do a Barrel Roll,Justin Plett,Blake Bosak,Ezra Dantowitz,Ben Dantowitz,21,14
sts22sanfranciscoca,Premier 5.0+,Pool,Wonky Sauce,Do a Barrel Roll,Justin Plett,Blake Bosak,Ezra Dantowitz,Ben Dantowitz,21,13
sts22sanfranciscoca,Premier 5.0+,Pool,TRP Donkey Hoss,PremiËre Fois,Grant Laughlin,Grant Klapwijk,Robin Florinda,Dylan Bricker,21,18
sts22sanfranciscoca,Premier 5.0+,Pool,TRP Donkey Hoss,PremiËre Fois,Grant Laughlin,Grant Klapwijk,Robin Florinda,Dylan Bricker,21,19
