tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
turlock9,Expert,Pool,500 free Casr points,Hit it Hard,Andrew Kosche,Daniel Lindeen,Tim Gaskin,Brendon Daugherty,21,9
turlock9,Expert,Pool,Dylantowitz,Chico D league,Dylan Goldman,Daniel Dantowitz,Ryan Garrigan,Jaden Hughes,21,18
turlock9,Expert,Pool,Reverse Osmosis,CCP,Kyle Lew,Trevor Barbosa,Ori Paz,G Saucy,21,9
turlock9,Expert,Pool,Chico,Dirty Dogs,Nick Ramos,Dylan West,Ryan Leong,Talor Garrison,23,25
turlock9,Expert,Pool,Born to Fish,Spewage,Archie Powell,Nate Schrag,Trevor Buchan,Jakob Seidner,21,8
turlock9,Expert,Pool,BelowPar,Jason/Justin,Josh Cain,Jacob Martinez,Justin Rasmussen,Jason Kim,21,18
turlock9,Expert,Pool,500 free Casr points,Chico D league,Andrew Kosche,Daniel Lindeen,Ryan Garrigan,Jaden Hughes,21,10
turlock9,Expert,Pool,Double Faulters,Hit it Hard,Luke Christopherson,Matthew Van Winkle,Tim Gaskin,Brendon Daugherty,16,21
turlock9,Expert,Pool,Reverse Osmosis,Dirty Dogs,Kyle Lew,Trevor Barbosa,Ryan Leong,Talor Garrison,21,9
turlock9,Expert,Pool,Hog Riiideeeer,CCP,Ryan McCargar,Trey Scheid,Ori Paz,G Saucy,21,14
turlock9,Expert,Pool,Born to Fish,Jason/Justin,Archie Powell,Nate Schrag,Justin Rasmussen,Jason Kim,21,13
turlock9,Expert,Pool,Yeagerbombs,Spewage,Abe Yeager,Robbie Brisco,Trevor Buchan,Jakob Seidner,21,13
turlock9,Expert,Pool,500 free Casr points,Double Faulters,Andrew Kosche,Daniel Lindeen,Luke Christopherson,Matthew Van Winkle,21,14
turlock9,Expert,Pool,Dylantowitz,Hit it Hard,Dylan Goldman,Daniel Dantowitz,Tim Gaskin,Brendon Daugherty,21,16
turlock9,Expert,Pool,Reverse Osmosis,Hog Riiideeeer,Kyle Lew,Trevor Barbosa,Ryan McCargar,Trey Scheid,21,15
turlock9,Expert,Pool,Chico,CCP,Nick Ramos,Dylan West,Ori Paz,G Saucy,21,18
turlock9,Expert,Pool,Born to Fish,Yeagerbombs,Archie Powell,Nate Schrag,Abe Yeager,Robbie Brisco,21,13
turlock9,Expert,Pool,BelowPar,Spewage,Josh Cain,Jacob Martinez,Trevor Buchan,Jakob Seidner,21,12
turlock9,Expert,Pool,Dylantowitz,Double Faulters,Dylan Goldman,Daniel Dantowitz,Luke Christopherson,Matthew Van Winkle,24,22
turlock9,Expert,Pool,Chico D league,Hit it Hard,Ryan Garrigan,Jaden Hughes,Tim Gaskin,Brendon Daugherty,12,21
