tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
usarkickoff,Open 5.0 (NHZ),Pool,Guess Work,Pitter Patter,Ryder Rivadeneyra,Joe Bondi,Kane Rickman,Milo Guffey,21,19
usarkickoff,Open 5.0 (NHZ),Pool,PNdubs,Drip Drop,Austin Rawlings,Warner Curtis,Jake LeBaron,Grant Marriott,17,21
usarkickoff,Open 5.0 (NHZ),Pool,Finocchi/Model,Trains and Talls,Gabe Finocchi,Max Model,AJ Hutchinson,Garrett Ashton,21,12
usarkickoff,Open 5.0 (NHZ),Pool,Mono love,Steel Curtain,Devin Tuttle,Chandler Hertzler,Andrew Raber,Jayson Rhea,21,16
usarkickoff,Open 5.0 (NHZ),Pool,Coffin Flop,PeachFuzz,Matthew Cole,Ryan Gross,Lindros Beard,Bryce Young,21,12
usarkickoff,Open 5.0 (NHZ),Pool,Jackson Budonddy,Crowd-Pleasing Swoons,Buddy Hammon,Jackson Bond,Jacob Martinez,Trevor Barbosa,22,20
usarkickoff,Open 5.0 (NHZ),Pool,Lowkey,SoCan Spike,Dawson Morgan,Taylor Church,Tyler Babin,Marc Baldwin,21,11
usarkickoff,Open 5.0 (NHZ),Pool,Cookout Tray,The shark and minnow,Christian Bennett,Grant Laughlin,Samuel Corey,Marlon Fleming,21,17
usarkickoff,Open 5.0 (NHZ),Pool,Dragons of the South,Fish Market,Chase Meyer,Nick Noguez,Bryant Karratti,Solomon Berry,19,21
usarkickoff,Open 5.0 (NHZ),Pool,Faded,Hot Jam,Ravi Kandula,Thomas Hamilton,Andrew Stevens,Dylan Bricker,21,15
usarkickoff,Open 5.0 (NHZ),Pool,Player One,Hot monkey baby,Ryan Marino,Addison Powers,Ryan McCargar,Aidan Mackey,21,12
usarkickoff,Open 5.0 (NHZ),Pool,Los & Len,Sauce Policy,Carlos Yvellez,Allen Iwamoto,Anthony Clifford,Trey Thompson,21,16
usarkickoff,Open 5.0 (NHZ),Pool,Guess Work,Drip Drop,Ryder Rivadeneyra,Joe Bondi,Jake LeBaron,Grant Marriott,21,18
usarkickoff,Open 5.0 (NHZ),Pool,Bamboozled,Pitter Patter,Jacob Payer,Trey Bowman,Kane Rickman,Milo Guffey,21,17
usarkickoff,Open 5.0 (NHZ),Pool,Finocchi/Model,Steel Curtain,Gabe Finocchi,Max Model,Andrew Raber,Jayson Rhea,21,15
usarkickoff,Open 5.0 (NHZ),Pool,Taylor Hsu-wift,Trains and Talls,Michael Hsu,Andrew Kosche,AJ Hutchinson,Garrett Ashton,21,15
usarkickoff,Open 5.0 (NHZ),Pool,Coffin Flop,Crowd-Pleasing Swoons,Matthew Cole,Ryan Gross,Jacob Martinez,Trevor Barbosa,21,18
usarkickoff,Open 5.0 (NHZ),Pool,The Baylor Bubble is real,PeachFuzz,Caleb Cummings,bradley thompson,Lindros Beard,Bryce Young,21,17
usarkickoff,Open 5.0 (NHZ),Pool,Lowkey,The shark and minnow,Dawson Morgan,Taylor Church,Samuel Corey,Marlon Fleming,21,12
usarkickoff,Open 5.0 (NHZ),Pool,Cookout Tray,Dragons of the South,Christian Bennett,Grant Laughlin,Chase Meyer,Nick Noguez,21,10
usarkickoff,Open 5.0 (NHZ),Pool,Fish Market,SoCan Spike,Bryant Karratti,Solomon Berry,Tyler Babin,Marc Baldwin,21,16
usarkickoff,Open 5.0 (NHZ),Pool,Faded,Hot monkey baby,Ravi Kandula,Thomas Hamilton,Ryan McCargar,Aidan Mackey,21,15
