tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
yeg-isd2022,Contender 4.5+,Pool,Bingpot,R&B,Spencer Longfellow,Walter Bonilla,"Josh Brandes, Liam Read",1 more,21,18
yeg-isd2022,Contender 4.5+,Pool,Flotato 2.0,Pretenders,Nick Wideman,Maddy Morehouse,Jayden Roskewich,Brendan Roskewich,21,9
yeg-isd2022,Contender 4.5+,Pool,Half Baked,Average Joes,Etienne Cote,Jake Lepp,Bruno Ziger,Justin Kulbisky,21,3
yeg-isd2022,Contender 4.5+,Pool,Jauzi,Ma/Garcea,Austin Bueckert,Josh Reimer,Ethan Ma,Adrian Garcea,21,17
yeg-isd2022,Contender 4.5+,Pool,Wesburn,Rad-Ry,Ivan Zeng,Eddy Leung,"Stephen Stoyko, Conrad Gengenbach",1 more,21,15
yeg-isd2022,Contender 4.5+,Pool,Jake n Josh,C.B,Joshua Chui,Jake Jimenez,Clayton Murray,Ben Friesen,21,10
yeg-isd2022,Contender 4.5+,Pool,Cold Cuts,Steamy Sashimi,Jesse Lentz,Justin Cho,Jimmy Trinh,Felix Chen,21,12
yeg-isd2022,Contender 4.5+,Pool,Prairie Oysters,Los Chinos,Deryk Kirchner,Keaton Kirchner,Matthew Lee,Evan Kung,21,19
yeg-isd2022,Contender 4.5+,Pool,Bingpot,Pretenders,Spencer Longfellow,Walter Bonilla,Jayden Roskewich,Brendan Roskewich,21,5
yeg-isd2022,Contender 4.5+,Pool,Tykkel,R&B,Tyler Bueckert,Mikkel Olson,"Josh Brandes, Liam Read",1 more,14,21
yeg-isd2022,Contender 4.5+,Pool,Half Baked,Ma/Garcea,Etienne Cote,Jake Lepp,Ethan Ma,Adrian Garcea,21,14
yeg-isd2022,Contender 4.5+,Pool,Oriental Express,Average Joes,Carlin Vicera,Carlos Nakamura,Bruno Ziger,Justin Kulbisky,21,5
yeg-isd2022,Contender 4.5+,Pool,Wesburn,C.B,Ivan Zeng,Eddy Leung,Clayton Murray,Ben Friesen,21,5
yeg-isd2022,Contender 4.5+,Pool,Jake n Josh,Rad-Ry,Joshua Chui,Jake Jimenez,"Stephen Stoyko, Conrad Gengenbach",1 more,21,15
yeg-isd2022,Contender 4.5+,Pool,Cold Cuts,Los Chinos,Jesse Lentz,Justin Cho,Matthew Lee,Evan Kung,21,16
yeg-isd2022,Contender 4.5+,Pool,852Rising,Steamy Sashimi,Caleb Chow,Jeffrey Cheng,Jimmy Trinh,Felix Chen,21,15
yeg-isd2022,Contender 4.5+,Pool,Bingpot,Tykkel,Spencer Longfellow,Walter Bonilla,Tyler Bueckert,Mikkel Olson,21,9
yeg-isd2022,Contender 4.5+,Pool,Flotato 2.0,R&B,Nick Wideman,Maddy Morehouse,"Josh Brandes, Liam Read",1 more,21,17
yeg-isd2022,Contender 4.5+,Pool,Half Baked,Oriental Express,Etienne Cote,Jake Lepp,Carlin Vicera,Carlos Nakamura,21,11
yeg-isd2022,Contender 4.5+,Pool,Jauzi,Average Joes,Austin Bueckert,Josh Reimer,Bruno Ziger,Justin Kulbisky,21,9
yeg-isd2022,Contender 4.5+,Pool,Wesburn,Jake n Josh,Ivan Zeng,Eddy Leung,Joshua Chui,Jake Jimenez,25,23
yeg-isd2022,Contender 4.5+,Pool,C.B,Rad-Ry,Clayton Murray,Ben Friesen,"Stephen Stoyko, Conrad Gengenbach",1 more,8,21
yeg-isd2022,Contender 4.5+,Pool,Cold Cuts,852Rising,Jesse Lentz,Justin Cho,Caleb Chow,Jeffrey Cheng,21,8
yeg-isd2022,Contender 4.5+,Pool,Prairie Oysters,Steamy Sashimi,Deryk Kirchner,Keaton Kirchner,Jimmy Trinh,Felix Chen,21,8
yeg-isd2022,Contender 4.5+,Pool,Flotato 2.0,Tykkel,Nick Wideman,Maddy Morehouse,Tyler Bueckert,Mikkel Olson,21,6
yeg-isd2022,Contender 4.5+,Pool,Pretenders,R&B,Jayden Roskewich,Brendan Roskewich,"Josh Brandes, Liam Read",1 more,11,21
yeg-isd2022,Contender 4.5+,Pool,Jauzi,Oriental Express,Austin Bueckert,Josh Reimer,Carlin Vicera,Carlos Nakamura,13,21
yeg-isd2022,Contender 4.5+,Pool,Ma/Garcea,Average Joes,Ethan Ma,Adrian Garcea,Bruno Ziger,Justin Kulbisky,21,5
yeg-isd2022,Contender 4.5+,Pool,Prairie Oysters,852Rising,Deryk Kirchner,Keaton Kirchner,Caleb Chow,Jeffrey Cheng,21,14
yeg-isd2022,Contender 4.5+,Pool,Los Chinos,Steamy Sashimi,Matthew Lee,Evan Kung,Jimmy Trinh,Felix Chen,21,12
yeg-isd2022,Contender 4.5+,Pool,Bingpot,Flotato 2.0,Spencer Longfellow,Walter Bonilla,Nick Wideman,Maddy Morehouse,21,11
yeg-isd2022,Contender 4.5+,Pool,Tykkel,Pretenders,Tyler Bueckert,Mikkel Olson,Jayden Roskewich,Brendan Roskewich,21,18
yeg-isd2022,Contender 4.5+,Pool,Half Baked,Jauzi,Etienne Cote,Jake Lepp,Austin Bueckert,Josh Reimer,21,12
yeg-isd2022,Contender 4.5+,Pool,Oriental Express,Ma/Garcea,Carlin Vicera,Carlos Nakamura,Ethan Ma,Adrian Garcea,18,21
yeg-isd2022,Contender 4.5+,Pool,Cold Cuts,Prairie Oysters,Jesse Lentz,Justin Cho,Deryk Kirchner,Keaton Kirchner,16,21
yeg-isd2022,Contender 4.5+,Pool,852Rising,Los Chinos,Caleb Chow,Jeffrey Cheng,Matthew Lee,Evan Kung,17,21
yeg-isd2022,Advanced 4.0,Pool,Ball Handlers,Rim rats,Logan Mcconnell,Karter Godin,Jackson Bueckert,Tanner Bueckert,13,21
yeg-isd2022,Advanced 4.0,Pool,Dewar/Benson,Connect,Zachary Dewar,Regan Benson,Evan Lieu,Ruben San Martin,21,10
yeg-isd2022,Advanced 4.0,Pool,Premarital Sets,Ducay/Stolarz,David Navalta,Anmol John,Ken Ducay,Tym Stolarz,21,11
yeg-isd2022,Advanced 4.0,Pool,J Percy Page,Sereda/Hung,Joel Thiessen,Evan Wojcichowsky,Tyson Sereda,Ryan Hung,21,10
yeg-isd2022,Advanced 4.0,Pool,Ball Handlers,Connect,Logan Mcconnell,Karter Godin,Evan Lieu,Ruben San Martin,21,14
yeg-isd2022,Advanced 4.0,Pool,Lank + Tank,Rim rats,Josh Thiessen,Brennan Ukrainetz,Jackson Bueckert,Tanner Bueckert,19,21
yeg-isd2022,Advanced 4.0,Pool,Premarital Sets,Sereda/Hung,David Navalta,Anmol John,Tyson Sereda,Ryan Hung,21,9
yeg-isd2022,Advanced 4.0,Pool,HedHog,Ducay/Stolarz,Tom Mills,Michael Griffiths,Ken Ducay,Tym Stolarz,19,21
yeg-isd2022,Advanced 4.0,Pool,Ball Handlers,Lank + Tank,Logan Mcconnell,Karter Godin,Josh Thiessen,Brennan Ukrainetz,21,16
yeg-isd2022,Advanced 4.0,Pool,Dewar/Benson,Rim rats,Zachary Dewar,Regan Benson,Jackson Bueckert,Tanner Bueckert,7,21
